cluster	tablet	objectId	signs
1	148472	P000734	DU6~b DU8~c DUG~a GAL~a LAGAB~a NUN~a SANGA~a SZITA~a1 U4 ZATU681 ZATU726~c
1	148473	P000735	AN DU6~b EN~a HI@g~a KAB LAGAB~a MUSZ3~a NAM2 NUN~a SIG SIG2~a2 SZE~a SZIM~a SZITA~a1 U4 ZATU681 ZATU726~c
1	148474	P000736	A DU6~b DUG~a EZEN~b HI@g~a NAGAR~b SIG2~a2 SZA ZATU681 ZATU727
1	148923	P002591	DU6~b DUG~a RAD~a SIG2~a4 ZATU681 ZATU726~d
1	150774	P325362	ABGAL DU8~c@g DUB~a DUG~a DUG~b E2~a GUG2 HI HI@g~a KU3~a LAGAB~b PIRIG~b1 SAG SAL SZA@g SZEN~b SZEN~c@t SZE~a TI@t U4
1	150788	P325063	AB~a BULUG3 GI4~a GU7 GUG2 HI@g~a LAGAB~a NE~a SZA SZAM2 SZITA~a1 TUR U4 URU~a1 ZATU726~d
1	150791	P325234	AN DU6~a DU8~c DUG~a E2~b EZEN~b GAL~a GAR GU7 GUG2 GUG2~a HI@g~a KASZ~a KASZ~d KI KU3~a LAGAB~a LAGAB~b MU NE~a SILA3~a SZEN~b SZE~a SZITA@g~a SZITA~a1 SZU2 U2~a U4 URU~a1 ZATU714
1	150795	P325229	A DILMUN DU DUG~a EN~a GAR GI HI@g~a KASZ~a KASZ~d MU PAP~a SZE~a SZU TAK4~a U4 ZATU651 ZATU710 ZATU714
1	150796	P330049	AL BA BAHAR2~b BULUG3 DUG~a E2~a EN~a GAR GISZ GUG2 HI@g~a KASZ~a KASZ~d MU SZEN~c@t SZE~a U4 UKKIN~a URU~a1 ZATU639 ZATU710 ZATU714
1	150805	P325074	DU8~c GAL~a GU7 GUG2 HI@g~a LAGAB~a SANGA~a SZA SZITA~a1 TUR ZATU726~d
1	150809	P325069	DUG~a E2~b GAL~a GU7 HAL HI@g~a KASZ~a LAGAB~a LAGAB~b MU NAMESZDA NE~a SAL SILA3~a SZA SZE~a SZITA@g~a SZITA~a1 SZU2 U4 ZATU710 ZATU751~a
1	151192	P006381	AN DAM DUB~a E2~b GAL~a GAR GUG2 HI@g~a MAR@g~a ME~a MU NUNUZ~a1 SAG SAGSZU SAL SUG5 SZA SZE~a U4
1	151194	P006384	AB~a AN DA~a DU8~c GAR GU7 GUG2 HI@g~a MU SAG SUG5 SZA SZA@g SZE~a U4 ZATU714 ZATU726~d
1	151195	P006391	DU8~c DU8~c@g DUG~a GAR GU7 GUG2 HI@g~a KASZ~a KU6~a LAGAB~b SAG SZA@g SZE~a TUR U4 ZATU726~d
1	152628	P005313	DU8~c@g GAL~a GAN~c GAR GUG2 HI@g~a KASZ~a MU SIG2~a2 SILA3~b SZA@g SZEN~b SZEN~c@t TUR ZATU651 ZATU714 ZATU726~d
1	154716	P002606	DU6~b EN~a HI@g~a ME~a NINDA2 NIR~b SIG2~a4 SZE~a SZU ZATU681 ZATU726~d
2	150730	P325738	EN~a GI6 GIBIL HI KISAL~b1 KU6~a ME~a NAM2 PA~a SAG SI SZAM2 SZE~a U4 ZATU694e
2	150743	P325223	DU GISZ3~a LAGAB~b SI SI4~f SZE~a TE
2	150750	P325233	A BU~a DU E2~a EN~a GI6 GIR3@g~b GISZ3~b KI KU3~a NAM2 NAR NIR~b NUMUN PAP~a PA~a RU SAR~a SZE~a TUR U4 URU~a1 ZATU773~a
2	150751	P325238	A BAR BU~a DI DU E2~a EN~a GAL~a GISZ N NAGAR~a NAM2 NINDA2 NI~a PAP~a SANGA~a SZAGAN SZE3 SZE~a TI~a U4 ZI~a
2	151211	P387744	DU EN~a E~a GAN2 NAM2 NUN~a PAP~a PAP~a@t SAL SI SI4~f SZE~a SZU
2	151230	P464169	AB~a E~a KISAL~b1 LAGAB~b NAM2 SI4~f SZE~a TE
2	151238	P464177	APIN~a E2~a EN~a ERIN E~a GI GU7 KISAL~b1 LAGAB~b MUSZEN NA~a SZAB~b SZE~a SZUBUR TE
2	151242	P464181	DU EN2 EN~a E~a GAN2 GI GIBIL KISAL~b1 KU~b1 LA2 LAGAB~b MUSZ3~a NAM2 NUN~a PAP@t PAP~a SI SI4~f SZE~a TE U4 ZATU659
2	151243	P464182	EN2 EN~a E~a IDIGNA KISAL~b1 KU~b1 LA2 MUSZ3~a NAM2 NUN~a PAP@t PAP~a PA~a SI SI4~f SZEG9 SZE~a TE ZATU659
2	151251	P231788	BA BU~a DU E2~a E2~b EN2 EN~a GAN2 GI HI KASKAL KI KU6~a KUR~a LAM~b ME~a NI~a PAP~a SAG SIG SIG2~a1 SZE~a SZU TI@t TUR U2~a UR5~a URU~a1
2	152755	P005445	AN BU~a DU6~a E2~a EN~a EZINU~a GI GUN3~b MAR~a NAM2 NIM~a PAP~a PA~a RU SANGA~a SZE~a
2	152757	P005447	AB~a AN APIN~a BU~a DU6~a E2~a EN~a EZINU~a GAN2 GI GUN3~b KU6~a MAR~a NAM2 NIM~a PAP~a PA~a RU SZE~a SZUBUR
2	152758	P005448	AN APIN~a DUB~a EN~a GI MAR~a PA~a SZE~a SZITA~a1 SZU2
2	152760	P005450	A AN APIN~a BA BU~a DU E2~a EN~a GIBIL KASZ~c MAR~a MUSZEN PAP~a PA~a RAD~a SZAM2 SZE~a SZUBUR
2	152774	P005464	A AN BU~a DIB DUG~a EN~a GIBIL MAR~a NAM2 PAP~a PA~a RU SZE~a U2~b U4
3	150824	P325064	DUB~a DUG~a DUG~c E2~a GA2~a1 GAR GIBIL GU7 HASZHUR HI@g~a KASZ~a MA MU NI~a RU SIG2~a2 SUHUR SU~a SZA SZU2 TUG2~b UDU~a ZATU644~a ZATU714 ZATU735~b ZATU753
3	152479	P005160	DUB~a DUG~a DUG~c E2~a GA2~a1 GAR GESZTU~c5 GIBIL GU7 GUG2 HASZHUR HI@g~a KASZ~a LAGAB~a MA MU NI~a RU SIG2~a3 SUHUR SU~a SZA SZU2 UDU~a ZATU644~a ZATU714 ZATU735~b ZATU753
3	152489	P005170	BAR DUB~a DUG~a E2~a EN~a GA2~a1 GAR GESZTU~c5 GU7 GUG2 HASZHUR HI@g~a KASZ~a LAGAB~a MA MU SIG2~b SUHUR SU~a SZA SZU2 UDU~a ZATU644~a ZATU714 ZATU753
3	152493	P005174	AB~a DUG~a ENGIZ EN~a GA2~a1 GAR GESZTU~c5 GU7 HI@g~a KASZ~a KID~a MA MAR~a MU NI~a RU SZAGAN UDU~a ZATU714 ZATU735~b
3	152494	P005175	AB~a DU8~c DUB~a DUG~a E2~a GAR GIBIL GUG2 HASZHUR HI@g~a KASZ~a LAGAB~a MA MASZ ME~a MU MUSZEN NI~a RU SILA3~a SUHUR SU~a SZA SZA@g SZITA~a1 SZU2 UDU~a ZATU644~a ZATU714 ZATU753
3	152495	P005176	DUG~a DUG~b DUG~c GAR GIBIL GU7 GUG2 HASZHUR HI@g~a KASZ~a MA ME~a MU NI~a RU SUHUR SU~a SZU2 UDU~a ZATU644~a ZATU714 ZATU753
3	152497	P005178	DUB~a DUG~a E2~a GA2~a1 GAR GESZTU~c5 GIBIL GU7 GUG2 HASZHUR HI@g~a KASZ~a LAGAB~a MA MU NI~a RU SUHUR SU~a SZA SZITA~a1 SZU2 UDU~a ZATU644~a ZATU714 ZATU735~b ZATU753
3	152520	P005202	DUB~a DUG~a DUG~c E2~a GIBIL GUG2 HI@g~a KASZ~a NI~a RU SU~a SZU2 ZATU714 ZATU753
