cluster	tablet	objectId	signs
1	153204	P325738	1(N14) 1(N45) 1(N46) 1(N57) 2(N01) 2(N14) 2(N19) 2(N34) 2(N36) 2(N45) 2(N46) 2(N57) 3(N01) 3(N04) 3(N14) 3(N19) 3(N34) 4(N14) 5(N01) 5(N14) 6(N14) 7(N14) 8(N14) EN~a GI6 GIBIL HI KISAL~b1 KU6~a ME~a NAM2 PA~a SAG SI SZAM2 SZE~a U4 ZATU694e
1	153217	P325223	1(N01) 1(N19) 2(N01) 2(N14) 3(N14) 5(N04) DU GISZ3~a LAGAB~b SI SI4~f SZE~a TE
1	153224	P325233	1(N14) 1(N45) 2(N01) 2(N04) 2(N14) 2(N57) 3(N01) 3(N14) 4(N01) 4(N04) 4(N14) 5(N14) 6(N14) A BU~a DU E2~a EN~a GI6 GIR3@g~b GISZ3~b KI KU3~a NAM2 NAR NIR~b NUMUN PAP~a PA~a RU SAR~a SZE~a TUR U4 URU~a1 ZATU773~a
1	153685	P387744	1(N14) 1(N34) 2(N01) 2(N14) 2(N45) 2(N57) 3(N01) 3(N57) 4(N14) 5(N01) 7(N14) DU EN~a E~a GAN2 NAM2 NUN~a PAP~a PAP~a@t SAL SI SI4~f SZE~a SZU
1	153704	P464169	1(N01) 1(N04) 1(N19) 2(N01) 2(N04) 2(N14) 2(N19) 3(N01) 4(N04) 4(N14) AB~a E~a KISAL~b1 LAGAB~b NAM2 SI4~f SZE~a TE
1	153716	P464181	1(N01) 1(N04) 1(N14) 2(N01) 2(N04) 2(N14) 2(N19) 3(N01) 3(N14) 3(N19) 3(N57) 5(N14) 6(N14) 7(N14) 7(N19) DU EN2 EN~a E~a GAN2 GI GIBIL KISAL~b1 KU~b1 LA2 LAGAB~b MUSZ3~a NAM2 NUN~a PAP@t PAP~a SI SI4~f SZE~a TE U4 ZATU659
1	153717	P464182	1(N14) 1(N19) 1(N45) 1(N46) 1(N57) 2(N01) 2(N14) 2(N19) 2(N45) 3(N01) 3(N04) 3(N14) 3(N19) 3(N57) 4(N01) 4(N04) 4(N14) 4(N19) 5(N04) 5(N14) 6(N14) 7(N19) 8(N19) EN2 EN~a E~a IDIGNA KISAL~b1 KU~b1 LA2 MUSZ3~a NAM2 NUN~a PAP@t PAP~a PA~a SI SI4~f SZEG9 SZE~a TE ZATU659
1	155229	P005445	1(N01) 1(N14) 1(N34) 1(N45) 1(N46) 2(N01) 2(N14) 2(N36) 2(N45) 2(N46) 3(N01) 3(N04) 3(N14) 3(N34) 3(N36) 4(N01) 4(N19) 4(N34) 5(N04) 5(N14) 5(N19) 6(N14) 6(N19) 6(N34) 7(N14) 8(N14) 9(N14) 9(N19) AN BU~a DU6~a E2~a EN~a EZINU~a GI GUN3~b MAR~a NAM2 NIM~a PAP~a PA~a RU SANGA~a SZE~a
1	155231	P005447	1(N01) 1(N14) 1(N34) 1(N45) 1(N46) 2(N01) 2(N04) 2(N14) 2(N19) 2(N45) 3(N14) 4(N01) 4(N04) 4(N19) 5(N01) 5(N14) 6(N14) 7(N14) 9(N14) 9(N19) AB~a AN APIN~a BU~a DU6~a E2~a EN~a EZINU~a GAN2 GI GUN3~b KU6~a MAR~a NAM2 NIM~a PAP~a PA~a RU SZE~a SZUBUR
1	155234	P005450	1(N01) 1(N04) 1(N14) 1(N19) 1(N34) 1(N45) 1(N46) 2(N01) 2(N14) 2(N34) 2(N45) 2(N46) 3(N01) 3(N04) 4(N01) 4(N04) 4(N19) 4(N34) 4(N36) 5(N01) 5(N14) 6(N19) 7(N14) 7(N34) A AN APIN~a BA BU~a DU E2~a EN~a GIBIL KASZ~c MAR~a MUSZEN PAP~a PA~a RAD~a SZAM2 SZE~a SZUBUR
1	155248	P005464	1(N14) 1(N34) 1(N45) 2(N01) 2(N34) 2(N45) 2(N46) 3(N01) 3(N14) 3(N19) 3(N36) 4(N01) 4(N34) 5(N14) 6(N14) 8(N14) A AN BU~a DIB DUG~a EN~a GIBIL MAR~a NAM2 PAP~a PA~a RU SZE~a U2~b U4
