signI	signJ	{measureName}
1(N57)	3(N01)	86.3657027535518
1(N01)	ERIN	85.83201591706363
EN~a	SANGA~a	85.38182656411281
3(N01)	BA	85.17753508190728
SZE~a	U4	84.71750733709045
2(N01)	SANGA~a	84.44981505004392
3(N01)	GI	82.81950970335878
1(N01)	1(N24)	82.81762769849962
3(N01)	PAP~a	82.8153309474059
A	AN	82.2642803736765
1(N14)	E2~a	82.17114764261095
1(N14)	4(N14)	82.11815856408002
1(N01)	GU4	81.63517569138753
AN	NUN~a	81.37691640790405
BA	GI	81.374429358792
1(N34)	5(N01)	80.52390025782555
1(N45)	SZE~a	80.34246674071454
1(N01)	TUR3~a	80.32805858533625
1(N14)	GAR	80.20551361226906
3(N01)	SZU	80.1961351246382
4(N01)	U4	80.08938737915899
1(N01)	MA	79.94707234707333
GI	SZE~a	79.84974102768318
3(N01)	6(N01)	79.720744370937
3(N01)	UDU~a	79.67233508968856
1(N14)	9(N01)	79.59596591495234
3(N14)	SZE~a	79.26205427227708
1(N01)	U2~b	79.13003204402199
1(N01)	SIG2~b	78.98482135490313
DU	PAP~a	78.82168604824452
5(N01)	U4	78.6829155776954
PAP~a	SZE~a	78.48318925383766
5(N01)	6(N01)	78.32556771930818
1(N01)	APIN~a	77.793054676622
AN	SZU	77.67637145964203
1(N01)	DUG~a	77.60018769848081
1(N57)	EN~a	77.32042857322219
2(N01)	NI~a	77.16918042702775
AN	PAP~a	77.00342866539253
AN	U4	76.98339229159386
2(N01)	4(N14)	76.97923093154098
3(N57)	U4	76.82695468570556
EN~a	IB~a	76.7309373444521
EN~a	NAM2	76.46143369179484
4(N01)	6(N01)	76.43907056316459
1(N01)	GA2~a1	76.3944426594509
BA	SZE~a	76.36652736283041
2(N01)	KI	75.60879957377188
AN	SAL	75.44997213714639
KUR~a	SAL	75.2916865208522
1(N57)	SAL	75.21969222829745
1(N01)	RU	75.21463651528904
PAP~a	SZU	75.20197289351907
5(N01)	SZE~a	75.20190826826504
1(N14)	5(N14)	75.05725937900519
5(N01)	UDU~a	74.88650206309917
NAM2	PAP~a	74.73427710214955
2(N01)	SAG	74.53119938387933
3(N57)	E2~a	74.37199315028249
2(N01)	KU6~a	74.05789996740326
1(N01)	8(N01)	73.94502632816632
1(N57)	5(N01)	73.74705169466199
1(N01)	SUKKAL	73.6066436369117
4(N14)	5(N01)	73.54706746763192
1(N01)	PIRIG~b1	73.45177332664097
1(N01)	KISAL~b1	73.3952602039529
1(N01)	GI6	73.38595015483527
BU~a	SZE~a	73.32462902076765
1(N24)	1(N39~a)	72.94156091160775
1(N01)	SZE3	72.60533957596172
2(N01)	TUG2~a	72.25034265613893
AN	HI	72.02879422702277
1(N01)	ERIM~a	71.84411348755697
AN	KI	71.76435458867543
1(N58)	BAD~a	71.68462736683169
NI~a	RU	71.63224728232328
PAP~a	U4	71.51570225240893
2(N01)	BAR	71.49299809001172
1(N01)	ZATU753	71.41871012513639
2(N14)	4(N14)	71.33306890793703
1(N34)	3(N01)	71.25514385838403
2(N01)	NAM2	70.96100781345149
1(N14)	3(N57)	70.8984018193082
EN~a	TUR	70.85948726430902
4(N01)	AN	70.7033467327774
BAR	U4	70.60749526118153
1(N01)	MASZ2	70.45867463453882
1(N14)	SZU	70.39922407164192
1(N57)	4(N01)	70.36539599988427
AN	BU~a	70.21890935508715
GAL~a	SZITA~a1	69.81563223856979
1(N34)	4(N01)	69.6619669733731
2(N01)	8(N01)	69.53658819972529
GA~a	ZATU753	69.42436292612638
3(N01)	3(N57)	69.3375386203545
1(N14)	SZU2	69.10137773568422
5(N01)	SAL	69.09974718011154
1(N01)	SILA3~a	69.06170408877959
BU~a	NAM2	68.6023885030086
3(N57)	BU~a	68.58155713973217
2(N01)	HI	68.3991961251867
1(N01)	SZA	68.37203719722945
2(N01)	TUR	68.3194059580654
1(N01)	NAGA~a	68.29321502795719
1(N01)	UB	68.048797960319
EN~a	TE	68.00557330732025
