signI	signJ	{measureName}
5(N01)	U4	116.29686155882018
2(N01)	SZU2	116.25671369936317
2(N01)	SI	116.0989245215463
1(N57)	EN~a	115.7958121016028
EN~a	HI	115.16110472910094
2(N01)	ME~a	114.93977368767115
2(N14)	4(N14)	114.79760873036345
AN	U4	114.49509112113086
5(N01)	6(N01)	114.13100968809046
1(N01)	8(N01)	114.03875414997157
4(N01)	6(N01)	112.6584379544848
2(N01)	NAM2	112.55582649598033
1(N01)	SU~a	112.53412870761089
AN	PAP~a	111.94556496432182
1(N01)	4(N14)	110.66458127110312
PAP~a	SZU	110.64680437574279
4(N01)	U4	109.56064209770093
A	AN	109.53571725952973
5(N01)	SZE~a	109.52015829727743
PAP~a	SZE~a	109.44086188197062
1(N34)	4(N01)	108.967564925975
1(N34)	3(N01)	108.68721771480867
DU	PAP~a	108.63999079577752
1(N34)	4(N14)	108.61165136696845
1(N01)	RU	108.47836749496936
BA	SZE~a	108.44480810626348
2(N01)	PA~a	108.22312383396239
BA	GI	108.12881990283869
AN	NUN~a	107.81627657724727
1(N01)	TAK4~a	107.74554683430613
1(N14)	E2~a	107.24831527029171
1(N01)	DA~a	107.04516106123711
1(N01)	SUHUR	106.88071455766041
1(N01)	MASZ	106.80968721235135
2(N01)	SAG	105.96261407898153
2(N01)	KI	105.81295960442029
3(N14)	SZE~a	105.53287969213328
AN	BU~a	105.39988839161371
3(N01)	SZU	104.6616181980471
1(N14)	5(N14)	104.54347291616978
3(N14)	EN~a	104.53306932261793
2(N01)	KU6~a	104.37993319812773
1(N14)	9(N01)	104.24060470658779
4(N14)	5(N01)	104.08718691495478
1(N57)	5(N01)	103.62692529291894
AN	SAL	103.30867068954204
2(N01)	7(N01)	103.27172748784518
AN	SZU	103.10129038268646
1(N01)	UD5~a	102.95037449878436
EN~a	SZU2	101.88764240325567
2(N01)	AB~a	101.85395594240586
AN	MUSZ3~a	101.65255408012773
PAP~a	U4	101.58358482541966
1(N01)	RAD~a	100.57156465392843
1(N01)	1(N24)	100.06435755521824
AN	SZE~a	99.9534028123494
AB~a	EN~a	99.83515890958523
1(N14)	SZU	99.64519898568436
EN~a	TE	99.40548261457013
3(N57)	U4	99.37434582319857
