signI	signJ	{measureName}
1(N14)	E2~a	131.44847620848714
1(N34)	4(N14)	130.9301336814831
EN~a	SAG	130.73372605102665
2(N01)	7(N01)	130.46572562406666
2(N01)	8(N01)	130.21420382515905
1(N14)	SANGA~a	130.08147646860698
5(N01)	6(N01)	129.9155362917791
4(N01)	6(N01)	129.87016093502194
1(N14)	5(N14)	129.72630648371074
EN~a	SI	129.10252426448233
1(N01)	KUR~a	128.27247279500517
5(N01)	U4	127.90764850709604
5(N01)	SZE~a	127.12616757935693
1(N14)	GAL~a	127.12483806561745
3(N01)	GI	127.02626670511569
AN	U4	126.75910524062937
3(N57)	PAP~a	126.4725106914878
1(N34)	EN~a	126.08791554490404
GI	SZE~a	126.04507451085175
1(N57)	EN~a	125.76093290547657
2(N01)	PA~a	125.57140191300232
3(N01)	SZU	124.00511773200098
4(N14)	5(N01)	123.72649594833659
2(N01)	ME~a	123.57169121521501
1(N01)	DUG~c	123.44489262378282
2(N14)	U4	123.3725209044821
1(N01)	SU~a	122.90562504489382
2(N01)	KI	122.04705799213673
EN~a	HI	121.55546493095909
BA	SZE~a	121.45582427211257
2(N01)	NAM2	121.40198748718731
2(N01)	SAG	121.06368086873752
A	AN	121.05780713462214
3(N14)	SZE~a	121.03137370495014
2(N14)	BA	120.85874759554018
3(N01)	A	120.4835891987891
AN	PAP~a	120.17052618484905
2(N01)	SI	120.07511622609665
1(N01)	KU3~a	119.6342295420368
1(N01)	TUG2~a	119.43477676234434
AN	NUN~a	119.38646417064136
2(N01)	SZU2	119.14428981816648
1(N14)	NUN~a	118.62559704113495
3(N01)	4(N14)	118.31218461155915
1(N01)	DA~a	117.43029329021606
1(N14)	DU	117.35876769149627
PAP~a	SZU	117.35425072443324
PAP~a	SZE~a	117.0202587573103
2(N01)	AB~a	116.97847570821092
2(N14)	SAL	116.63919217316057
4(N01)	AN	116.5359367555967
2(N01)	KU6~a	116.34092717024421
1(N14)	9(N01)	116.2369624630917
AN	SZE~a	115.9586015985993
