signI	signJ	{measureName}
2(N01)	8(N01)	130.21420382515905
1(N14)	SANGA~a	130.08147646860698
5(N01)	6(N01)	129.9155362917791
4(N01)	6(N01)	129.87016093502194
1(N14)	E2~a	129.62348101279173
1(N14)	A	129.2497083047018
1(N14)	5(N14)	128.80504664119104
EN~a	NAM2	128.54816819475235
EN~a	SAG	127.62071238241323
1(N01)	KUR~a	127.38270901547762
5(N01)	U4	126.92754900460848
EN~a	SI	126.6984942944524
5(N01)	SZE~a	126.69830688283952
1(N14)	GAL~a	126.26657034908202
3(N01)	GI	126.2401970533744
3(N57)	PAP~a	126.1685106914878
2(N01)	PA~a	125.57140191300232
1(N34)	EN~a	125.22721902749109
1(N57)	EN~a	123.95914749775125
4(N14)	5(N01)	123.72649594833659
3(N01)	SZU	123.69803111782774
2(N01)	ME~a	123.57169121521501
1(N01)	DUG~c	123.44489262378282
2(N14)	U4	123.3725209044821
1(N01)	SU~a	122.57491638347649
AN	U4	122.43336170058731
2(N01)	KI	122.04705799213673
GI	SZE~a	121.43993470040499
2(N01)	NAM2	121.40198748718731
2(N01)	SAG	121.06368086873752
3(N14)	SZE~a	121.03137370495014
2(N14)	BA	120.85874759554018
2(N01)	SI	120.07511622609665
1(N01)	KU3~a	119.6342295420368
BA	SZE~a	119.54197367668989
1(N01)	TUG2~a	119.43477676234434
2(N01)	SZU2	119.14428981816648
3(N01)	A	119.08745961051001
AN	PAP~a	118.83301969134254
3(N01)	4(N14)	118.31218461155915
EN~a	HI	117.74572401093491
1(N14)	NUN~a	117.64276442310921
1(N14)	DU	117.35876769149627
PAP~a	SZU	117.35425072443324
2(N01)	AB~a	116.97847570821092
2(N14)	SAL	116.63919217316057
1(N01)	DA~a	116.47009428524092
2(N01)	KU6~a	116.34092717024421
PAP~a	SZE~a	116.2682587573103
1(N14)	9(N01)	116.2369624630917
AN	NUN~a	116.13208455026172
A	AN	116.0180404980573
1(N57)	5(N01)	115.68645912967543
4(N01)	AN	115.5409118799748
3(N01)	7(N01)	115.18436512176517
1(N01)	RU	114.96953899913865
3(N01)	NUN~a	114.13637577750845
AN	SZU	113.51110878811353
DU	PAP~a	113.48370331166839
3(N01)	3(N57)	113.21614968426647
1(N14)	BU~a	113.11201556885341
AB~a	EN~a	113.05083714628012
1(N57)	2(N14)	112.96053393045874
4(N01)	BA	112.64990130600711
2(N14)	AN	112.61533597374887
AN	SZE~a	112.09764004605564
5(N01)	AN	111.79034179950749
5(N01)	UDU~a	111.60598216673554
3(N01)	BU~a	111.23686379138756
1(N01)	MASZ	110.99090082531967
3(N01)	GAL~a	110.81293106099785
2(N14)	UDU~a	110.77429556144503
1(N01)	TAK4~a	110.33329526470794
BA	GI	110.19407438951806
1(N14)	KU6~a	109.74262291444782
2(N14)	GI	109.65291272569148
3(N01)	8(N01)	109.36690404098157
1(N01)	5(N14)	108.65154539069549
1(N01)	SUHUR	108.39278680161507
AN	SAL	108.28154893205601
AN	BU~a	108.24237238564466
2(N14)	7(N01)	108.12170425517246
1(N01)	RAD~a	107.98969337959704
1(N14)	KI	107.85354026026756
1(N14)	2(N34)	107.76226583351075
1(N14)	PA~a	107.5033438266299
GAL~a	N	107.46390088915405
PAP~a	U4	107.42864413902915
1(N01)	9(N01)	107.07781008733659
3(N14)	4(N14)	106.4855651196684
1(N14)	GAR	106.28366299560922
2(N01)	BAR	106.22480119864649
5(N01)	SAL	106.08922924004847
3(N01)	DU	105.74115045931613
EN~a	SZU2	104.78431847453373
2(N01)	NI~a	104.65037004714299
1(N14)	SZU2	104.41746251304491
EN~a	UDU~a	104.10956301657538
AN	MUSZ3~a	103.64687042246054
1(N57)	4(N01)	103.48315203452157
1(N01)	APIN~a	103.4398327323009
4(N01)	4(N14)	103.33022602594151
3(N01)	SANGA~a	103.32786077316435
GI	PAP~a	103.32086004655773
4(N01)	UDU~a	103.17589543852388
6(N01)	EN~a	103.15540748555772
2(N01)	5(N14)	102.83821601213072
2(N14)	PAP~a	102.6760454203149
5(N01)	PAP~a	102.13180360520083
1(N01)	DI	102.0975201429635
EN~a	KU6~a	101.94288760437021
1(N01)	GU7	101.83938513218295
1(N01)	KISAL~b1	101.79758769542144
AN	BA	101.47706516927809
2(N01)	TUR	101.26525426444432
5(N01)	8(N01)	101.17671466138539
GAL~a	NAM2	100.71929824684499
5(N01)	BA	100.71614158739962
EN~a	TUR	100.53596827156167
EN~a	TE	100.40250952952736
1(N01)	TUR3~a	100.39745331371095
3(N01)	E2~a	100.23631098967407
1(N14)	ME~a	100.09862861635445
1(N01)	UD5~a	99.95894839151244
2(N01)	9(N01)	99.93324876056285
BU~a	SZE~a	99.80735504400919
1(N01)	UNUG~a	99.55669612984438
A	BU~a	99.41748698344834
2(N14)	2(N34)	99.21388193038663
AN	KI	99.17253267150217
EN~a	IB~a	99.04977416982955
SAL	U4	98.81498689753221
AN	GI	98.77498621002312
1(N57)	BAR	98.27192010180582
BA	U4	97.5675249493686
1(N01)	GA2~a1	97.4088226973635
3(N57)	E2~a	97.30698430217411
3(N01)	5(N14)	97.2508783539469
1(N01)	DUG~a	97.0395832939915
3(N57)	SAL	96.98202312566998
1(N01)	1(N24)	96.97685005774065
2(N01)	HI	96.89555198580926
4(N01)	GI	96.7715287170074
4(N01)	SAL	96.2926435277985
1(N57)	SAL	96.22638551268216
5(N01)	GI	96.19953394716205
GI	U4	96.01560048584564
A	SZE~a	95.8557979423597
1(N14)	NAM2	95.8117470295004
2(N01)	GAR	95.78136872172831
1(N45)	SZE~a	95.52156923867058
1(N14)	BAR	95.2413433504228
1(N34)	2(N34)	95.20852324875969
A	PAP~a	95.16988045076471
1(N14)	SI	95.05612466910132
5(N01)	7(N01)	94.72844805011887
3(N57)	U4	94.62116369014464
1(N34)	SZE~a	94.5636041121858
1(N01)	ZATU753	94.4798021981022
1(N14)	AB~a	94.46997757216397
1(N01)	GU4	94.37518393658124
4(N01)	PAP~a	94.31005989702561
1(N34)	6(N01)	94.18875380653719
3(N57)	SZE~a	94.05794645738351
2(N14)	8(N01)	94.03248353155678
1(N01)	URU~a1	93.98399434023442
1(N57)	BA	93.94979201312866
4(N01)	8(N01)	93.54328098448607
3(N01)	BAR	93.53714213322574
PA~a	SZE~a	93.34633456213777
SZE~a	SZU	93.29122007745016
5(N14)	SZE~a	93.17983204713606
AN	GAL~a	93.15657274205701
1(N01)	U2~b	93.04776073329218
2(N14)	5(N14)	92.91849915846676
1(N01)	SZA	92.87524637948995
3(N57)	BU~a	92.86733630810383
AN	E2~a	92.8359306841106
1(N01)	ERIM~a	92.59970530990377
3(N14)	6(N01)	92.2632890772293
1(N01)	1(N08)	92.22495337747412
SAL	SZE~a	91.86278394856002
SAL	SZU	91.69406014021538
1(N01)	E2~b	91.650116708531
1(N01)	NAGA~a	91.02779801690367
1(N01)	SUKKAL	90.86502418159905
4(N14)	EN~a	90.85960381342
BU~a	SAL	90.6770430296808
4(N01)	7(N01)	90.63694528913135
3(N01)	PA~a	90.32653372956351
1(N01)	MA	89.99659695552467
EN~a	SZUBUR	89.97296900019485
1(N14)	HI	89.59132896614024
5(N01)	GAL~a	89.50392554360316
1(N01)	ERIN	89.4882862267484
1(N01)	UB	89.37288429920058
2(N01)	SZITA~a1	89.27855132625425
1(N14)	SAG	89.26558134903854
3(N57)	AN	89.25132045825899
AN	HI	89.07837161285353
3(N01)	SI	88.94407317220767
BU~a	NAM2	88.751238841633
SAL	SANGA~a	88.6384595044524
GAL~a	SZE~a	88.46921734533453
SANGA~a	SZE~a	88.2228469416242
2(N14)	NUN~a	87.94400586933622
3(N01)	SAG	87.6826734767913
AN	DU	87.44639042699079
2(N01)	NE~a	87.40675546369361
A	GI	87.1413929566684
DU	SZE~a	87.08482012932025
3(N57)	4(N01)	87.06856572021738
AN	SANGA~a	86.93909935462223
4(N01)	SZU	86.83260985837448
2(N14)	GAL~a	86.71028545350532
GAL~a	NUN~a	86.0953382979645
3(N57)	SZU	85.99652150237102
1(N01)	SZE3	85.96872332039457
4(N14)	SZE~a	85.95661051455278
NAM2	PAP~a	85.92422564968496
E2~a	PAP~a	85.92127604469465
1(N01)	PIRIG~b1	85.87075836686734
PAP~a	SANGA~a	85.76439741624621
2(N01)	SZUBUR	85.72316822603646
BU~a	DU	85.61650554056337
GAL~a	SZITA~a1	85.52085748231644
E2~a	SZE~a	85.3718266870496
1(N57)	UDU~a	85.25814455081385
2(N01)	MASZ	85.02579999469727
BU~a	E2~a	84.95981491539862
U4	UDU~a	84.94167503091575
NAM2	PA~a	84.84500109363654
1(N34)	5(N14)	84.58762087997567
BA	UDU~a	84.48061948858202
3(N01)	NAM2	84.31834878400794
3(N01)	ME~a	84.24524826699714
3(N01)	KI	84.03870406846023
BU~a	U4	84.03261495523908
3(N01)	SZU2	83.55230249899112
5(N01)	E2~a	83.25974656941634
AN	SI	82.91496438439596
GAL~a	SAL	82.80484540391758
BU~a	SZU	82.76147934560937
2(N01)	KUR~a	82.54478766760089
NUN~a	SANGA~a	82.5442984235799
EN~a	SZITA~a1	82.29693479044029
1(N01)	U8	82.17599568731855
GI	SAL	82.13576180013678
5(N01)	NUN~a	81.90000651130732
2(N01)	RU	81.82900143895394
2(N14)	E2~a	81.76605370423935
PAP~a	SI	81.36834171074618
3(N14)	BA	81.2870005012296
3(N14)	UDU~a	81.25510738173276
AN	SAG	81.23587927698233
GAL~a	SZU	81.11851755404157
2(N01)	MUSZ3~a	81.02513196475732
6(N01)	8(N01)	81.01862016207443
3(N57)	GI	80.92658575721433
E2~a	SAL	80.83400547660601
A	SAL	80.79135371384874
1(N57)	PAP~a	80.68082736662967
3(N57)	SANGA~a	80.60519097277007
4(N01)	NUN~a	80.59884264945782
1(N01)	2(N57)	80.40338250817295
6(N01)	BA	80.15660752349588
1(N01)	KAB	80.15615341964934
2(N01)	MUSZEN	80.15001733259264
1(N34)	U4	80.10964373350934
1(N01)	AMAR	80.08852858207848
2(N01)	DUG~a	80.06804301266328
BA	PAP~a	80.04457644110455
1(N34)	1(N57)	80.00764219899494
3(N01)	KU6~a	79.95858004956169
3(N57)	5(N01)	79.92984739603459
2(N01)	UD5~a	79.820271790615
