signI	signJ	{measureName}
EN~a	SZU2	85.72018875158828
3(N01)	BA	84.68004764472134
2(N01)	SANGA~a	84.44981505004392
EN~a	SAG	84.39668729306193
EN~a	SANGA~a	83.49628734842653
1(N01)	1(N24)	82.81762769849962
3(N01)	PAP~a	82.8153309474059
1(N14)	4(N14)	82.11815856408002
3(N01)	GI	82.03559010536883
SZE~a	U4	80.84827379973484
1(N14)	E2~a	80.3478754374292
1(N01)	TUR3~a	80.32805858533625
1(N01)	GU4	80.23220081701567
1(N01)	MA	79.94707234707333
3(N01)	SZU	79.9001351246382
3(N01)	6(N01)	79.720744370937
1(N45)	SZE~a	79.64397427840298
1(N14)	9(N01)	79.59596591495234
1(N34)	5(N01)	79.56410126285067
3(N01)	UDU~a	79.26433508968856
3(N14)	SZE~a	79.26205427227708
4(N01)	U4	79.25521652488763
1(N01)	U2~b	79.13003204402199
1(N01)	SIG2~b	78.94482135490314
5(N01)	6(N01)	78.32556771930818
BA	GI	78.26616187568564
AN	NUN~a	78.13433005688753
DU	PAP~a	78.10845075412686
PAP~a	SZE~a	77.73522177416288
5(N01)	U4	77.70301608020796
1(N01)	DUG~a	77.60018769848081
1(N14)	GAR	77.4090151024037
A	AN	77.23733594969272
2(N01)	NI~a	77.16918042702775
1(N01)	APIN~a	77.02923558114462
2(N01)	4(N14)	76.97923093154098
4(N01)	6(N01)	76.43907056316459
AN	SZU	75.84895407898107
1(N01)	GA2~a1	75.8184426594509
AN	PAP~a	75.67667427942762
2(N01)	KI	75.60879957377188
1(N57)	EN~a	75.52072421254222
GI	SZE~a	75.26221611981758
1(N01)	RU	75.21463651528904
PAP~a	SZU	75.20197289351907
EN~a	IB~a	75.161280481707
5(N01)	UDU~a	74.88650206309917
5(N01)	SZE~a	74.77979771550123
NAM2	PAP~a	74.73427710214955
2(N01)	SAG	74.53119938387933
BA	SZE~a	74.46088910542392
3(N57)	U4	74.41292581421781
1(N14)	5(N14)	74.1372593790052
2(N01)	KU6~a	74.05789996740326
1(N01)	8(N01)	73.94502632816632
KUR~a	SAL	73.92786299144042
1(N57)	SAL	73.77406064935008
1(N57)	5(N01)	73.74705169466199
3(N57)	E2~a	73.6750234533128
1(N01)	SUKKAL	73.6066436369117
4(N14)	5(N01)	73.54706746763192
AN	SAL	73.51146380601708
1(N01)	KISAL~b1	73.3952602039529
1(N01)	GI6	73.38595015483527
EN~a	NAM2	73.28872927810546
1(N24)	1(N39~a)	72.94156091160775
AN	U4	72.6676905529597
1(N01)	PIRIG~b1	72.58242659297264
2(N01)	TUG2~a	72.25034265613893
1(N01)	ERIM~a	71.84411348755697
1(N01)	SZE3	71.72091746540896
1(N58)	BAD~a	71.68462736683169
NI~a	RU	71.63224728232328
2(N01)	BAR	71.49299809001172
1(N01)	ZATU753	71.41871012513639
2(N14)	4(N14)	71.33306890793703
2(N01)	NAM2	70.96100781345149
1(N34)	3(N01)	70.3757468734594
