signI	signJ	{measureName}
1(N01)	MUSZEN	132.34603400580193
1(N34)	4(N14)	132.09522692965493
2(N01)	7(N01)	131.93494809625227
EN~a	SAG	131.62618200480614
1(N14)	SANGA~a	131.51436004797318
2(N01)	8(N01)	131.50471446886237
5(N01)	6(N01)	131.04120959141346
1(N14)	5(N14)	130.9461765771178
4(N01)	6(N01)	130.76401385759075
EN~a	SI	129.90525850488584
1(N01)	KUR~a	129.7700789534933
5(N01)	U4	128.8808959878849
1(N14)	GAL~a	128.25202114036225
5(N01)	SZE~a	128.06027219207442
AN	U4	127.84779063630852
3(N01)	GI	127.57097381581907
1(N34)	EN~a	127.39634555323207
3(N57)	PAP~a	127.28405814956398
1(N57)	EN~a	127.18448993356375
2(N01)	PA~a	127.11362600580689
GI	SZE~a	126.79829852348566
3(N01)	SZU	125.1558812646813
2(N14)	U4	125.07020714774983
4(N14)	5(N01)	124.74260037513397
2(N01)	ME~a	124.50426516751168
1(N01)	DUG~c	124.16301267970282
1(N01)	SU~a	123.72485551270034
2(N01)	NAM2	122.88346998981419
2(N01)	KI	122.8755379535367
BA	SZE~a	122.6757618147888
2(N14)	BA	122.16578657687963
2(N01)	SAG	122.14341684922148
3(N14)	SZE~a	122.09410195113178
EN~a	HI	122.01940460849184
A	AN	121.76606975018687
3(N01)	A	121.29422737191153
2(N01)	SI	120.7984147062598
AN	PAP~a	120.79544053420973
AN	NUN~a	120.4068098218459
1(N01)	KU3~a	120.28532743367408
1(N01)	TUG2~a	120.23353064282051
1(N14)	NUN~a	120.21671411514933
2(N01)	SZU2	120.20797402635968
3(N01)	4(N14)	119.32537280083862
1(N14)	DU	118.48065892988407
1(N01)	DA~a	118.23683565836411
PAP~a	SZE~a	118.15958192779412
2(N01)	AB~a	117.928409791464
PAP~a	SZU	117.92355622710795
2(N14)	SAL	117.64228263366634
4(N01)	AN	117.52340535514767
2(N01)	KU6~a	117.20448569937211
1(N57)	5(N01)	117.008052846644
1(N14)	9(N01)	116.78386628412613
AN	SZE~a	116.65478303144111
1(N01)	RU	116.3781276815321
3(N01)	7(N01)	116.27961687935795
AN	SZU	115.97904189108182
AB~a	EN~a	115.7998834329843
3(N01)	NUN~a	115.12198397005682
DU	PAP~a	114.90478570684161
1(N14)	BU~a	114.65618976263305
1(N57)	2(N14)	114.62673643826446
4(N01)	BA	114.21781724753592
3(N01)	3(N57)	114.09007984543905
BA	GI	113.90957564615371
5(N01)	AN	113.61592281386864
AN	BU~a	113.4896820137434
2(N14)	AN	113.18865470825355
1(N01)	MASZ	113.12893707466841
3(N01)	BU~a	112.71377083197063
5(N01)	UDU~a	112.54599952262917
3(N01)	GAL~a	112.20086328637437
2(N14)	UDU~a	111.75812794261374
1(N14)	KU6~a	111.5765865917982
1(N01)	TAK4~a	110.92276341348948
1(N01)	SUHUR	110.71421746173037
AN	SAL	110.67087652587485
2(N14)	GI	110.53082680377165
3(N01)	8(N01)	110.44523959287353
1(N01)	5(N14)	110.29202438424863
1(N14)	GAR	110.08742957305411
PAP~a	U4	110.07750250877938
GAL~a	N	109.76208564698806
1(N14)	KI	109.6506613878209
1(N01)	RAD~a	109.21847929529748
2(N14)	7(N01)	108.99597678422437
1(N14)	2(N34)	108.66918335445835
EN~a	SZU2	108.66863127943128
1(N14)	PA~a	108.48870552009238
1(N01)	9(N01)	107.67285617927587
5(N01)	SAL	107.5743544883823
3(N14)	4(N14)	107.3101577678986
2(N01)	BAR	107.28412973428586
GI	PAP~a	106.43875193667742
3(N01)	DU	106.24933553919833
EN~a	UDU~a	106.07988544674367
A	BU~a	105.84544700758774
1(N14)	SZU2	105.82813404536189
2(N01)	NI~a	105.68525898750136
1(N01)	APIN~a	104.84148711380163
BU~a	SZE~a	104.82534305263255
2(N01)	5(N14)	104.76945879411701
1(N57)	4(N01)	104.5749145538532
AN	KI	104.30389241139596
4(N01)	4(N14)	104.2335683954484
GAL~a	NAM2	104.23032538156473
4(N01)	UDU~a	104.17455553065487
6(N01)	EN~a	104.15723467832623
AN	BA	104.15328704655428
EN~a	KU6~a	104.09484851510442
EN~a	TE	103.92240620619583
AN	MUSZ3~a	103.91705225767024
3(N01)	SANGA~a	103.91290607507942
2(N14)	PAP~a	103.59393967489764
1(N01)	GU7	103.50728231465277
GI	U4	103.43349349193733
AN	GI	103.3565367341679
1(N01)	DI	103.21335698762621
5(N01)	PAP~a	102.9881400602891
SAL	U4	102.73763009599244
EN~a	TUR	102.71170965012539
1(N01)	KISAL~b1	102.27523701923667
5(N01)	8(N01)	102.18407423482132
2(N01)	TUR	102.17790971560187
5(N01)	BA	101.8928419945631
3(N01)	E2~a	101.71205656232662
1(N01)	UD5~a	101.38296884990862
EN~a	IB~a	101.02386789835131
1(N01)	UNUG~a	101.01313789665967
2(N01)	9(N01)	100.90397410630918
1(N14)	ME~a	100.8111915666091
1(N01)	TUR3~a	100.76003571106578
BA	U4	100.43235872851372
A	SZE~a	100.42682716538896
2(N14)	2(N34)	100.10683149684479
1(N57)	BAR	99.48692790625441
3(N01)	5(N14)	98.95828275159828
3(N57)	E2~a	98.95275836566861
1(N57)	SAL	98.77364196042576
3(N57)	U4	98.76945427771105
1(N01)	GA2~a1	98.51860275854538
4(N01)	GI	97.9625641349866
3(N57)	SAL	97.83914036813486
4(N01)	SAL	97.80121107322007
1(N01)	DUG~a	97.67196935715454
2(N01)	GAR	97.6165025885006
A	PAP~a	97.56194319385618
2(N01)	HI	97.49334948661718
1(N01)	1(N24)	97.46612640772322
5(N01)	GI	97.42929121620035
1(N34)	2(N34)	97.33461841924206
1(N14)	NAM2	97.32112871836041
AN	E2~a	97.27241704588974
1(N45)	SZE~a	96.79982657924722
1(N14)	BAR	96.66640708047247
1(N01)	GU4	96.60231163946672
1(N34)	SZE~a	96.3283729139766
AN	GAL~a	96.28661904899177
3(N57)	SZE~a	96.2513323608175
1(N01)	ZATU753	95.9889131590351
1(N57)	BA	95.93640715495285
5(N01)	7(N01)	95.81932277778257
1(N14)	SI	95.58060244419583
PA~a	SZE~a	95.24971328178782
1(N14)	AB~a	95.22485675671149
3(N57)	BU~a	95.10651247337505
1(N34)	6(N01)	94.98639863098934
4(N01)	PAP~a	94.93849622523432
2(N14)	8(N01)	94.73637818540233
SZE~a	SZU	94.68453322175289
1(N01)	URU~a1	94.45227582073416
4(N01)	8(N01)	94.39509053129332
3(N01)	BAR	94.33303724011947
SAL	SZE~a	94.2471905403834
2(N14)	5(N14)	94.03835101901814
1(N01)	SZA	94.01585973054577
AN	HI	93.84062840283393
1(N01)	ERIM~a	93.80752070375488
5(N14)	SZE~a	93.7792624911057
1(N01)	1(N08)	93.60331636791858
BU~a	SAL	93.56093338477196
1(N01)	U2~b	93.55161126900067
SAL	SZU	93.50595784752774
A	GI	93.31887477652376
EN~a	SZUBUR	93.02201643076786
3(N14)	6(N01)	92.95039147352655
1(N01)	E2~b	92.26438239124303
BU~a	NAM2	91.86942982009813
4(N14)	EN~a	91.6907486808913
1(N01)	NAGA~a	91.58009156739584
SANGA~a	SZE~a	91.49332918803891
3(N57)	AN	91.41363570007466
1(N01)	SUKKAL	91.37230681602108
GAL~a	SZE~a	91.25715523356068
4(N01)	7(N01)	91.21829899242611
1(N14)	SAG	91.05611592439844
3(N01)	PA~a	91.01167996811589
1(N14)	HI	90.90905665460232
1(N01)	UB	90.72054941666065
2(N01)	SZITA~a1	90.71861920105927
SAL	SANGA~a	90.52782647450374
1(N01)	MA	90.47111670316794
BU~a	U4	90.23092578370941
5(N01)	GAL~a	90.0653259746193
1(N01)	ERIN	89.88338398305052
BU~a	E2~a	89.69126785621498
3(N01)	SI	89.63643721244873
GAL~a	SZITA~a1	89.60996720970002
GAL~a	NUN~a	89.58134199546863
AN	DU	89.49243099998212
3(N01)	SAG	89.22016623911281
DU	SZE~a	89.07970296800507
E2~a	SZE~a	89.07394579081186
BU~a	DU	89.05296916810161
AN	SANGA~a	89.02225875353676
AN	SI	88.96212065039295
2(N14)	NUN~a	88.75723475875218
E2~a	PAP~a	88.26901409494421
2(N01)	NE~a	88.23527867422848
3(N57)	4(N01)	87.80634625091886
1(N01)	PIRIG~b1	87.77898636522647
4(N01)	SZU	87.71861518291043
1(N01)	SZE3	87.67628847691283
1(N57)	UDU~a	87.64014713399416
3(N57)	SZU	87.45246915266799
2(N14)	GAL~a	87.36132647340568
4(N14)	SZE~a	86.70213308522963
2(N01)	SZUBUR	86.54069767091326
U4	UDU~a	86.40922778621935
2(N01)	MASZ	86.39156928944024
PAP~a	SANGA~a	86.38608693887679
NAM2	PAP~a	86.31841749899915
BA	UDU~a	86.19378135295229
BU~a	SZU	86.0356687044098
NAM2	PA~a	85.99328099333795
3(N01)	KI	85.42601854080415
GAL~a	SZU	85.34722046287827
3(N01)	NAM2	85.23939585837655
1(N34)	5(N14)	85.13402257572712
