tablet	excavationNumbers
P001408	W 09655,ak
P001409	W 09655,al
P001410	W 09655,am
P001411	W 09655,an
P001412	W 09655,ao
P001413	W 09655,ap
P001414	W 09655,aq
P001415	W 09655,ar
P001416	W 09655,as
P001417	W 09655,cq
P001418	W 09656,a1
P001419	W 09656,a2
P001420	W 09656,b
P001421	W 09656,c
P001422	W 09656,d
P001424	W 09656,f
P001425	W 09656,g
P001426	W 09656,h2
P001427	W 09656,i
P001428	W 09656,k
P001429	W 09656,l
P001431	W 09656,n1
P001432	W 09656,n2
P001433	W 09656,o
P001434	W 09656,p
P001435	W 09656,q
P001436	W 09656,r + W 09656,ry
P001437	W 09656,s
P001438	W 09656,t
P001439	W 09656,v
P001440	W 09656,w
P001442	W 09656,z
P001443	W 09656,aa
P001444	W 09656,ab
P001445	W 09656,ac
P001446	W 09656,ad
P001447	W 09656,ae
P001448	W 09656,af
P001449	W 09656,ag
P001450	W 09656,ah
P001451	W 09656,ai
P001452	W 09656,ak
P001453	W 09656,al
P001454	W 09656,am
P001456	W 09656,ao
P001458	W 09656,aq
P001459	W 09656,ar
P001460	W 09656,as
P001461	W 09656,at
P001462	W 09656,au
P001463	W 09656,av
P001464	W 09656,aw
P001465	W 09656,ax
P001466	W 09656,ay
P001467	W 09656,az
P001468	W 09656,ba
P001469	W 09656,bb
P001471	W 09656,bd
P001472	W 09656,be
P001473	W 09656,bf
P001474	W 09656,bg
P001475	W 09656,bh
P001476	W 09656,bi
P001477	W 09656,bk
P001478	W 09656,bl + W 09656,dx
P001479	W 09656,bm
P001480	W 09656,bn
P001481	W 09656,bo
P001482	W 09656,bp
P001483	W 09656,bq
P001484	W 09656,br
P001485	W 09656,bs
P001486	W 09656,bt
P001487	W 09656,bu
P001488	W 09656,bv
P001489	W 09656,bw
P001490	W 09656,bx
P001491	W 09656,by
P001492	W 09656,bz + W 09656,fl
P001493	W 09656,ca
P001494	W 09656,cb
P001495	W 09656,cc
P001496	W 09656,cd
P001497	W 09656,ce
P001498	W 09656,cf
P001499	W 09656,cg
P001500	W 09656,ch
P001501	W 09656,ci
P001502	W 09656,ck
P001503	W 09656,cl
P001504	W 09656,cm
P001505	W 09656,cn
P001506	W 09656,co
P001507	W 09656,cp1
P001508	W 09656,cp2
P001509	W 09656,cq
P001510	W 09656,cr
P001511	W 09656,cs
P001512	W 09656,ct
P001513	W 09656,cu
P001514	W 09656,cv
P001515	W 09656,cw
P001516	W 09656,cx
P001517	W 09656,cy
P001518	W 09656,cz
P001519	W 09656,da
P001520	W 09656,db
P001521	W 09656,dc
P001522	W 09656,dd
P001523	W 09656,de
P001524	W 09656,df
P001525	W 09656,dg1
P001526	W 09656,dg2
P001528	W 09656,di
P001529	W 09656,dk
P001530	W 09656,dl
P001531	W 09656,dm
P001532	W 09656,dn
P001533	W 09656,do
P001534	W 09656,dp
P001535	W 09656,dq
P001536	W 09656,dr
P001537	W 09656,ds
P001538	W 09656,dt
P001539	W 09656,du
P001541	W 09656,dw
P001543	W 09656,dy
P001544	W 09656,dz
P001550	W 09656,ef
P001551	W 09656,eg
P001552	W 09656,eh
P001553	W 09656,ei
P001554	W 09656,ek
P001555	W 09656,el
P001556	W 09656,em
P001557	W 09656,en1
P001558	W 09656,en2
P001559	W 09656,eo
P001560	W 09656,ep
P001561	W 09656,eq
P001562	W 09656,er
P001563	W 09656,es
P001564	W 09656,et
P001565	W 09656,eu
P001566	W 09656,ev
P001567	W 09656,ew
P001568	W 09656,ex
P001569	W 09656,ey
P001570	W 09656,ez
P001571	W 09656,fa
P001572	W 09656,fb
P001573	W 09656,fc
P001574	W 09656,fd
P001575	W 09656,fe
P001576	W 09656,ff
P001577	W 09656,fg
P001578	W 09656,fh
P001580	W 09656,fk
P001582	W 09656,fm
P001583	W 09656,fn
P001584	W 09656,fo
P001585	W 09656,fp
P001586	W 09656,fq
P001587	W 09656,fr
P001588	W 09656,fs
P001589	W 09656,ft
P001590	W 09656,fu
P001591	W 09656,fv
P001592	W 09656,fw
P001593	W 09656,fx
P001594	W 09656,fy
P001595	W 09656,fz
P001596	W 09656,ga
P001597	W 09656,gb
P001598	W 09656,gc
P001599	W 09656,gd
P001600	W 09656,ge
P001601	W 09656,gf
P001602	W 09656,gg
P001603	W 09656,gh
P001604	W 09656,gi
P001605	W 09656,gk
P001606	W 09656,gl
P001607	W 09656,gm
P001608	W 09656,gn
P001609	W 09656,go
P001610	W 09656,gp
P001611	W 09656,gq
P001612	W 09656,gr
P001613	W 09656,gs
P001614	W 09656,gt
P001615	W 09656,gu
P001617	W 09656,gw
P001618	W 09656,gx
P001619	W 09656,gy
P001620	W 09656,gz
P001621	W 09656,ha1
P001622	W 09656,ha2
P001623	W 09656,hb
P001624	W 09656,hc
P001625	W 09656,hd
P001626	W 09656,he
P001627	W 09656,hf
P001628	W 09656,hg1
P001629	W 09656,hg2
P001630	W 09656,hh
P001631	W 09656,hi
P001632	W 09656,hk
P001633	W 09656,hl
P001635	W 09656,hn1
P001636	W 09656,hn2
P001637	W 09656,ho
P001641	W 09656,hs
P001642	W 09656,ht
P001643	W 09656,hv
P001644	W 09656,hw
P001645	W 09656,hx
P001646	W 09656,hy
P001647	W 09656,hz
P001648	W 09656,ia
P001649	W 09656,ib1
P001650	W 09656,ib2
P001651	W 09656,ic
P001653	W 09656,ie1
P001654	W 09656,ie2
P001655	W 09656,if1
P001656	W 09656,if2
P001657	W 09656,ig
P001658	W 09656,ih
P001659	W 09656,ii
P001660	W 09656,ik
P001661	W 09656,il
P001662	W 09656,im1
P001663	W 09656,im2
P001664	W 09656,in
P001665	W 09656,io
P001666	W 09656,ip
P001667	W 09656,iq
P001668	W 09656,ir
P001669	W 09656,is
P001670	W 09656,it
P001671	W 09656,iu
P001672	W 09656,iv
P001673	W 09656,ix
P001674	W 09656,iy
P001675	W 09656,iz
P001676	W 09656,ka
P001677	W 09656,kb
P001678	W 09656,kc
P001679	W 09656,km
P001680	W 09656,?
P001681	W 09761,a
P001682	W 09761,b
P001683	W 09762
P001684	W 09827
P001685	W 09850
P001686	W 09851
P001687	W 10564
P001688	W 10581
P001689	W — ?
P001691	W — ?
P001692	W 10133,a
P001693	W 10133,b
P001694	W 10133,c
P001695	W 10133,d
P001696	W 10133,e
P001697	W 10133,f
P001698	W 10187,a
P001699	W 10187,b
P001700	W 10187,c + W 16351
P001701	W 10187,d + W 16243
P001702	W 10585
P001703	W 10590,h
P001704	W 10593
P001705	W 10594 + W 10599 + W 10600
P001706	W 10595
P001708	W 10597
P001709	W 10598 + W 10605 + W 10630
P001712	W 10601
P001713	W 10602
P001714	W 10603
P001715	W 10604 + W 10606
P001719	W 10608
P001720	W 10609
P001721	W 10610
P001722	W 10611
P001723	W 10612
P001724	W 10613,a1
P001725	W 10613,a2
P001726	W 10613,b1
P001727	W 10613,b2
P001728	W 10613,c
P001729	W 10613,d1
P001730	W 10613,d2
P001731	W 10613,e1
P001732	W 10613,e2
P001733	W 10613,f
P001734	W 10613,g
P001735	W 10614 + W 10615
P001737	W 10616
P001738	W 10617
P001739	W 10618,a
P001741	W 10619
P001742	W 10620
P001743	W 10621
P001744	W 10622
P001745	W 10623
P001746	W 10624
P001747	W 10625,a + W 10625,b + W 10625,c + W 10625,d + W 10626
P001752	W 10627
P001753	W 10628
P001754	W 10629
P001756	W 10631
P001757	W 10632
P001759	W 10731
P001760	W 10736
P001761	W 10753
P001762	W 10797
P001763	W 10798
P001764	W 10802
P001765	W 10803,a
P001766	W 10803,b + W 10803,c + W 10803,d
P001769	W 10804
P001770	W 10824
P001771	W 10825
P001772	W 10846
P001773	W 10929
P001774	W 10931
P001775	W 10967,a
P001776	W 10967,b
P001777	W 10992
P001778	W 10993
P001779	W 11040
P001780	W 11137
P001781	W 11167,b
P001782	W 11167,c
P001783	W 11167,d
P001784	W 11167,e
P001785	W 11167,f
P001786	W 11167,g
P001787	W 11167,h
P001788	W 11791 + W 11792
P001790	W 11793
P001794	W 11802
P001795	W 11803
P001796	W 11804
P001797	W 11896,a + W 11896,b
P001799	W 11931,a
P001801	W 11931,c
P001802	W 11931,d
P001803	W 11931,e
P001804	W 11982
P001805	W 11983,a + W 11983,b + W 11983,c
P001808	W 11983,d
P001810	W 11984,a
P001811	W 11984,b
P001812	W 11984,c
P001814	W 11984,e
P001816	W 11984,h
P001818	W 11985,a
P001819	W 11985,b
P001820	W 11985,c
P001821	W 11985,d
P001822	W 11986,b
P001823	W 11986,d
P001826	W 11988,c
P001827	W 12011
P001828	W 12013
P001829	W 12015
P001830	W 12016
P001831	W 12017
P001832	W 12119,a + W 12119,b
P001834	W 12120
P001835	W 12121
P001836	W 12122
P001837	W 12123
P001838	W 12124,a + W 12124,b
P001840	W 12124,c
P001841	W 12124,d
P001842	W 12137,a
P001843	W 12137,b
P001844	W 12137,c
P001845	W 12137,d
P001846	W 12137,e
P001849	W 12137,h
P001850	W 12137,?
P001851	W 12138
P001853	W 12197,?
P001855	W 12256,b
P001857	W 12256,d
P001861	W 12256,h
P001862	W 12256,m
P001863	W 12256,n
P001864	W 12256,p
P001866	W 12256,r
P001867	W 12256,s
P001868	W 12256,t
P001869	W 12256,?
P001871	W 13033
P001872	W 13323
P001873	W 13579
P001874	W 13649
P001875	W 13662,a1
P001876	W 13662,a2
P001877	W 13662,s1 + W 13662,a3?
P001878	W 13662,a4
P001879	W 13662,b1
P001880	W 13662,b2
P001881	W 13662,c2
P001882	W 13662,d1
P001883	W 13662,e1
P001884	W 13662,f1
P001885	W 13662,g1
P001886	W 13662,g2
P001887	W 13662,h1
P001888	W 13662,h2
P001889	W 13662,i1
P001890	W 13662,k1
P001891	W 13662,k2
P001892	W 13662,k3 + W 13662,kv2
P001893	W 13662,l1
P001894	W 13662,m1
P001895	W 13662,n1
P001896	W 13662,n2
P001897	W 13662,n3
P001898	W 13662,o1
P001899	W 13662,p1
P001900	W 13662,q1 + W 13662,y + W 13662,z
P001901	W 13662,r1
P001903	W 13662,s2
P001904	W 13662,t1
P001905	W 13662,t2
P001906	W 13662,t3
P001907	W 13662,u1
P001909	W 13662,v3
P001910	W 13662,w1
P001911	W 13662,w2
P001912	W 13662,x1
P001913	W 13662,x2
P001916	W 13675
P001917	W 13701
P001918	W 13917
P001919	W 13946,a
P001920	W 13946,b
P001921	W 13946,c
P001922	W 13946,d
P001923	W 13946,e
P001924	W 13946,f
P001925	W 13946,g
P001926	W 13946,h
P001927	W 13946,i + W 13946,k
P001929	W 13946,l
P001930	W 13946,m
P001931	W 13946,n1
P001932	W 13946,n2
P001933	W 13946,o + W 13946,s
P001936	W 13946,r
P001938	W 13946,t
P001940	W 13946,v
P001941	W 13946,w
P001942	W 13946,z
P001943	W 13989,a
P001944	W 13989,b
P001945	W 13989,c
P001946	W 13989,d
P001948	W 13989,f
P001949	W 14016,a
P001950	W 14017
P001951	W 14109
P001952	W 14110,a + W 14110,b
P001954	W 14111,a + W 14111,b + W 14111,d1 + W 14111,e
P001956	W 14111,c
P001958	W 14111,d2 + W 14363 + W 14364,a + b
P001960	W 14111,f
P001961	W 14111,g
P001962	W 14111,h
P001965	W 14111,l
P001967	W 14111,n
P001968	W 14111,o
P001971	W 14111,r
P001972	W 14111,s
P001974	W 14111,u
P001976	W 14111,w
P001977	W 14111,x
P001978	W 14111,y
P001979	W 14111,z
P001980	W 14111,aa
P001981	W 14111,?1
P001982	W 14111,?2
P001984	W 14112,l
P001985	W 14132
P001986	W 14133
P001987	W 14134,a
P001988	W 14134,b + W 14134,c
P001990	W 14148
P001991	W 14210
P001992	W 14263
P001993	W 14265
P001994	W 14274
P001995	W 14275
P001996	W 14289,a + W 14289,b
P001998	W 14290,a + W 14290,b
P002000	W 14291,a
P002001	W 14291,b
P002002	W 14327
P002003	W 14328
P002004	W 14329,a + W 14329,b
P002006	W 14330
P002007	W 14331
P002008	W 14332,a + W 14332,b + W 14332,c
P002011	W 14333
P002012	W 14334,a + W 14334,b + W 14334,d
P002015	W 14334,c
P002017	W 14334,e + W 14334,g + W 14334,h
P002018	W 14334,f
P002021	W 14334,l
P002023	W 14335,b
P002024	W 14335,d
P002025	W 14335,e
P002026	W 14335,f
P002027	W 14335,g
P002028	W 14335,h
P002029	W 14335,i
P002030	W 14335,k
P002031	W 14335,l1
P002032	W 14335,l2
P002033	W 14335,m
P002034	W 14335,n
P002035	W 14335,o + W 14335,p + W 14335,y + ?
P002041	W 14335,u
P002043	W 14335,w
P002044	W 14335,x
P002048	W 14338,a + W 14338,b
P002050	W 14338,c
P002051	W 14338,d
P002052	W 14341
P002053	W 14353
P002054	W 14354,a
P002056	W 14355
P002059	W 14357
P002060	W 14358
P002061	W 14359
P002062	W 14360
P002063	W 14361
P002064	W 14362
P002068	W 14365
P002069	W 14366
P002070	W 14367 + W 14372
P002073	W 14370
P002074	W 14371
P002076	W 14384
P002078	W 14551,d
P002079	W 14557
P002080	W 14568
P002081	W 14617
P002082	W 14637
P002083	W 14704,a
P002084	W 14704,b
P002085	W 14724
P002086	W 14731,a1
P002087	W 14731,a2
P002088	W 14731,a3
P002089	W 14731,a4
P002090	W 14731,b1
P002091	W 14731,b2
P002092	W 14731,c
P002093	W 14731,d
P002094	W 14731,e
P002095	W 14731,f
P002096	W 14731,g
P002097	W 14731,h
P002098	W 14731,i
P002099	W 14731,k
P002100	W 14731,l
P002101	W 14731,m
P002102	W 14731,n
P002103	W 14731,o
P002104	W 14731,p
P002105	W 14731,q
P002106	W 14731,r
P002107	W 14731,s
P002108	W 14731,t
P002109	W 14731,u + W 14731,aa + W 14731,ac
P002110	W 14731,v
P002111	W 14731,w
P002112	W 14731,y
P002113	W 14731,z
P002115	W 14731,ab1
P002116	W 14731,ab2
P002118	W 14731,ad
P002119	W 14731,ae
P002120	W 14731,af
P002121	W 14731,ag01
P002122	W 14731,ag08
P002123	W 14731,ah
P002124	W 14731,ai1
P002125	W 14731,ai2
P002126	W 14731,ai3
P002127	W 14731,ak
P002128	W 14731,al2
P002129	W 14731,al1
P002130	W 14731,am
P002131	W 14731,an
P002133	W 14731,ap
P002134	W 14731,aq
P002135	W 14731,ar
P002136	W 14731,as
P002138	W 14731,av
P002139	W 14731,aw1
P002140	W 14731,aw2
P002141	W 14731,ax
P002142	W 14731,ay
P002143	W 14731,az
P002144	W 14731,a?
P002145	W 14731,ba
P002146	W 14731,bb
P002147	W 14731,bc
P002148	W 14731,bd
P002150	W 14731,bf
P002151	W 14731,bg
P002153	W 14731,bi
P002154	W 14731,bk
P002157	W 14731,bn
P002169	W 14731,bz
P002170	W 14731,en
P002171	W 14731,?1
P002172	W 14731,?2
P002173	W 14731,?3
P002174	W 14731,?4
P002175	W 14731,?5a
P002176	W 14731,?5b
P002177	W 14758
P002178	W 14777,a
P002179	W 14777,c
P002180	W 14777,d
P002181	W 14777,e + W 14777,r1 ?
P002182	W 14777,f
P002183	W 14777,g
P002184	W 14777,h
P002185	W 14777,i
P002186	W 14777,k
P002187	W 14777,l
P002188	W 14777,m
P002189	W 14777,n
P002190	W 14777,o
P002192	W 14777,q
P002194	W 14777,r2
P002195	W 14804,a + W 14804,b
P002197	W 14804,c
P002198	W 14820
P002199	W 14851
P002200	W 14852
P002201	W 15193
P002202	W 15194,a
P002203	W 15194,b
P002204	W 15194,c
P002205	W 15195
P002206	W 15286
P002207	W 15658
P002208	W 15662
P002209	W 15692,a1
P002210	W 15692,a2
P002211	W 15692,a3
P002212	W 15692,a4
P002213	W 15692,a5
P002214	W 15692,a6
P002215	W 15692,a7
P002216	W 15692,a8
P002217	W 15692,a9
P002218	W 15692,a10
P002219	W 15692,a11
P002220	W 15692,a12
P002221	W 15692,a13
P002222	W 15692,a14
P002223	W 15692,a15
P002224	W 15692,a16
P002225	W 15692,a17
P002226	W 15692,a18
P002227	W 15711
P002228	W 15721,m?
P002229	W 15759
P002230	W 15769,a
P002231	W 15770,a
P002232	W 15770,b
P002233	W 15770,c
P002234	W 15770,d
P002235	W 15770,e
P002236	W 15770,f
P002237	W 15770,g + W 15772,h ?
P002238	W 15770,h
P002239	W 15770,i
P002240	W 15770,k
P002241	W 15770,l
P002242	W 15770,m
P002243	W 15770,n
P002244	W 15770,o
P002245	W 15770,p
P002246	W 15770,q
P002247	W 15770,r
P002248	W 15770,s
P002249	W 15770,t
P002250	W 15770,u
P002251	W 15770,v
P002252	W 15770,w
P002253	W 15770,x
P002254	W 15770,y
P002255	W 15770,z
P002256	W 15770,?
P002257	W 15771,a
P002258	W 15771,b
P002259	W 15771,c
P002260	W 15771,d
P002261	W 15771,e
P002262	W 15771,f
P002263	W 15771,g
P002264	W 15771,h
P002265	W 15771,i
P002266	W 15771,k
P002267	W 15771,l
P002268	W 15771,m
P002269	W 15771,n
P002270	W 15771,o
P002271	W 15771,p
P002272	W 15771,q
P002273	W 15771,r
P002274	W 15771,s
P002275	W 15771,t
P002276	W 15771,u
P002278	W 15771,w
P002279	W 15771,x
P002281	W 15771,z
P002282	W 15772,a
P002283	W 15772,b
P002284	W 15772,c + W 15772,i1
P002285	W 15772,d
P002286	W 15772,e
P002287	W 15772,f
P002288	W 15772,g
P002291	W 15772,i2
P002292	W 15772,k
P002293	W 15772,m
P002294	W 15772,n
P002295	W 15772,o
P002296	W 15772,p
P002297	W 15772,q
P002298	W 15772,r
P002299	W 15772,s
P002300	W 15772,t
P002301	W 15772,u
P002302	W 15772,v
P002303	W 15772,w
P002306	W 15772,z
P002307	W 15773,a
P002308	W 15773,b
P002309	W 15773,d
P002310	W 15773,e
P002311	W 15773,f + W 15776,k
P002312	W 15773,g
P002313	W 15773,h
P002314	W 15773,i
P002315	W 15773,k
P002316	W 15773,l
P002317	W 15773,m
P002318	W 15773,n
P002319	W 15773,o
P002320	W 15773,p
P002321	W 15773,r
P002322	W 15773,s
P002323	W 15773,u
P002324	W 15773,v
P002326	W 15774,a
P002327	W 15774,b
P002328	W 15774,c
P002329	W 15774,d
P002330	W 15774,e
P002331	W 15774,f
P002332	W 15774,g
P002333	W 15774,h
P002334	W 15774,i
P002335	W 15774,k
P002336	W 15774,l
P002337	W 15774,m
P002338	W 15774,n
P002339	W 15774,o
P002340	W 15774,p
P002341	W 15774,r
P002342	W 15774,s
P002343	W 15774,t
P002344	W 15774,u
P002346	W 15774,x
P002347	W 15774,y
P002348	W 15774,z
P002350	W 15775,a
P002351	W 15775,b
P002352	W 15775,c
P002353	W 15775,d
P002354	W 15775,e
P002355	W 15775,g
P002356	W 15775,h
P002357	W 15775,i
P002358	W 15775,k
P002359	W 15775,l
P002360	W 15775,m
P002362	W 15775,o + W 15775,v
P002363	W 15775,p
P002364	W 15775,q
P002365	W 15775,r
P002366	W 15775,s
P002367	W 15775,t
P002368	W 15775,u
P002370	W 15775,w
P002371	W 15775,z
P002372	W 15775,aa
P002373	W 15775,ab
P002375	W 15775,ad
P002377	W 15775,ag
P002378	W 15775,ah
P002379	W 15776,a
P002380	W 15776,b
P002381	W 15776,c
P002382	W 15776,d
P002383	W 15776,e
P002384	W 15776,f
P002385	W 15776,g
P002386	W 15776,h
P002387	W 15776,i
P002389	W 15776,l
P002390	W 15776,m + W 15776,o
P002391	W 15776,n
P002393	W 15776,p + W 15776,q
P002395	W 15776,r
P002396	W 15776,s
P002397	W 15776,t
P002398	W 15785,a1
P002399	W 15785,a2
P002400	W 15785,a3
P002401	W 15785,a4
P002402	W 15785,a5
P002403	W 15785,a6
P002404	W 15785,a7
P002405	W 15785,a8
P002406	W 15785,a9
P002407	W 15785,a10
P002408	W 15792,a1
P002409	W 15792,a2
P002410	W 15792,b
P002411	W 15897,a + W 15897,b
P002413	W 15825,a1
P002414	W 15825,a2
P002415	W 15825,a4
P002416	W 15825,a5
P002417	W 15825,a6
P002418	W 15825,a9
P002419	W 15825,a10
P002420	W 15830,a + W 15830,c + W 15830,d + W 15830,e
P002421	W 15830,b
P002425	W 15833,a01 + W 15833,aa04
P002426	W 15833,a02
P002427	W 15833,a03
P002429	W 15833,a05 + ?
P002430	W 15833,a06
P002434	W 15833,a?
P002435	W 15860,a1
P002436	W 15860,a2
P002437	W 15860,a3
P002438	W 15860,a4
P002439	W 15860,a5
P002440	W 15860,a6
P002441	W 15860,a7
P002442	W 15860,a8
P002443	W 15860,a9
P002444	W 15863,a
P002445	W 15863,b
P002446	W 15863,c
P002447	W 15865
P002448	W 15873,a
P002449	W 15873,b
P002450	W 15873,c
P002451	W 15873,d
P002453	W 15876,cy1
P002455	W 15878,a
P002456	W 15878,b
P002457	W 15878,c
P002458	W 15878,d + W 15878,e
P002460	W 15878,f
P002461	W 15878,h
P002462	W 15878,i
P002463	W 15878,k
P002464	W 15878,l
P002465	W 15878,m
P002466	W 15878,?
P002467	W 15892,d + W 15892,o
P002468	W 15892,e
P002469	W 15892,f
P002470	W 15892,g + W 15892,n
P002471	W 15892,h
P002472	W 15892,i
P002473	W 15892,k
P002474	W 15892,l
P002475	W 15892,m
P002478	W 15892,p + W 15892,r + W 15892,s
P002479	W 15892,q
P002482	W 15893,a
P002483	W 15893,b
P002484	W 15893,c
P002485	W 15893,d
P002486	W 15893,e
P002487	W 15893,f
P002488	W 15893,g
P002489	W 15893,h
P002490	W 15893,i
P002491	W 15893,k
P002492	W 15893,l
P002493	W 15893,m
P002494	W 15893,n
P002495	W 15893,o
P002496	W 15893,p
P002497	W 15893,q
P002498	W 15895,x
P002499	W 15895,z
P002500	W 15895,af
P002501	W 15895,ag
P002502	W 15895,al
P002503	W 15895,a?
P002504	W 15895,bg
P002505	W 15895,bh
P002506	W 15895,bl
P002507	W 15895,bx
P002508	W 15895,?
P002509	W 15897,a01
P002510	W 15897,a02
P002511	W 15897,a03
P002512	W 15897,a05
P002513	W 15897,a06
P002514	W 15897,a07
P002515	W 15897,a08
P002516	W 15897,a09
P002518	W 15897,b1
P002519	W 15897,b2
P002520	W 15897,b3
P002521	W 15897,b4
P002522	W 15897,b5
P002523	W 15897,c01
P002524	W 15897,c02
P002525	W 15897,c03
P002526	W 15897,c04
P002527	W 15897,c05
P002528	W 15897,c06
P002529	W 15897,c07
P002530	W 15897,c08
P002531	W 15897,c10
P002532	W 15897,c11
P002533	W 15897,c12
P002534	W 15897,c15
P002537	W 15897,c17
P002538	W 15897,c19
P002539	W 15897,c20
P002540	W 15897,c21
P002541	W 15897,c22
P002542	W 15897,c23
P002543	W 15897,c24
P002544	W 15897,c25
P002545	W 15897,c26
P002546	W 15897,c27
P002547	W 15897,c29
P002548	W 15919,a
P002549	W 15919,b
P002550	W 15919,e
P002551	W 15920,a1
P002552	W 15920,a2
P002553	W 15920,a3
P002554	W 15920,a5
P002555	W 15920,a6
P002556	W 15920,a7
P002557	W 15920,a8
P002558	W 15920,a9
P002559	W 15920,b2
P002560	W 15920,b3
P002561	W 15920,b4
P002562	W 15920,b5
P002563	W 15936
P002564	W 15957,b
P002566	W 15957,?
P002567	W 15958,a
P002568	W 15966,d
P002569	W 15968
P002571	W 16012,a + W 16012,b + W 16012,d + W 16012,e
P002573	W 16012,c
P002576	W 16025,b
P002577	W 16050
P002578	W 16114
P002579	W 16016
P002580	W 16139,a
P002581	W 16139,b
P002582	W 16139,c
P002583	W 16139,d
P002584	W 16139,e
P002585	W 16139,f
P002586	W 16184
P002587	W 16187
P002590	W 16398
P002591	W 16465
P002592	W 16476
P002593	W 16477
P002594	W 16603,b15
P002595	W 16607
P002596	W 16621,b + W 16632,c
P002597	W 16628
P002598	W 16632,a
P002599	W 16632,b
P002601	W 16632,d
P002602	W 16632,e
P002603	W 16632,f
P002604	W 16632,g
P002605	W 16632,h
P002606	W 16719
P002610	W 16728,14
P002611	W 16731
P002612	W 16747
P002613	W 16750
P002614	W 16751
P002615	W 16844
P002616	W 16878
P002617	W 16979
P002618	W 17049
P002619	W 17398
P002620	W 17402
P002621	W 17440
P002622	W 17445
P002623	W 17480,a
P002624	W 17480,b
P002625	W 17586
P002626	W 17645
P002627	W 17729,a + W 17729,l
P002628	W 17729,b
P002631	W 17729,e
P002633	W 17729,g
P002635	W 17729,i
P002637	W 17729,k
P002640	W 17729,n
P002641	W 17729,o
P002643	W 17729,q
P002644	W 17729,r
P002645	W 17729,s
P002646	W 17729,t
P002647	W 17729,u
P002650	W 17729,x
P002651	W 17729,y
P002652	W 17729,z
P002658	W 17729,af
P002660	W 17729,ah
P002663	W 17729,ak
P002664	W 17729,al
P002665	W 17729,am
P002667	W 17729,ao
P002668	W 17729,ap + W 17729,cz
P002669	W 17729,aq
P002670	W 17729,ar + W 17729,bm + W 17729,ch + W 17729,dy
P002671	W 17729,as
P002672	W 17729,at
P002673	W 17729,au
P002674	W 17729,av
P002677	W 17729,ay
P002678	W 17729,az
P002679	W 17729,ba
P002680	W 17729,bb
P002681	W 17729,bc
P002682	W 17729,bd
P002683	W 17729,be
P002684	W 17729,bf
P002685	W 17729,bg
P002686	W 17729,bh
P002687	W 17729,bi
P002689	W 17729,bk
P002690	W 17729,bl
P002693	W 17729,bo
P002694	W 17729,bp + W 17729,bx
P002695	W 17729,bq
P002697	W 17729,bs
P002698	W 17729,bt
P002699	W 17729,bu
P002700	W 17729,bv
P002701	W 17729,bw
P002703	W 17729,by
P002704	W 17729,bz
P002705	W 17729,ca
P002706	W 17729,cb
P002708	W 17729,cd
P002709	W 17729,ce
P002710	W 17729,cf
P002713	W 17729,ci
P002715	W 17729,ck + W 17729,gf ?
P002716	W 17729,cl
P002717	W 17729,cm
P002718	W 17729,cn + W 17729,eq
P002719	W 17729,co
P002722	W 17729,cr
P002723	W 17729,cs
P002725	W 17729,cu
P002727	W 17729,cw
P002728	W 17729,cx
P002729	W 17729,cy
P002731	W 17729,da
P002732	W 17729,db
P002733	W 17729,dc
P002734	W 17729,dd
P002735	W 17729,de
P002736	W 17729,df
P002737	W 17729,dg
P002738	W 17729,dh + ?
P002739	W 17729,di
P002741	W 17729,dk
P002742	W 17729,dl
P002743	W 17729,dm
P002744	W 17729,dn
P002745	W 17729,do
P002746	W 17729,dp
P002747	W 17729,dq
P002749	W 17729,ds
P002750	W 17729,dt
P002751	W 17729,du
P002752	W 17729,dv
P002753	W 17729,dw
P002756	W 17729,dz
P002757	W 17729,ea
P002758	W 17729,eb
P002759	W 17729,ec
P002760	W 17729,ed
P002761	W 17729,ee
P002762	W 17729,ef
P002763	W 17729,eg
P002764	W 17729,eh
P002765	W 17729,ei + W 17729,fb
P002767	W 17729,ek
P002768	W 17729,el
P002769	W 17729,em
P002770	W 17729,en
P002771	W 17729,eo
P002772	W 17729,ep
P002774	W 17729,er
P002775	W 17729,es
P002776	W 17729,et
P002777	W 17729,eu
P002779	W 17729,ew
P002780	W 17729,ex
P002781	W 17729,ey
P002782	W 17729,ez
P002783	W 17729,fa
P002785	W 17729,fc
P002786	W 17729,fd
P002787	W 17729,fe
P002788	W 17729,ff
P002789	W 17729,fg
P002790	W 17729,fh
P002791	W 17729,fi
P002793	W 17729,fk
P002794	W 17729,fl
P002795	W 17729,fm
P002796	W 17729,fn
P002797	W 17729,fo
P002798	W 17729,fp
P002799	W 17729,fq
P002800	W 17729,fr
P002801	W 17729,fs
P002802	W 17729,ft
P002803	W 17729,fu
P002804	W 17729,fv
P002805	W 17729,fw
P002806	W 17729,fx
P002807	W 17729,fy
P002808	W 17729,fz
P002809	W 17729,ga
P002810	W 17729,gb
P002811	W 17729,gc
P002812	W 17729,gd
P002813	W 17729,ge
P002815	W 17729,gg
P002816	W 17729,gh
P002817	W 17729,gi
P002819	W 17729,gk
P002820	W 17729,gl
P002821	W 17729,gm
P002823	W 17729,ha
P002824	W 17729,hc
P002825	W 17729,hd
P002826	W 17872,a
P002828	W 17872,c
P002833	W 17879,b
P002835	W 17879,d
P002836	W 17879,e
P002837	W 17879,f
P002840	W 17879,i
P002842	W 17879,k
P002843	W 17879,l
