tablet	excavationNumbers
P000297	W 20266,051
P000298	W 20266,052
P000299	W 20266,053
P000300	W 20266,054
P000301	W 20266,055
P000302	W 20266,056
P000303	W 20266,057
P000304	W 20266,058
P000305	W 20266,059
P000306	W 20266,060 + W 20266,061
P000308	W 20266,062
P000309	W 20266,063
P000310	W 20266,064
P000311	W 20266,065
P000312	W 20266,066
P000313	W 20266,067
P000314	W 20266,068
P000315	W 20266,069
P000316	W 20266,070
P000317	W 20266,071
P000318	W 20266,072
P000319	W 20266,073
P000320	W 20266,074
P000321	W 20266,075
P000322	W 20266,076
P000323	W 20266,077
P000324	W 20266,078
P000325	W 20266,079
P000326	W 20266,080
P000327	W 20266,081
P000328	W 20266,082
P000329	W 20266,083
P000330	W 20266,084
P000331	W 20266,085
P000332	W 20266,086
P000333	W 20266,087
P000334	W 20266,088
P000335	W 20266,089
P000336	W 20266,090
P000337	W 20266,091
P000338	W 20266,092
P000339	W 20266,093
P000340	W 20266,094
P000341	W 20266,095
P000342	W 20266,096
P000343	W 20266,097
P000344	W 20266,098
P000345	W 20266,099
P000346	W 20266,100
P000347	W 20266,101
P000348	W 20266,102
P000349	W 20266,104
P000350	W 20266,105
P000351	W 20266,106
P000352	W 20266,107
P000353	W 20266,108
P000354	W 20266,109
P000355	W 20266,110
P000356	W 20266,111
P000357	W 20266,112
P000358	W 20266,113
P000359	W 20266,114
P000360	W 20266,115
P000361	W 20266,116
P000362	W 20266,117
P000363	W 20266,118
P000364	W 20266,119
P000365	W 20266,120
P000366	W 20266,121
P000367	W 20266,122
P000368	W 20266,123
P000369	W 20266,124
P000370	W 20266,125
P000371	W 20266,126
P000372	W 20266,127
P000373	W 20266,128
P000374	W 20266,129
P000375	W 20266,130
P000376	W 20266,131
P000377	W 20266,132
P000378	W 20266,133
P000379	W 20266,134
P000380	W 20266,135
P000381	W 20266,136
P000382	W 20266,137
P000383	W 20266,138
P000384	W 20266,139
P000385	W 20266,140
P000386	W 20266,141
P000387	W 20266,142
P000388	W 20266,143
P000389	W 20266,144
P000390	W 20266,145
P000391	W 20266,146
P000392	W 20266,147
P000393	W 20266,148
P000394	W 20266,149
P000395	W 20266,150
P000396	W 20266,151
P000397	W 20266,152
P000398	W 20266,153
P000399	W 20266,154
P000400	W 20266,155
P000401	W 20266,156
P000402	W 20266,157
P000403	W 20266,158
P000404	W 20266,159
P000405	W 20266,160
P000406	W 20266,161
P000407	W 20266,162
P000408	W 20266,163
P000409	W 20266,164
P000410	W 20266,168
P000411	W 20266,169
P000412	W 20266,171
P000413	W 20266,172
P000414	W 20266,173
P000415	W 20266,174
P000416	W 20266,175
P000417	W 20266,176
P000418	W 20266,177
P000419	W 20266,178
P000420	W 20266,179
P000421	W 20266,180
P000422	W 20266,181
P000423	W 20266,182
P000424	W 20266,183
P000425	W 20266,184
P000426	W 20266,185
P000427	W 20266,186
P000428	W 20266,187
P000429	W 20266,188
P000430	W 20274,154
P000431	W 20327,02
P000432	W 20335,1
P000433	W 20335,2 + W 20335,4 + W 20335,7 + W 20335,9
P000434	W 20335,3
P000437	W 20335,8
P000439	W 20363
P000440	W 20366,1
P000441	W 20366,2 + W 20366,5
P000442	W 20366,3
P000443	W 20366,4
P000445	W 20371
P000446	W 20389,1 + W 20389,2
P000448	W 20421,1
P000449	W 20421,2
P000450	W 20422,1
P000451	W 20493,21 + W 20493,22
P000453	W 20493,26
P000454	W 20494,14
P000455	W 20495
P000456	W 20497
P000457	W 20511,13
P000458	W 20514,4
P000459	W 20514,7
P000460	W 20515
P000461	W 20517,2a + W 20517,2b
P000463	W 20517,3
P000464	W 20517,4
P000465	W 20521,1
P000466	W 20521,3
P000467	W 20524
P000468	W 20525
P000469	W 20526
P000470	W 20552,5
P000471	W 20564
P000472	W 20567
P000473	W 20569
P000474	W 20572,1
P000475	W 20572,4
P000476	W 20572,5
P000477	W 20593,07
P000478	W 20593,08
P000479	W 20593,17b
P000480	W 20595,3
P000481	W 20708
P000482	W 20711
P000483	W 20713,1
P000484	W 20831,5
P000485	W 20859,1
P000486	W 20859,6
P000487	W 20921
P000488	W 21002,6
P000489	W 21013,6
P000490	W 21015,1
P000491	W 21017
P000492	W 21019,5
P000493	W 21060,05 + W 21060,06 ?
P000495	W 21060,16
P000496	W 21075,3
P000497	W 21094
P000498	W 21095
P000499	W 21104,2
P000500	W 21108,1a
P000501	W 21108,2
P000502	W 21108,3
P000503	W 21116,4
P000504	W 21118,1 + W 21118,4
P000506	W 21119,4
P000507	W 21121,2
P000508	W 21126
P000509	W 21145,1
P000510	W 21152,2
P000511	W 21158,2
P000512	W 21158,3
P000513	W 21159
P000514	W 21184,3
P000515	W 21184,4
P000516	W 21185
P000517	W 21208,01
P000518	W 21208,02
P000519	W 21208,03 + W 21208,14 + W 21208,43
P000520	W 21208,04
P000521	W 21208,05
P000522	W 21208,06 + W 21208,19
P000523	W 21208,07
P000524	W 21208,08 + W 21208,16
P000525	W 21208,09
P000526	W 21208,10
P000527	W 21208,11
P000528	W 21208,12 + W 21208,15 + W 21208,25
P000529	W 21208,13
P000533	W 21208,17 + W 21208,20 + W 21208,21
P000534	W 21208,18
P000538	W 21208,22
P000539	W 21208,23
P000540	W 21208,24
P000542	W 21208,26
P000543	W 21208,27
P000544	W 21208,28
P000545	W 21208,29
P000546	W 21208,30
P000547	W 21208,31
P000548	W 21208,32
P000549	W 21208,33
P000550	W 21208,34
P000551	W 21208,35
P000552	W 21208,36
P000553	W 21208,37
P000554	W 21208,38
P000555	W 21208,39
P000556	W 21208,40
P000557	W 21208,41
P000558	W 21208,42
P000560	W 21208,44
P000561	W 21208,45
P000562	W 21208,46
P000563	W 21208,47
P000564	W 21208,48
P000565	W 21208,49
P000566	W 21208,50
P000567	W 21208,51
P000568	W 21208,52
P000569	W 21208,53
P000570	W 21208,54
P000571	W 21208,55
P000572	W 21209,1 + W 21209,6
P000573	W 21209,5
P000575	W 21225,1
P000576	W 21225,2
P000577	W 21229
P000578	W 21240,2
P000579	W 21252,1
P000580	W 21253,08
P000581	W 21255
P000582	W 21280
P000583	W 21311,3
P000584	W 21311,4
P000585	W 21355,1
P000586	W 21375,1
P000587	W 21392
P000588	W 21395
P000589	W 21418,01
P000590	W 21418,05
P000591	W 21418,07 + W 21418,12
P000593	W 21451
P000594	W 21473
P000595	W 21535 + W 21536
P000597	W 21552
P000598	W 21681
P000599	W 21697
P000600	W 21723
P000601	W 21735,3
P000602	W 21735,4
P000603	W 21741
P000604	W 21745
P000605	W 21759
P000606	W 21761,a + W 21761,b
P000608	W 21916,1
P000609	W 21916,2
P000610	W 21924,1
P000611	W 21924,2
P000614	W 22090,2 + W 22090,3 + W 22090,5 + W 22090,9
P000615	W 22090,8
P000617	W 22091,3
P000618	W 22101,7 + W 22101,9a
P000620	W 22101,9b
P000621	W 22104,0
P000622	W 22115,0
P000623	W 22116,2
P000624	W 22117,0
P000625	W 22118,6
P000626	W 22118,7
P000627	W 22119,4
P000628	W 22119,5
P000629	W 22135,4
P000630	W 22135,5
P000631	W 22136
P000632	W 23610
P000633	W 23973,02
P000634	W 23973,06a
P000635	W 23973,06b
P000636	W 23973,07c
P000637	W 23983,e
P000638	W 23984
P000639	W 23986,a
P000640	W 23989
P000641	W 23997,2
P000642	W 23997,4a
P000643	W 23998,1
P000644	W 23999,4c
P000645	W 24004,01
P000646	W 24004,02a
P000647	W 24004,03a
P000648	W 24004,04b
P000649	W 24004,09
P000650	W 24004,14a
P000651	W 24004,14c
P000652	W 24006,06
P000653	W 24006,06c
P000654	W 24006,12
P000655	W 24007,2
P000656	W 24007,7
P000657	W 24008,9
P000658	W 24008,10
P000659	W 24008,11
P000660	W 24008,13
P000661	W 24008,16
P000662	W 24008,18
P000663	W 24008,23
P000664	W 24011,5
P000665	W 24012,02
P000666	W 24012,03
P000667	W 24012,07
P000668	W 24012,12
P000669	W 24013,05
P000670	W 24013,07
P000671	W 24013,11a
P000672	W 24013,14
P000673	W 24013,17
P000674	W 24013,18
P000675	W 24015,1
P000676	W 24015,2
P000677	W 24016,1
P000678	W 24016,2
P000679	W 24016,3
P000680	W 24016,4
P000681	W 24016,5
P000682	W 24016,6
P000683	W 24018,5
P000684	W 24018,6
P000685	W 24021,12
P000686	W 24021,17
P000687	W 24028,2
P000688	W 24033,08
P000689	W 24157
P000690	W 24158
P000691	W 24194
P000692	W 24201,b
P000693	W 24205
P000694	W 24206
P000695	W 24209
P000696	W 24214,2
P000697	W 24217,b
