sign1	sign2	closeness
2(N01)	SI	 120.08
1(N01)	KU3~a	 119.63
BA	SZE~a	 119.54
1(N01)	TUG2~a	 119.43
2(N01)	SZU2	 119.14
3(N01)	A	 119.09
AN	PAP~a	 118.83
3(N01)	4(N14)	 118.31
EN~a	HI	 117.75
1(N14)	NUN~a	 117.64
1(N14)	DU	 117.36
PAP~a	SZU	 117.35
2(N01)	AB~a	 116.98
2(N14)	SAL	 116.64
1(N01)	DA~a	 116.47
2(N01)	KU6~a	 116.34
PAP~a	SZE~a	 116.27
1(N14)	9(N01)	 116.24
AN	NUN~a	 116.13
A	AN	 116.02
1(N57)	5(N01)	 115.69
4(N01)	AN	 115.54
3(N01)	7(N01)	 115.18
1(N01)	RU	 114.97
3(N01)	NUN~a	 114.14
AN	SZU	 113.51
DU	PAP~a	 113.48
3(N01)	3(N57)	 113.22
1(N14)	BU~a	 113.11
AB~a	EN~a	 113.05
1(N57)	2(N14)	 112.96
4(N01)	BA	 112.65
2(N14)	AN	 112.62
AN	SZE~a	 112.10
5(N01)	AN	 111.79
5(N01)	UDU~a	 111.61
3(N01)	BU~a	 111.24
1(N01)	MASZ	 110.99
3(N01)	GAL~a	 110.81
2(N14)	UDU~a	 110.77
1(N01)	TAK4~a	 110.33
BA	GI	 110.19
1(N14)	KU6~a	 109.74
2(N14)	GI	 109.65
3(N01)	8(N01)	 109.37
1(N01)	5(N14)	 108.65
1(N01)	SUHUR	 108.39
AN	SAL	 108.28
AN	BU~a	 108.24
2(N14)	7(N01)	 108.12
1(N01)	RAD~a	 107.99
1(N14)	KI	 107.85
1(N14)	2(N34)	 107.76
1(N14)	PA~a	 107.50
GAL~a	N	 107.46
PAP~a	U4	 107.43
1(N01)	9(N01)	 107.08
3(N14)	4(N14)	 106.49
1(N14)	GAR	 106.28
2(N01)	BAR	 106.22
5(N01)	SAL	 106.09
3(N01)	DU	 105.74
EN~a	SZU2	 104.78
2(N01)	NI~a	 104.65
1(N14)	SZU2	 104.42
EN~a	UDU~a	 104.11
AN	MUSZ3~a	 103.65
1(N57)	4(N01)	 103.48
1(N01)	APIN~a	 103.44
4(N01)	4(N14)	 103.33
3(N01)	SANGA~a	 103.33
