sign1	sign2	closeness
ISZ~b	SUG5	   8.01
7(N01)	NIN	   8.01
KA~a	U2~b	   8.01
GARA2~a	GI	   8.01
1(N34)	ZATU714	   8.01
2(N48)	3(N01)	   8.00
5(N01)	DU8~c@g	   8.00
1(N39~a)	6(N14)	   8.00
KASZ~b	ME~a	   8.00
RU	ZATU735~b	   8.00
2(N57)	DUR2	   8.00
MU	SI	   8.00
SUG5	TAK4~a	   8.00
APIN~a	BAD~a	   8.00
1(N46)	APIN~a	   8.00
5(N34)	AN	   8.00
3(N57)	ZATU737	   8.00
GU	MA	   8.00
1(N45)	7(N19)	   8.00
SI	ZATU694~c	   8.00
GI	LU2	   8.00
LAGAB~a	TE	   8.00
AMA~a	IB~a	   8.00
1(N24)	MUSZEN	   8.00
SAR~a	TE	   7.99
1(N57)	GAN~a	   7.99
KINGAL	KISAL~b1	   7.99
1(N14)	ZATU758	   7.99
DU6~b	U4	   7.99
2(N39~a)	UDU~a	   7.99
A	GESZTU~b	   7.99
BU~a	KINGAL	   7.99
1(N45)	DUB~a	   7.99
4(N14)	E~a	   7.99
SUHUR	UB	   7.99
GU4	MASZ2	   7.99
HI	NIR~a	   7.99
1(N58)	UKKIN~a	   7.99
GI	NINDA2	   7.99
NIMGIR	UR~a	   7.99
SAL	ZATU759	   7.99
AMAR	MAR~a	   7.99
2(N01)	IN~b	   7.99
NAM2	SAR~a	   7.99
GISZ	GUM~b	   7.99
2(N01)	4(N08)	   7.98
3(N04)	APIN~a	   7.98
MA	PIRIG~b1	   7.98
AK~a	AN	   7.98
SU~a	ZATU714	   7.98
KASZ~c	KU~b1	   7.98
7(N01)	ZATU644~a	   7.98
KI	ZATU651	   7.98
AMAR	KI	   7.98
1(N14)	PAD~a	   7.98
NI~a	TUG2~a	   7.98
6(N01)	GU	   7.98
9(N01)	TAK4~a	   7.98
3(N42~a)	DUG~a	   7.98
GAR	ZI~a	   7.98
EN~a	SILA4~c	   7.97
SZE3	TE	   7.97
1(N34)	BALA~a	   7.97
DUG~c	MUD3~a	   7.97
GU7	ZATU648	   7.97
2(N34)	HI@g~a	   7.97
3(N04)	LAGAB~b	   7.97
GISZ	URI3~a	   7.97
2(N19)	HI	   7.97
NAR	ZATU659	   7.97
KASZ~c	UR~a	   7.97
NAR	NE~a	   7.96
PAP~a	ZATU686~a	   7.96
3(N01)	ZATU697~a	   7.96
NUN~a	RAD~a	   7.96
GUKKAL~a	UTUA~a	   7.96
SZE3	ZATU752	   7.96
4(N01)	KALAM~a	   7.96
SAL	UTUA~a	   7.96
1(N01)	NUMUN	   7.96
KU6~a	USZ~a	   7.96
1(N01)	SZE3@t	   7.96
A	SZAM2	   7.96
6(N14)	9(N14)	   7.96
1(N03)	U4	   7.96
GU7	SILA3~a	   7.96
ANSZE~b	HI	   7.96
E2~b	SIG	   7.96
GA2~a2	SI	   7.96
4(N39~a)	GAL~a	   7.96
I	SANGA~a	   7.96
4(N01)	GI4~a	   7.95
GA2~a1	IB~a	   7.95
1(N14)	2(N52)	   7.95
GIR3~c	KASZ~c	   7.95
1(N48)	GI	   7.95
KU6~a	SIG	   7.95
2(N39~a)	NIN	   7.95
ERIM~a	KISZ	   7.95
4(N04)	5(N14)	   7.95
SIG	U2~b	   7.95
TE	ZATU651	   7.95
3(N04)	BA	   7.95
UD5~a	UTUA~b	   7.95
AMA~a	DUG~a	   7.95
1(N19)	1(N24)	   7.94
2(N14)	2(N20)	   7.94
AB~b	TE	   7.94
IM~a	SUKKAL	   7.94
GI	NI~b	   7.94
SZE3	TI	   7.94
1(N03)	GU7	   7.94
DUB~a	UMUN2	   7.94
3(N42~a)	U4	   7.94
4(N05)	SZU2	   7.94
1(N01)	2(N58)	   7.94
MASZ	ZATU694~c	   7.94
3(N57)	BAD~a	   7.94
BAR	UR~a	   7.94
IB~a	KU~b1	   7.93
1(N01)	BAN~b	   7.93
DAR~b	SAL	   7.93
KINGAL	SZUBUR	   7.93
1(N24)	NE~a	   7.93
3(N01)	5(N04)	   7.93
KISAL~b1	SZU2	   7.93
3(N57)	GI4~a	   7.93
1(N42~a)	2(N39~a)	   7.93
GUG2	MA	   7.93
KISAL~b1	ZATU659	   7.93
5(N14)	SUG5	   7.93
1(N57)	SZAM2	   7.93
AN	ZATU628~a	   7.93
MAR~a	SIG7	   7.93
3(N19)	BU~a	   7.93
GESZTU~b	MUSZ3~a	   7.93
BU~a	SA~c	   7.93
E2~a	PAD~a	   7.93
GA2~a1	ZATU659	   7.93
KID~b	U4	   7.93
1(N42~a)	NE~a	   7.92
GA2~a2	TAK4~a	   7.92
DIN	GIR3~c	   7.92
1(N45)	NA~a	   7.92
5(N14)	NIM~a	   7.92
1(N19)	2(N45)	   7.92
2(N14)	AD~a	   7.92
3(N01)	NU11	   7.92
DIM~a	SZA3~a1	   7.92
GISZ	SILA3~a	   7.92
SI	TAR~a	   7.91
1(N40)	2(N01)	   7.91
MUSZEN	SUG5	   7.91
AMA~a	SILA3~a	   7.91
BA	DAR~b	   7.91
DU	SZU2~a	   7.91
1(N01)	BAHAR2~a	   7.91
5(N57)	UDU~a	   7.91
ENKUM	SANGA~a	   7.91
AN	BUR~a	   7.91
TAR~a	TE	   7.91
GA~a	KASZ~b	   7.91
AN	KAL~b2	   7.91
KITI	PAP~a	   7.91
GUG2	URU~a1	   7.91
AB2	APIN~a	   7.91
1(N24)	SI	   7.91
GAL~a	SZU2~a	   7.91
NUN~a	TAR~a	   7.91
GISZ	MASZ	   7.91
DUB~a	GU7	   7.91
GURUSZ~a	TE	   7.90
8(N01)	EZEN~b	   7.90
5(N01)	BUR2	   7.90
UR~a	ZATU659	   7.90
4(N14)	AMA~a	   7.90
1(N20)	U4	   7.90
DU8~c	SZA	   7.90
8(N01)	U2~a	   7.90
TUG2~a	U2~b	   7.90
1(N14)	BULUG3	   7.90
3(N04)	E2~a	   7.90
2(N34)	SIG	   7.90
AB~a	DU6~a	   7.90
KASKAL	PA~a	   7.90
1(N02)	3(N02)	   7.90
BU~a	LUGAL	   7.90
PAP@t	SI	   7.90
BU~a	IN~b	   7.89
LAGAB~b	SZE3	   7.89
UDU~a	UR5~a	   7.89
2(N57)	GIR3~c	   7.89
5(N19)	BU~a	   7.89
1(N36)	2(N46)	   7.89
8(N01)	KISAL~b1	   7.89
4(N04)	KI	   7.89
1(N34)	NIN	   7.89
2(N01)	GIR~a	   7.89
1(N14)	3(N02)	   7.89
DUG~b	GU7	   7.89
GI6	U8	   7.89
2(N20)	UDU~a	   7.89
GI	URUDU~a	   7.89
1(N48)	3(N48)	   7.89
1(N39~a)	SI	   7.88
1(N36)	GI	   7.88
AB~a	GESZTU~b	   7.88
AD~a	SZE~a	   7.88
DUR2	PIRIG~b1	   7.88
KU6~a	NIM~b1	   7.88
7(N01)	LA2	   7.88
2(N03)	5(N01)	   7.88
ISZ~b	SZU	   7.88
1(N34)	NIM~a	   7.88
AL	AMA~a	   7.88
URI3~a	ZATU694~c	   7.88
EN~a	KITI	   7.88
BAR	ZI~a	   7.88
GA2~a1	HAL	   7.88
I	TUR	   7.88
AL	TUR3~a	   7.88
SZU2	UR2	   7.88
1(N28)	GU7	   7.88
1(N14)	BAN~b	   7.88
MUSZEN	SZU2~a	   7.88
EN~a	SUM~b	   7.87
KASZ~c	LA2	   7.87
TAK4~a	ZATU753	   7.87
1(N45)	1(N58)	   7.87
IB~a	SIG7	   7.87
SZU	USZ~a	   7.87
BUR2	SAL	   7.87
GU4	USZ~a	   7.87
1(N39~a)	SZU2	   7.87
GISZIMMAR~b1	ME~a	   7.87
1(N34)	SZA3~a1	   7.87
KASZ~c	KUR~a	   7.87
8(N01)	SZA3~a1	   7.87
3(N01)	TI@t	   7.87
A	HASZHUR	   7.87
9(N01)	TUR3~a	   7.87
DIN	SU~a	   7.87
SAR~a	SZU2	   7.87
EN~a	SUKUD	   7.86
7(N01)	ZATU773~a	   7.86
TUG2~a	UNUG~a	   7.86
SZA	URU~a1	   7.86
2(N14)	LU2	   7.86
1(N57)@t	AN	   7.86
BAR	UTUA~a	   7.86
GAR	UKKIN~a	   7.86
5(N14)	TUR3~a	   7.86
KU~b1	MASZ2	   7.85
2(N01)	SZEN~c@t	   7.85
NU	U4	   7.85
2(N42~a)	6(N01)	   7.85
4(N01)	ZATU751~a	   7.85
GAN2	GISZ	   7.85
ME~a	NESAG2~a	   7.85
DUG~a	HAL	   7.85
3(N01)	SIG2~a1	   7.85
3(N57)	DUR~b	   7.85
1(N42~a)	4(N42~a)	   7.84
3(N01)	SILA4~b	   7.84
6(N01)	SILA4~c	   7.84
1(N57)	GESZTU~b	   7.84
BAD~a	PAP~a	   7.84
SAG	ZATU773~a	   7.84
1(N01)	KUR@g~a	   7.84
1(N14)	NAB	   7.84
AB2	RU	   7.84
AB~b	TAK4~a	   7.84
E2~b	SUKKAL	   7.84
TI	UR~a	   7.84
AN	SZUM	   7.84
TUG2~a	ZATU752	   7.84
SZE3	ZI~a	   7.84
SZURUPPAK~a	UDUNITA~a	   7.83
KA~a	MA	   7.83
APIN~a	SZAB~a	   7.83
NUN~b	RAD~a	   7.83
4(N14)	NAR	   7.83
NE~a	ZABALAM~a	   7.83
1(N22)	PA~a	   7.83
8(N01)	MUD	   7.83
MEN~a	SANGA~a	   7.83
NIM~b1	TE	   7.83
GIBIL	KISAL~b1	   7.83
SI	SI4~f	   7.83
AB~b	SIG	   7.83
1(N29~a)	HI@g~a	   7.83
4(N01)	UMUN2	   7.83
NI~a	SIG7	   7.82
1(N08)	SILA3~a	   7.82
4(N01)	NU	   7.82
7(N01)	TUG2~a	   7.82
NA~a	TUN3~a	   7.82
ERIN	SU~a	   7.82
GURUSZDA	UDU~a	   7.82
AN	GURUSZDA	   7.82
5(N57)	AB~a	   7.82
2(N14)	ZATU703	   7.82
DUG~b	MUD3~a	   7.82
GISZ	NIM~a	   7.82
SIG	SZUBUR	   7.81
SU~a	ZI~a	   7.81
KISIM~a	SAL	   7.81
1(N14)	KAR2~a	   7.81
MUSZ3~a	ZATU752	   7.81
1(N02)	AB2	   7.81
MEN~a	NUNUZ~a1	   7.81
2(N50)	SZE~a	   7.81
8(N14)	AN	   7.81
3(N01)	KITI	   7.81
4(N01)	7(N34)	   7.81
6(N14)	NI~a	   7.81
5(N01)	KISIM~a	   7.81
GESZTU~b	KI	   7.81
LA2	MA	   7.81
GA2~a1	TUG2~a	   7.81
MAR~a	NUN~b	   7.81
5(N01)	BAHAR2~b	   7.80
GAN2	KU~b1	   7.80
5(N14)	SZAM2	   7.80
DI	NIM~a	   7.80
5(N14)	U2~a	   7.80
DUG~a	ZATU710	   7.80
BU~a	KITI	   7.80
NAGAR~a	TUN3~a	   7.80
NAR	SU~a	   7.80
A	SZEN~a	   7.80
AL	SZITA~a1	   7.80
UB	UR2	   7.80
1(N40)	2(N40)	   7.80
3(N05)	DUG~a	   7.80
NAGA~a	ZATU753	   7.80
NESAG2~a	TUR	   7.79
2(N39~a)	2(N57)	   7.79
ERIM~a	SZA	   7.79
BAD~a	TUR3~a	   7.79
SU~a	TUG2~a	   7.79
EN~a	NIM~b2	   7.79
TI	U8	   7.79
1(N26)	3(N39~a)	   7.79
AMA~a	GA~a	   7.79
5(N57)	BU~a	   7.79
KASZ~a	SILA3~a	   7.79
APIN~a	GU7	   7.79
GUG2	SILA3~a	   7.78
2(N19)	GU7	   7.78
DIN	MASZ	   7.78
BU~a	SZITA~a3	   7.78
1(N45)	UNUG~a	   7.78
KU3~a	NI2	   7.78
AB2	MASZ2	   7.78
BAR	TI	   7.78
DIM~a	TI	   7.78
2(N57)	TUR3~a	   7.78
1(N30~a)	1(N30~c)	   7.78
MUSZEN	ZATU773~a	   7.78
2(N04)	E2~a	   7.78
EN~a	ZATU788	   7.78
4(N14)	ZATU773~a	   7.78
MA	UD5~a	   7.77
PA~a	SAR~a	   7.77
NAGA~a	ZATU659	   7.77
GISZIMMAR~b1	PAP~a	   7.77
SZAGAN	SZU2	   7.77
SZAGAN	SZU	   7.77
8(N14)	E2~a	   7.77
A	EN2	   7.77
4(N01)	ZATU703	   7.77
GISZ	NUNUZ~a1	   7.77
1(N58)	SIG2~b	   7.77
1(N34)	ZATU737	   7.77
1(N05)	MU	   7.77
GU7	UR5~a	   7.77
1(N04)	1(N39~a)	   7.77
GIR3~c	NAR	   7.76
EN~a	SZEG9	   7.76
1(N25)	2(N03)	   7.76
3(N42~a)	5(N05)	   7.76
MUN~a1	TE	   7.76
5(N05)	UDU~a	   7.76
2(N14)	KALAM~a	   7.76
ERIN	SIG2~b	   7.76
KASZ~a	SAG	   7.76
6(N01)	DUR~b	   7.76
1(N50)	6(N14)	   7.76
KISAL~b1	TAK4~a	   7.75
1(N42~a)	E2~a	   7.75
4(N01)	GAN~c	   7.75
HI@g~a	SI	   7.75
6(N01)	DUR2	   7.75
1(N48)	GAL~a	   7.75
2(N57)	UNUG~a	   7.75
1(N02)	GISZ	   7.75
IM~a	URU~a1	   7.75
SI	SZU2~a	   7.75
MUD	ZATU752	   7.75
1(N03)	1(N20)	   7.75
6(N14)	MAR~a	   7.75
DUG~b	SANGA~a	   7.75
BU~a	GISZ@t	   7.74
MU	UR2	   7.74
2(N50)	4(N14)	   7.74
4(N01)	ZATU648	   7.74
A	GUL	   7.74
1(N19)	3(N41)	   7.74
KIR11	UDUNITA~a	   7.74
2(N45)	AB~a	   7.74
IDIGNA	SAG	   7.74
GIBIL	SUHUR	   7.74
AN	KISZIK~a	   7.74
MUSZ3~a	ZATU737	   7.74
BUR~a	ZATU737	   7.74
2(N04)	AB~a	   7.74
NUN~a	ZATU773~a	   7.74
LAGAB~a	RU	   7.73
2(N46)	8(N14)	   7.73
SZE~a	TU~b	   7.73
2(N01)	KINGAL	   7.73
4(N41)	SZE~a	   7.73
HI	SI4~a	   7.73
1(N45)	UR5~a	   7.73
DIN	SZUBUR	   7.73
2(N45)	SA~c	   7.73
KUR~a	MAR~a	   7.73
KASZ~b	MASZ	   7.73
6(N01)	NAMESZDA	   7.73
KASZ~c	U8	   7.73
4(N01)	SZAB~a	   7.73
KU~b1	RAD~a	   7.73
E2~a	KISIM~a	   7.73
1(N46)	8(N19)	   7.73
IB~a	KAR2~a	   7.73
1(N39~a)	PA~a	   7.73
EN~a	SIG2~a1	   7.72
BAD~a	SIG2~b	   7.72
2(N04)	3(N57)	   7.72
5(N04)	EN~a	   7.72
1(N25)	SU~a	   7.72
1(N51)	MU	   7.72
1(N01)	ZATU732	   7.72
BAR	NIMGIR	   7.72
4(N57)	SU~a	   7.72
2(N42~a)	4(N42~a)	   7.72
3(N14)	USZ~a	   7.72
GA2~a2	PIRIG~b1	   7.72
4(N01)	SI4~f	   7.72
SIG7	SU~a	   7.72
KITI	SI	   7.72
KASZ~c	SZA	   7.72
ENKUM	NINKUM	   7.72
KU6~a	SZU2~a	   7.71
2(N01)	ZATU764	   7.71
2(N01)	KAR2	   7.71
NI~a	UKKIN~a	   7.71
KA~a	PA~a	   7.71
7(N14)	BAR	   7.71
SANGA~a	SZU2~a	   7.71
1(N01)	SZAKIR~b	   7.71
3(N39~a)	ZATU714	   7.71
KALAM~b	KI	   7.71
3(N01)	NESAG2~a	   7.71
AN	NI~b	   7.71
DILMUN	TUN3~a	   7.71
1(N39~a)	KASZ~b	   7.71
GIR3~c	UNUG~a	   7.71
TE	TUG2~a	   7.71
MUSZ3~a	USZ~a	   7.71
KASZ~c	MUD	   7.71
DUR2	SZE3	   7.71
KI	NUNUZ~c	   7.70
ZATU651	ZATU753	   7.70
GI	GISZ@t	   7.70
MUSZ3~a	NIMGIR	   7.70
ME~a	ZATU759	   7.70
3(N57)	7(N14)	   7.70
1(N08)	HI@g~a	   7.70
3(N39~a)	DUG~a	   7.70
2(N42~a)	SUHUR	   7.70
1(N42~a)	GAL~a	   7.70
1(N24)	2(N04)	   7.70
3(N57)	AZ	   7.70
2(N01)	GAR3	   7.70
GI	TU~b	   7.70
TAK4~a	UB	   7.70
1(N50)	KI	   7.70
MUSZ3~a	NA2~a	   7.70
NIM~b1	PA~a	   7.70
SANGA~a	UTUL~a	   7.70
3(N08)	EN~a	   7.70
1(N51)	UDU~a	   7.70
SZA3~a1	SZU2	   7.69
AK~a	TE	   7.69
E2~b	MU	   7.69
KI	KISZIK~a	   7.69
MU	UR~a	   7.69
SAG	USZ~a	   7.69
7(N01)	KASZ~a	   7.69
APIN~a	SZAGAN	   7.69
GAL~a	ZATU773~a	   7.69
ME~a	NIM~b1	   7.69
3(N14)	4(N57)	   7.69
DU	DUG~b	   7.69
1(N57)@t	SAL	   7.69
GAL~a	TAG~a2	   7.69
3(N01)	URUDU~a	   7.69
MUSZEN	UTUA~a	   7.69
8(N01)	GIBIL	   7.69
TAK4~a	ZATU651	   7.68
3(N02)	BA	   7.68
NUN~a	ZABALAM~a	   7.68
4(N04)	SAL	   7.68
GU	LA2	   7.68
5(N05)	HI@g~a	   7.68
DAH	PAP~a	   7.68
1(N29~a)	5(N01)	   7.68
3(N14)	5(N19)	   7.68
HI	ZATU751~a	   7.68
DU8~c	SAL	   7.68
2(N14)	GUM~b	   7.68
LAM~b	SZE~a	   7.68
NUNUZ~c	SZU	   7.68
GUL	SZE~a	   7.68
4(N14)	SZAB~a	   7.67
ERIM~a	TI	   7.67
4(N39~a)	5(N01)	   7.67
DUB~a	GA2~a1	   7.67
SUG5	TUR3~a	   7.67
BAD	GI	   7.67
GIR3~c	URU~a1	   7.67
1(N01)	1(N24~b)	   7.67
1(N05)	1(N28~c)	   7.67
1(N05)	3(N20)	   7.67
4(N14)	NIMGIR	   7.67
UR2	URI3~a	   7.67
SZU2	TUN3~a	   7.67
2(N14)	MEN~a	   7.67
3(N57)	ZATU694~c	   7.67
3(N02)	EN~a	   7.67
5(N01)	GAN~c	   7.67
3(N01)	ZATU795	   7.67
RU	SIG7	   7.67
GA~a	PAD~a	   7.67
1(N04)	2(N57)	   7.67
5(N01)	KALAM~a	   7.66
1(N02)	MUSZ3~a	   7.66
BAR	SZA	   7.66
2(N39~a)	E2~b	   7.66
3(N05)	BA	   7.66
8(N01)	GIR3@g~b	   7.66
1(N01)	LAM~a	   7.66
3(N39~a)	LAGAB~b	   7.66
KASZ~c	ZATU694~c	   7.66
GA~a	IDIGNA	   7.66
EN~a	SZAKIR~c	   7.66
4(N34)	NAM2	   7.66
2(N01)	TA~c	   7.66
DI	UB	   7.66
U2~a	UDU~a	   7.66
SAL	ZATU788	   7.66
GAL~a	GUL	   7.66
DU	GARA2~a	   7.66
1(N01)	8(N34)	   7.66
MU	UB	   7.66
2(N01)	SILA4~b	   7.66
3(N01)	DAR~a	   7.66
4(N14)	EZEN~b	   7.66
2(N14)	6(N57)	   7.66
DA~a	SIG	   7.66
1(N01)	5(N04)	   7.66
GURUSZ~a	USZ~a	   7.65
DUR2	TUR	   7.65
ALIM	GISZ	   7.65
GAR	SUKKAL	   7.65
GU	SZA3~a1	   7.65
DUG~c	SZUBUR	   7.65
GU7	LA2	   7.65
TAK4~a	UR2	   7.65
4(N04)	BU~a	   7.65
2(N34)	UTUA~a	   7.65
DA~a	GU4	   7.65
EZEN~b	SUG5	   7.65
EN~a	GA2~b	   7.65
2(N14)	ZATU694~c	   7.65
SZU2	UR~a	   7.65
BA	NIM~a	   7.64
1(N01)	ZATU749~a	   7.64
KUR~a	ZATU752	   7.64
IB~a	NIMGIR	   7.64
2(N01)	GISZ3~a	   7.64
SAG	ZAG~a	   7.64
NINDA2	PAP~a	   7.64
NUN~b	U2~b	   7.64
KU3~a	TUN3~a	   7.64
3(N34)	KI	   7.64
GESZTU~b	KISAL~b1	   7.64
2(N45)	RU	   7.64
3(N57)	GADA~a	   7.64
GA2~a1	UB	   7.64
DUG~c	GA2~a1	   7.64
1(N14)	AK~a	   7.64
3(N04)	BU~a	   7.64
BAR	SAR~a	   7.64
HI@g~a	URU~a1	   7.64
1(N58)	KINGAL	   7.64
BU~a	SZIM~a	   7.63
ISZ~b	TE	   7.63
DU	NINDA2	   7.63
A	NU11	   7.63
TAG~a1	TUN3~a	   7.63
SANGA~a	SZIDIM	   7.63
KAK~a	SI	   7.63
GI	MUN~a1	   7.63
BA	GESZTU~b	   7.63
AMA~a	UNUG~a	   7.63
KALAM~a	U4	   7.63
1(N01)	2(N48)	   7.63
3(N42~a)	GU7	   7.63
1(N08)	HASZHUR	   7.63
8(N01)	KID~b	   7.63
GIR3@g~b	TUR	   7.62
BA	GUG2	   7.62
MUSZ3~a	RAD~a	   7.62
GI	SA~c	   7.62
SAL	TU~b	   7.62
GADA~a	NUN~a	   7.62
2(N01)	BALAG	   7.62
KU~b1	ZATU659	   7.62
1(N05)	AN	   7.62
NAR	U8	   7.62
4(N14)	5(N57)	   7.62
GA~b	KISZ	   7.62
KU3~a	NAR	   7.61
HI@g~a	U2~b	   7.61
DUG~c	SZA	   7.61
9(N19)	SZE~a	   7.61
GISZIMMAR~b1	KU6~a	   7.61
AN	SA~c	   7.61
DA~a	GA2~a1	   7.61
BA	ZATU628~a	   7.61
KU3~a	SZAKIR~c	   7.61
GA2~a1	SZE3	   7.61
3(N01)	NIR~a	   7.61
1(N46)	5(N01)	   7.61
ERIM~a	URI3~a	   7.61
1(N01)	ZATU786	   7.61
1(N04)	3(N39~a)	   7.61
ERIM~a	RAD~a	   7.61
SAL	UKKIN~a	   7.61
SANGA~a	SILA4~a	   7.61
1(N04)	UR5~a	   7.61
1(N57)	UKKIN~a	   7.61
GI	SZEG9	   7.61
SA~c	SZIM~a	   7.61
DA~a	SZITA~a1	   7.61
3(N19)	4(N04)	   7.60
NUNUZ~a1	ZATU753	   7.60
U8	ZATU659	   7.60
7(N01)	GISZ3~b	   7.60
GU7	SUG5	   7.60
KA~a	TAK4~a	   7.60
KISAL~b1	N	   7.60
KITI	RAD~a	   7.60
RU	ZI~a	   7.60
1(N04)	SU~a	   7.60
1(N03)	MU	   7.60
1(N29~a)	3(N39~a)	   7.60
GAN2	ZI~a	   7.60
ERIN	KU6~a	   7.60
KA~a	SU~a	   7.60
6(N57)	SAL	   7.60
TAK4~a	TUN3~a	   7.60
KUR~a	N	   7.60
GA~a	KASZ~c	   7.60
2(N46)	3(N19)	   7.60
GI	KAR2~a	   7.60
SZU2	UD5~a	   7.59
2(N01)	5(N05)	   7.59
RAD~a	ZATU737	   7.59
4(N19)	5(N19)	   7.59
NUNUZ~c	UDU~a	   7.59
UB	ZATU647	   7.59
4(N14)	UKKIN~a	   7.59
SI	ZATU773~a	   7.59
1(N04)	MUSZ3~a	   7.59
U4	ZATU647	   7.59
GISZ	GU	   7.59
E2~b	ISZ~b	   7.59
DUB~b	SZE~a	   7.59
2(N01)	5(N04)	   7.59
KISAL~b1	UKKIN~a	   7.59
1(N19)	6(N19)	   7.59
2(N05)	SU~a	   7.59
E2~b	TUR3~a	   7.59
KU~b1	LAGAB~b	   7.58
1(N24)	3(N04)	   7.58
EN~a	LUGAL	   7.58
EN~c	GAL~a	   7.58
KASZ~c	UD5~a	   7.58
SZITA~a1	UB	   7.58
SI4~a	U2~a	   7.58
1(N14)	BAHAR2~b	   7.58
7(N01)	DUR~b	   7.58
HI	NUN~b	   7.58
HI	UMUN2	   7.58
BA	EN~b	   7.58
KASZ~b	SZITA~a1	   7.58
1(N25)	1(N30~c)	   7.58
PAD~a	ZATU752	   7.58
2(N51)	3(N14)	   7.57
1(N05)	SU~a	   7.57
1(N52)	3(N01)	   7.57
SILA3~a	U2~a	   7.57
N	URU~a1	   7.57
ERIN	UB	   7.57
DUR~b	EN~a	   7.57
4(N01)	DAR~b	   7.57
E2~a	GESZTU~b	   7.57
DUR2	MASZ	   7.57
BA	N	   7.57
2(N01)	ZATU686~a	   7.57
BAD	MASZ	   7.57
2(N01)	2(N58)	   7.56
4(N01)	SZITA@g~a	   7.56
7(N14)	NUN~a	   7.56
3(N01)	SZE~a@t	   7.56
KISAL~b1	MUD	   7.56
GAR	ISZ~b	   7.56
GIR3~c	IB~a	   7.56
AMAR	MUSZEN	   7.56
AB~b	NAR	   7.56
7(N01)	KAB	   7.56
GU	URI3~a	   7.56
DIN	UKKIN~b	   7.56
AK~a	NUN~a	   7.56
KISIM~b	NI~b	   7.56
1(N14)	IN~b	   7.56
3(N14)	BARA2~a	   7.56
LAGAB~b	TI	   7.56
3(N57)	NUNUZ~c	   7.56
4(N39~a)	SANGA~a	   7.55
U4	ZATU649	   7.55
DIM~a	NUNUZ~a1	   7.55
2(N01)	PAP@t	   7.55
2(N52)	UDU~a	   7.55
2(N48)	3(N34)	   7.55
BA	I	   7.55
GU7	TAK4~a	   7.55
3(N14)	DUR~b	   7.55
1(N25)	3(N39~a)	   7.55
1(N28~c)	U4	   7.55
1(N05)	1(N40)	   7.55
2(N57)	TUN3~a	   7.55
GISZ	SIG2~b	   7.55
SANGA~a	UTUA~a	   7.55
KAL~b2	PAP~a	   7.55
5(N19)	U4	   7.55
DUR~b	RU	   7.55
NI~a	SAGSZU	   7.55
GAR3	ZATU694~d	   7.54
1(N39~a)	KISAL~b1	   7.54
2(N34)	7(N34)	   7.54
3(N01)	ZATU629	   7.54
U2~b	ZATU694~c	   7.54
9(N01)	MU	   7.54
E2~b	MAR~a	   7.54
2(N01)	SUKUD	   7.54
5(N01)	HALUB	   7.54
BA	LAM~b	   7.54
EN~a	ISZ~a	   7.54
3(N34)	LAGAB~b	   7.54
GIR3~c	UR~a	   7.53
1(N04)	AMA~a	   7.53
U8	URI3~a	   7.53
GAR	GISZ	   7.53
PIRIG~b1	UD5~a	   7.53
1(N58)	NIM~a	   7.53
SZE~a	ZATU647	   7.53
GA2~a1	KASZ~a	   7.53
ERIM~a	SAR~a	   7.53
1(N14)	BALA~a	   7.53
KI	ZATU628~a	   7.53
DILMUN	GAL~a	   7.53
1(N08)	NA2~a	   7.53
1(N01)	KASZ~d	   7.53
4(N01)	GIR2~a	   7.53
AMA~a	ZATU659	   7.53
GU4	PA~a	   7.53
4(N01)	SZIDIM	   7.52
AMA~a	NUN~a	   7.52
IDIGNA	TUR	   7.52
1(N58)	KUR~a	   7.52
DUG~c	N	   7.52
GU7	ZATU752	   7.52
KID~b	PA~a	   7.52
DU	KALAM~b	   7.52
KISAL~b1	NIN	   7.52
DUR2	KASZ~c	   7.52
KASZ~c	TE	   7.52
1(N46)	SAL	   7.52
NE~a	SUKKAL	   7.52
6(N01)	GISZ3~b	   7.52
NUN~b	SI	   7.52
GUG2	KASZ~c	   7.51
NUNUZ~a1	NUN~b	   7.51
U2~b	ZI~a	   7.51
1(N01)	IM~b	   7.51
EZEN~b	ME~a	   7.51
3(N01)	SZA@g	   7.51
NIN	NI~a	   7.51
KASZ~b	KI	   7.51
E2~a	SZURUPPAK~a	   7.51
SUHUR	URU~a1	   7.51
PIRIG~b1	UB	   7.51
RAD~a	SZA	   7.51
SI4~a	SUHUR	   7.51
LAGAB~a	NUN~a	   7.51
2(N34)	SI	   7.51
DIM~a	SU~a	   7.51
AMA~a	NIN	   7.51
1(N28)	1(N28~c)	   7.51
1(N20)	KASZ~a	   7.51
ASAR	GI	   7.51
APIN~a	NAGA~a	   7.51
1(N02)	SU~a	   7.51
TUR	UR5~a	   7.51
DIN	SZU2	   7.50
4(N01)	DAR~a	   7.50
BAR	GU4	   7.50
KALAM~a	PAP~a	   7.50
EZEN~b	ZATU753	   7.50
AB~a	GURUSZ~a	   7.50
3(N42~a)	ZATU714	   7.50
LAGAB~a	SUHUR	   7.50
3(N01)	DILMUN	   7.50
MEN~a	PA~a	   7.50
1(N19)	GAL~a	   7.50
NUNUZ~a1	ZATU659	   7.49
1(N34)	USZ~a	   7.49
1(N05)	3(N57)	   7.49
GUG2	NUN~a	   7.49
AN	SZE~a@t	   7.49
1(N52)	2(N14)	   7.49
