sign1	sign2	closeness
KI@n	SAGSZU	   0.37
4(N14)	URI3~a	   0.37
GI6	GIR3~c	   0.37
KASZ~c	SAGSZU	   0.37
3(N14)	ADAB	   0.37
SILA4~b	SUHUR	   0.37
APIN~a	GURUSZDA	   0.37
BAHAR2~a	SAG	   0.37
BAN~b	SAGSZU	   0.37
DU6~a	IDIGNA	   0.37
ISZ~a	LAGAB~a	   0.37
KI	NE~a	   0.37
BAHAR2~a	KI@n	   0.36
SAGSZU	ZATU759	   0.36
4(N41)	SZA3~a1	   0.36
4(N14)	KAL~b1	   0.36
BAHAR2~a	KASZ~c	   0.36
DU	SAGSZU	   0.36
BAHAR2~a	BAN~b	   0.36
DU6~a	EZINU~d	   0.36
GI6	ISZ~a	   0.36
IDIGNA	LAGAB~a	   0.36
2(N19)	SZA3~a1	   0.36
6(N01)	URI3~a	   0.36
AN	DU6~a	   0.36
BAHAR2~a	ZATU759	   0.36
SAGSZU	UR4~a	   0.36
AB2	SAG	   0.35
BAHAR2~a	DU	   0.35
1(N46)	SZA3~a1	   0.35
3(N14)	SILA4~b	   0.35
SUHUR	UB	   0.35
AB2	KI@n	   0.35
APIN~a	SAGSZU	   0.35
EZINU~d	LAGAB~a	   0.35
GI6	IDIGNA	   0.35
6(N01)	KAL~b1	   0.35
AB2	KASZ~c	   0.35
AN	LAGAB~a	   0.35
BAHAR2~a	UR4~a	   0.35
DU6~a	KI	   0.35
GIR3~c	URI3~a	   0.35
1(N08)	GURUSZDA	   0.35
AB2	BAN~b	   0.35
NE~a	SAG	   0.35
4(N41)	GAN2	   0.35
AB2	ZATU759	   0.34
APIN~a	BAHAR2~a	   0.34
EZINU~d	GI6	   0.34
KI@n	NE~a	   0.34
AB2	DU	   0.34
AN	GI6	   0.34
GIR3~c	KAL~b1	   0.34
KASZ~c	NE~a	   0.34
KI	LAGAB~a	   0.34
2(N19)	GAN2	   0.34
DUG~b	TUM~a	   0.34
BAN~b	NE~a	   0.34
ISZ~a	URI3~a	   0.34
AB2	UR4~a	   0.34
NE~a	ZATU759	   0.34
1(N46)	GAN2	   0.34
3(N14)	UB	   0.34
DU	NE~a	   0.33
GI6	KI	   0.33
1(N08)	SAGSZU	   0.33
AB2	APIN~a	   0.33
IDIGNA	URI3~a	   0.33
ISZ~a	KAL~b1	   0.33
DU6~a	SAG	   0.33
NE~a	UR4~a	   0.33
DU6~a	KI@n	   0.33
1(N08)	BAHAR2~a	   0.33
APIN~a	NE~a	   0.33
DU6~a	KASZ~c	   0.33
EZINU~d	URI3~a	   0.33
IDIGNA	KAL~b1	   0.33
AN	URI3~a	   0.32
BAN~b	DU6~a	   0.32
LAGAB~a	SAG	   0.32
SUHUR	TUM~a	   0.32
DU6~a	ZATU759	   0.32
KI@n	LAGAB~a	   0.32
DU	DU6~a	   0.32
EZINU~d	KAL~b1	   0.32
KASZ~c	LAGAB~a	   0.32
AN	KAL~b1	   0.32
BAN~b	LAGAB~a	   0.32
GI6	SAG	   0.32
KI	URI3~a	   0.32
1(N08)	AB2	   0.31
DU6~a	UR4~a	   0.31
GI6	KI@n	   0.31
LAGAB~a	ZATU759	   0.31
DUG~b	UR~a	   0.31
DU	LAGAB~a	   0.31
GI6	KASZ~c	   0.31
APIN~a	DU6~a	   0.31
BAN~b	GI6	   0.31
KAL~b1	KI	   0.31
1(N08)	NE~a	   0.31
GI6	ZATU759	   0.31
LAGAB~a	UR4~a	   0.31
3(N14)	TUM~a	   0.31
DU	GI6	   0.30
APIN~a	LAGAB~a	   0.30
GI6	UR4~a	   0.30
GURUSZDA	NA	   0.30
SAG	URI3~a	   0.30
APIN~a	GI6	   0.30
GURUSZDA	SUKUD@v	   0.30
KI@n	URI3~a	   0.30
KASZ~c	URI3~a	   0.29
DUG~b	SZA3~a1	   0.29
SUHUR	UR~a	   0.29
1(N08)	DU6~a	   0.29
BAN~b	URI3~a	   0.29
KAL~b1	SAG	   0.29
KAL~b1	KI@n	   0.29
URI3~a	ZATU759	   0.29
DU	URI3~a	   0.29
KAL~b1	KASZ~c	   0.29
1(N08)	LAGAB~a	   0.28
BAN~b	KAL~b1	   0.28
NA	SAGSZU	   0.28
KAL~b1	ZATU759	   0.28
SAGSZU	SUKUD@v	   0.28
UR4~a	URI3~a	   0.28
DU	KAL~b1	   0.28
3(N14)	UR~a	   0.28
DUG~b	GAN2	   0.28
1(N08)	GI6	   0.28
2(N39~a)	GURUSZDA	   0.28
APIN~a	URI3~a	   0.28
BAHAR2~a	NA	   0.28
BAHAR2~a	SUKUD@v	   0.27
KAL~b1	UR4~a	   0.27
SUHUR	SZA3~a1	   0.27
6(N14)	GURUSZDA	   0.27
APIN~a	KAL~b1	   0.27
GURUSZDA	n	   0.27
AB2	NA	   0.26
GURUSZDA	KASZ~a	   0.26
2(N39~a)	SAGSZU	   0.26
AB2	SUKUD@v	   0.26
1(N08)	URI3~a	   0.26
6(N14)	SAGSZU	   0.26
NA	NE~a	   0.26
3(N14)	SZA3~a1	   0.26
GAN2	SUHUR	   0.26
2(N39~a)	BAHAR2~a	   0.26
NE~a	SUKUD@v	   0.26
SAGSZU	n	   0.26
1(N08)	KAL~b1	   0.25
6(N14)	BAHAR2~a	   0.25
KASZ~a	SAGSZU	   0.25
BAHAR2~a	n	   0.25
2(N39~a)	AB2	   0.24
BAHAR2~a	KASZ~a	   0.24
3(N14)	GAN2	   0.24
DU6~a	NA	   0.24
6(N14)	AB2	   0.24
DU6~a	SUKUD@v	   0.24
2(N39~a)	NE~a	   0.24
AB2	n	   0.24
LAGAB~a	NA	   0.23
6(N14)	NE~a	   0.23
AB2	KASZ~a	   0.23
LAGAB~a	SUKUD@v	   0.23
NE~a	n	   0.23
GI6	NA	   0.23
GI6	SUKUD@v	   0.22
KASZ~a	NE~a	   0.22
2(N39~a)	DU6~a	   0.22
6(N14)	DU6~a	   0.22
2(N39~a)	LAGAB~a	   0.21
DU6~a	n	   0.21
4(N41)	GURUSZDA	   0.21
6(N14)	LAGAB~a	   0.21
DU6~a	KASZ~a	   0.21
NA	URI3~a	   0.21
2(N19)	GURUSZDA	   0.21
2(N39~a)	GI6	   0.21
LAGAB~a	n	   0.21
SUKUD@v	URI3~a	   0.21
1(N46)	GURUSZDA	   0.20
6(N14)	GI6	   0.20
KAL~b1	NA	   0.20
KASZ~a	LAGAB~a	   0.20
GI6	n	   0.20
KAL~b1	SUKUD@v	   0.20
4(N41)	SAGSZU	   0.19
GI6	KASZ~a	   0.19
2(N19)	SAGSZU	   0.19
1(N46)	SAGSZU	   0.19
2(N39~a)	URI3~a	   0.19
4(N41)	BAHAR2~a	   0.19
2(N19)	BAHAR2~a	   0.19
1(N46)	BAHAR2~a	   0.18
6(N14)	URI3~a	   0.18
2(N39~a)	KAL~b1	   0.18
URI3~a	n	   0.18
4(N41)	AB2	   0.18
6(N14)	KAL~b1	   0.18
DUG~b	GURUSZDA	   0.18
KASZ~a	URI3~a	   0.18
2(N19)	AB2	   0.17
KAL~b1	n	   0.17
1(N46)	AB2	   0.17
4(N41)	NE~a	   0.17
KAL~b1	KASZ~a	   0.17
2(N19)	NE~a	   0.17
GURUSZDA	SUHUR	   0.17
1(N46)	NE~a	   0.16
DUG~b	SAGSZU	   0.16
3(N14)	GURUSZDA	   0.16
BAHAR2~a	DUG~b	   0.15
4(N41)	DU6~a	   0.15
SAGSZU	SUHUR	   0.15
2(N19)	DU6~a	   0.15
1(N46)	DU6~a	   0.15
3(N14)	SAGSZU	   0.15
4(N41)	LAGAB~a	   0.15
BAHAR2~a	SUHUR	   0.15
2(N19)	LAGAB~a	   0.14
AB2	DUG~b	   0.14
1(N46)	LAGAB~a	   0.14
3(N14)	BAHAR2~a	   0.14
4(N41)	GI6	   0.14
2(N19)	GI6	   0.14
DUG~b	NE~a	   0.14
1(N46)	GI6	   0.13
AB2	SUHUR	   0.13
3(N14)	AB2	   0.13
NE~a	SUHUR	   0.13
3(N14)	NE~a	   0.12
4(N41)	URI3~a	   0.12
DU6~a	DUG~b	   0.12
2(N19)	URI3~a	   0.12
1(N46)	URI3~a	   0.11
4(N41)	KAL~b1	   0.11
DUG~b	LAGAB~a	   0.11
2(N19)	KAL~b1	   0.11
DU6~a	SUHUR	   0.11
1(N46)	KAL~b1	   0.11
DUG~b	GI6	   0.11
3(N14)	DU6~a	   0.10
LAGAB~a	SUHUR	   0.10
3(N14)	LAGAB~a	   0.10
GI6	SUHUR	   0.10
3(N14)	GI6	   0.09
DUG~b	URI3~a	   0.09
DUG~b	KAL~b1	   0.08
SUHUR	URI3~a	   0.08
3(N14)	URI3~a	   0.07
KAL~b1	SUHUR	   0.07
3(N14)	KAL~b1	   0.06
