excavationNumbers	tablets
W 12124,c	P001840
W 12124,d	P001841
W 12137,?	P001850
W 12137,a	P001842
W 12137,b	P001843
W 12137,c	P001844
W 12137,d	P001845
W 12137,e	P001846
W 12137,h	P001849
W 12138	P001851
W 12139	P000014
W 12197,?	P001853
W 12256,?	P001869
W 12256,b	P001855
W 12256,d	P001857
W 12256,h	P001861
W 12256,i + W 12256,k + W 12256,l + W 12256,o	P000015
W 12256,m	P001862
W 12256,n	P001863
W 12256,p	P001864
W 12256,r	P001866
W 12256,s	P001867
W 12256,t	P001868
W 13033	P001871
W 13323	P001872
W 13579	P001873
W 13649	P001874
W 13662,a1	P001875
W 13662,a2	P001876
W 13662,a4	P001878
W 13662,b1	P001879
W 13662,b2	P001880
W 13662,c1	P000019
W 13662,c2	P001881
W 13662,d1	P001882
W 13662,e1	P001883
W 13662,f1	P001884
W 13662,g1	P001885
W 13662,g2	P001886
W 13662,h1	P001887
W 13662,h2	P001888
W 13662,i1	P001889
W 13662,k1	P001890
W 13662,k2	P001891
W 13662,k3 + W 13662,kv2	P001892
W 13662,l1	P001893
W 13662,m1	P001894
W 13662,n1	P001895
W 13662,n2	P001896
W 13662,n3	P001897
W 13662,o1	P001898
W 13662,p1	P001899
W 13662,q1 + W 13662,y + W 13662,z	P001900
W 13662,r1	P001901
W 13662,s1 + W 13662,a3?	P001877
W 13662,s2	P001903
W 13662,t1	P001904
W 13662,t2	P001905
W 13662,t3	P001906
W 13662,u1	P001907
W 13662,v1	P000020
W 13662,v3	P001909
W 13662,w1	P001910
W 13662,w2	P001911
W 13662,x1	P001912
W 13662,x2	P001913
W 13675	P001916
W 13701	P001917
W 13917	P001918
W 13946,a	P001919
W 13946,b	P001920
W 13946,c	P001921
W 13946,d	P001922
W 13946,e	P001923
W 13946,f	P001924
W 13946,g	P001925
W 13946,h	P001926
W 13946,i + W 13946,k	P001927
W 13946,l	P001929
W 13946,m	P001930
W 13946,n1	P001931
W 13946,n2	P001932
W 13946,o + W 13946,s	P001933
W 13946,r	P001936
W 13946,t	P001938
W 13946,v	P001940
W 13946,w	P001941
W 13946,z	P001942
W 13948	P000021
W 13982	P000022
W 13989,a	P001943
W 13989,b	P001944
W 13989,c	P001945
W 13989,d	P001946
W 13989,f	P001948
W 14016,a	P001949
W 14017	P001950
W 14109	P001951
W 14110,a + W 14110,b	P001952
W 14111,?1	P001981
W 14111,?2	P001982
W 14111,a + W 14111,b + W 14111,d1 + W 14111,e	P001954
W 14111,aa	P001980
W 14111,c	P001956
W 14111,d2 + W 14363 + W 14364,a + b	P001958
W 14111,f	P001960
W 14111,g	P001961
W 14111,h	P001962
W 14111,l	P001965
W 14111,n	P001967
W 14111,o	P001968
W 14111,r	P001971
W 14111,s	P001972
W 14111,u	P001974
W 14111,w	P001976
W 14111,x	P001977
W 14111,y	P001978
W 14111,z	P001979
W 14112,l	P001984
W 14132	P001985
W 14133	P001986
W 14134,a	P001987
W 14134,b + W 14134,c	P001988
W 14148	P001990
W 14210	P001991
W 14263	P001992
W 14264	P000023
W 14265	P001993
W 14274	P001994
W 14275	P001995
W 14289,a + W 14289,b	P001996
W 14290,a + W 14290,b	P001998
W 14291,a	P002000
W 14291,b	P002001
W 14327	P002002
W 14328	P002003
W 14329,a + W 14329,b	P002004
W 14330	P002006
W 14331	P002007
W 14332,a + W 14332,b + W 14332,c	P002008
W 14333	P002011
W 14334,a + W 14334,b + W 14334,d	P002012
W 14334,c	P002015
W 14334,e + W 14334,g + W 14334,h	P002017
W 14334,f	P002018
W 14334,l	P002021
W 14335,b	P002023
W 14335,c	P000024
W 14335,d	P002024
W 14335,e	P002025
W 14335,f	P002026
W 14335,g	P002027
W 14335,h	P002028
W 14335,i	P002029
W 14335,k	P002030
W 14335,l1	P002031
W 14335,l2	P002032
W 14335,m	P002033
W 14335,n	P002034
W 14335,o + W 14335,p + W 14335,y + ?	P002035
W 14335,u	P002041
W 14335,w	P002043
W 14335,x	P002044
W 14337,a + W 14337,b + W 14337,c + W 14337,d + W 14337,e	P000025
W 14338,a + W 14338,b	P002048
W 14338,c	P002050
W 14338,d	P002051
W 14341	P002052
W 14353	P002053
W 14354,a	P002054
W 14355	P002056
W 14357	P002059
W 14358	P002060
W 14359	P002061
W 14360	P002062
W 14361	P002063
W 14362	P002064
W 14365	P002068
W 14366	P002069
W 14367 + W 14372	P002070
W 14370	P002073
W 14371	P002074
W 14384	P002076
W 14497	P000030
W 14551,a + W 14551,b ?	P000031
W 14551,d	P002078
W 14557	P002079
W 14568	P002080
W 14617	P002081
W 14637	P002082
W 14638	P000033
W 14704,a	P002083
W 14704,b	P002084
W 14724	P002085
W 14731,?1	P002171
W 14731,?2	P002172
W 14731,?3	P002173
W 14731,?4	P002174
W 14731,?5a	P002175
W 14731,?5b	P002176
W 14731,a1	P002086
W 14731,a2	P002087
W 14731,a3	P002088
W 14731,a4	P002089
W 14731,a?	P002144
W 14731,ab1	P002115
W 14731,ab2	P002116
W 14731,ad	P002118
W 14731,ae	P002119
W 14731,af	P002120
W 14731,ag01	P002121
W 14731,ag02	P006000
W 14731,ag03	P006001
W 14731,ag04	P006002
W 14731,ag05	P006003
W 14731,ag06	P006004
W 14731,ag07	P006005
W 14731,ag08	P002122
W 14731,ag09	P006006
W 14731,ag10	P006007
W 14731,ag11	P006008
W 14731,ag12	P006009
W 14731,ag13	P006010
W 14731,ag14	P006011
W 14731,ag15	P006012
W 14731,ah	P002123
W 14731,ai1	P002124
W 14731,ai2	P002125
W 14731,ai3	P002126
W 14731,ak	P002127
W 14731,al1	P002129
W 14731,al2	P002128
W 14731,am	P002130
W 14731,an	P002131
W 14731,ap	P002133
W 14731,aq	P002134
W 14731,ar	P002135
W 14731,as	P002136
W 14731,av	P002138
W 14731,aw1	P002139
W 14731,aw2	P002140
W 14731,ax	P002141
W 14731,ay	P002142
W 14731,az	P002143
W 14731,b1	P002090
W 14731,b2	P002091
W 14731,ba	P002145
W 14731,bb	P002146
W 14731,bc	P002147
W 14731,bd	P002148
W 14731,bf	P002150
W 14731,bg	P002151
W 14731,bi	P002153
W 14731,bk	P002154
W 14731,bn	P002157
W 14731,bz	P002169
W 14731,c	P002092
W 14731,d	P002093
W 14731,e	P002094
W 14731,en	P002170
W 14731,f	P002095
W 14731,g	P002096
W 14731,h	P002097
W 14731,i	P002098
W 14731,k	P002099
W 14731,l	P002100
W 14731,m	P002101
W 14731,n	P002102
W 14731,o	P002103
W 14731,p	P002104
W 14731,q	P002105
W 14731,r	P002106
W 14731,s	P002107
W 14731,t	P002108
W 14731,u + W 14731,aa + W 14731,ac	P002109
W 14731,v	P002110
W 14731,w	P002111
W 14731,x	P000034
W 14731,y	P002112
W 14731,z	P002113
W 14758	P002177
W 14777,a	P002178
W 14777,b	P000035
W 14777,c	P002179
W 14777,d	P002180
W 14777,e + W 14777,r1 ?	P002181
W 14777,f	P002182
W 14777,g	P002183
W 14777,h	P002184
W 14777,i	P002185
W 14777,k	P002186
W 14777,l	P002187
W 14777,m	P002188
W 14777,n	P002189
W 14777,o	P002190
W 14777,q	P002192
W 14777,r2	P002194
W 14804,a + W 14804,b	P002195
W 14804,c	P002197
W 14820	P002198
W 14851	P002199
W 14852	P002200
W 14873	P423593
W 15085	P000036
W 15193	P002201
W 15194,a	P002202
W 15194,b	P002203
W 15194,c	P002204
W 15195	P002205
W 15286	P002206
W 15658	P002207
W 15662	P002208
W 15692,a1	P002209
W 15692,a10	P002218
W 15692,a11	P002219
W 15692,a12	P002220
W 15692,a13	P002221
W 15692,a14	P002222
W 15692,a15	P002223
W 15692,a16	P002224
W 15692,a17	P002225
W 15692,a18	P002226
W 15692,a2	P002210
W 15692,a3	P002211
W 15692,a4	P002212
W 15692,a5	P002213
W 15692,a6	P002214
W 15692,a7	P002215
W 15692,a8	P002216
W 15692,a9	P002217
W 15711	P002227
W 15721,m?	P002228
W 15759	P002229
W 15769,a	P002230
W 15770,?	P002256
W 15770,a	P002231
W 15770,b	P002232
W 15770,c	P002233
W 15770,d	P002234
W 15770,e	P002235
W 15770,f	P002236
W 15770,g + W 15772,h ?	P002237
W 15770,h	P002238
W 15770,i	P002239
W 15770,k	P002240
W 15770,l	P002241
W 15770,m	P002242
W 15770,n	P002243
W 15770,o	P002244
W 15770,p	P002245
W 15770,q	P002246
W 15770,r	P002247
W 15770,s	P002248
W 15770,t	P002249
W 15770,u	P002250
W 15770,v	P002251
W 15770,w	P002252
W 15770,x	P002253
W 15770,y	P002254
W 15770,z	P002255
W 15771,a	P002257
W 15771,b	P002258
W 15771,c	P002259
W 15771,d	P002260
W 15771,e	P002261
W 15771,f	P002262
W 15771,g	P002263
W 15771,h	P002264
W 15771,i	P002265
W 15771,k	P002266
W 15771,l	P002267
W 15771,m	P002268
W 15771,n	P002269
W 15771,o	P002270
W 15771,p	P002271
W 15771,q	P002272
W 15771,r	P002273
W 15771,s	P002274
W 15771,t	P002275
W 15771,u	P002276
W 15771,w	P002278
W 15771,x	P002279
W 15771,z	P002281
W 15772,a	P002282
W 15772,b	P002283
W 15772,c + W 15772,i1	P002284
W 15772,d	P002285
W 15772,e	P002286
W 15772,f	P002287
W 15772,g	P002288
W 15772,i2	P002291
W 15772,k	P002292
W 15772,l	P000037
W 15772,m	P002293
W 15772,n	P002294
W 15772,o	P002295
W 15772,p	P002296
W 15772,q	P002297
W 15772,r	P002298
W 15772,s	P002299
W 15772,t	P002300
W 15772,u	P002301
W 15772,v	P002302
W 15772,w	P002303
W 15772,z	P002306
W 15773,a	P002307
W 15773,b	P002308
W 15773,c	P000038
W 15773,d	P002309
W 15773,e	P002310
W 15773,f + W 15776,k	P002311
W 15773,g	P002312
W 15773,h	P002313
W 15773,i	P002314
W 15773,k	P002315
W 15773,l	P002316
W 15773,m	P002317
W 15773,n	P002318
W 15773,o	P002319
W 15773,p	P002320
W 15773,q	P000039
W 15773,r	P002321
W 15773,s	P002322
W 15773,t	P000040
W 15773,u	P002323
W 15773,v	P002324
W 15774,a	P002326
W 15774,b	P002327
W 15774,c	P002328
W 15774,d	P002329
W 15774,e	P002330
W 15774,f	P002331
W 15774,g	P002332
W 15774,h	P002333
W 15774,i	P002334
W 15774,k	P002335
W 15774,l	P002336
W 15774,m	P002337
W 15774,n	P002338
W 15774,o	P002339
W 15774,p	P002340
W 15774,q	P000041
W 15774,r	P002341
W 15774,s	P002342
W 15774,t	P002343
W 15774,u	P002344
W 15774,w	P000042
W 15774,x	P002346
W 15774,y	P002347
W 15774,z	P002348
W 15775,a	P002350
W 15775,aa	P002372
W 15775,ab	P002373
W 15775,ad	P002375
W 15775,af	P000045
W 15775,ag	P002377
W 15775,ah	P002378
W 15775,b	P002351
W 15775,c	P002352
W 15775,d	P002353
W 15775,e	P002354
W 15775,f + W 15775,ae	P000043
W 15775,g	P002355
W 15775,h	P002356
W 15775,i	P002357
W 15775,k	P002358
W 15775,l	P002359
W 15775,m	P002360
W 15775,o + W 15775,v	P002362
W 15775,p	P002363
W 15775,q	P002364
W 15775,r	P002365
W 15775,s	P002366
W 15775,t	P002367
W 15775,u	P002368
W 15775,w	P002370
W 15775,z	P002371
W 15776,a	P002379
W 15776,b	P002380
W 15776,c	P002381
W 15776,d	P002382
W 15776,e	P002383
W 15776,f	P002384
W 15776,g	P002385
W 15776,h	P002386
W 15776,i	P002387
W 15776,l	P002389
W 15776,m + W 15776,o	P002390
W 15776,n	P002391
W 15776,p + W 15776,q	P002393
W 15776,r	P002395
W 15776,s	P002396
W 15776,t	P002397
W 15785,a1	P002398
W 15785,a10	P002407
W 15785,a2	P002399
W 15785,a3	P002400
W 15785,a4	P002401
W 15785,a5	P002402
W 15785,a6	P002403
W 15785,a7	P002404
W 15785,a8	P002405
W 15785,a9	P002406
W 15792,a1	P002408
W 15792,a2	P002409
W 15792,b	P002410
W 15825,a1	P002413
W 15825,a10	P002419
W 15825,a2	P002414
W 15825,a4	P002415
W 15825,a5	P002416
W 15825,a6	P002417
W 15825,a7	P000046
W 15825,a8	P000047
W 15825,a9	P002418
W 15830,a + W 15830,c + W 15830,d + W 15830,e	P002420
W 15830,b	P002421
W 15833,a01 + W 15833,aa04	P002425
W 15833,a02	P002426
W 15833,a03	P002427
W 15833,a05 + ?	P002429
W 15833,a06	P002430
W 15833,a07 + W 15833,08	P000048
W 15833,a?	P002434
W 15860,a1	P002435
W 15860,a2	P002436
W 15860,a3	P002437
W 15860,a4	P002438
W 15860,a5	P002439
W 15860,a6	P002440
W 15860,a7	P002441
W 15860,a8	P002442
W 15860,a9	P002443
W 15863,a	P002444
W 15863,b	P002445
W 15863,c	P002446
W 15863,d	P000050
W 15865	P002447
W 15873,a	P002448
W 15873,b	P002449
W 15873,c	P002450
W 15873,d	P002451
W 15876,cy1	P002453
W 15878,?	P002466
W 15878,a	P002455
W 15878,b	P002456
W 15878,c	P002457
W 15878,d + W 15878,e	P002458
W 15878,f	P002460
W 15878,h	P002461
W 15878,i	P002462
W 15878,k	P002463
W 15878,l	P002464
W 15878,m	P002465
W 15892,a + W 15892,b	P000051
W 15892,c	P000053
W 15892,d + W 15892,o	P002467
W 15892,e	P002468
W 15892,f	P002469
W 15892,g + W 15892,n	P002470
W 15892,h	P002471
W 15892,i	P002472
W 15892,k	P002473
W 15892,l	P002474
W 15892,m	P002475
W 15892,p + W 15892,r + W 15892,s	P002478
W 15892,q	P002479
W 15893,a	P002482
W 15893,b	P002483
W 15893,c	P002484
W 15893,d	P002485
W 15893,e	P002486
W 15893,f	P002487
W 15893,g	P002488
W 15893,h	P002489
W 15893,i	P002490
W 15893,k	P002491
W 15893,l	P002492
W 15893,m	P002493
W 15893,n	P002494
W 15893,o	P002495
W 15893,p	P002496
W 15893,q	P002497
W 15895,?	P002508
W 15895,a	P000054
W 15895,a?	P002503
W 15895,aa	P000077
W 15895,ab	P000078
W 15895,ac	P000079
W 15895,ad	P000080
W 15895,ae	P000081
W 15895,af	P002500
W 15895,ag	P002501
W 15895,ah	P000082
W 15895,ai	P000083
W 15895,ak	P000084
W 15895,al	P002502
W 15895,am	P000085
W 15895,an	P000086
W 15895,ao	P000087
W 15895,ap	P000088
W 15895,ar	P000090
W 15895,as	P000091
W 15895,at	P000092
W 15895,au	P000093
W 15895,av	P000094
W 15895,aw	P000095
W 15895,ax	P000096
W 15895,ay	P000097
W 15895,az + W 15895,br	P000098
W 15895,b	P000055
W 15895,ba	P000099
W 15895,bb	P000100
W 15895,bc	P000101
W 15895,bd	P000102
W 15895,be	P000103
W 15895,bf	P000104
W 15895,bg	P002504
W 15895,bh	P002505
W 15895,bi	P000105
W 15895,bk	P000106
W 15895,bl	P002506
W 15895,bm	P000107
W 15895,bn	P000108
W 15895,bo	P000109
W 15895,bp	P000110
W 15895,bq	P000111
W 15895,bs	P000113
W 15895,bt	P000114
W 15895,bu	P000115
W 15895,bv + ?	P000116
W 15895,bw	P000117
W 15895,bx	P002507
W 15895,c	P000056
W 15895,d + W 15895,v	P000057
W 15895,e + W 15895,f	P000058
W 15895,g	P000060
W 15895,h	P000061
W 15895,i	P000062
W 15895,k	P000063
W 15895,l +	P000064
W 15895,m	P000065
W 15895,n	P000066
W 15895,o	P000067
W 15895,p + W 15895,aq	P000068
W 15895,q	P000069
W 15895,r	P000070
W 15895,s	P000071
W 15895,t	P000072
W 15895,u	P000073
W 15895,w	P000075
W 15895,x	P002498
W 15895,y	P000076
W 15895,z	P002499
W 15897,a + W 15897,b	P002411
W 15897,a01	P002509
W 15897,a02	P002510
W 15897,a03	P002511
W 15897,a04 + c28	P000118
W 15897,a05	P002512
W 15897,a06	P002513
W 15897,a07	P002514
W 15897,a08	P002515
W 15897,a09	P002516
W 15897,b1	P002518
W 15897,b2	P002519
W 15897,b3	P002520
W 15897,b4	P002521
W 15897,b5	P002522
W 15897,c01	P002523
W 15897,c02	P002524
W 15897,c03	P002525
W 15897,c04	P002526
W 15897,c05	P002527
W 15897,c06	P002528
W 15897,c07	P002529
W 15897,c08	P002530
W 15897,c10	P002531
W 15897,c11	P002532
W 15897,c12	P002533
W 15897,c15	P002534
W 15897,c17	P002537
W 15897,c19	P002538
W 15897,c20	P002539
W 15897,c21	P002540
W 15897,c22	P002541
W 15897,c23	P002542
W 15897,c24	P002543
W 15897,c25	P002544
W 15897,c26	P002545
W 15897,c27	P002546
W 15897,c29	P002547
W 15919,a	P002548
W 15919,b	P002549
W 15919,c	P000120
W 15919,e	P002550
W 15920,a1	P002551
W 15920,a2	P002552
W 15920,a3	P002553
W 15920,a4	P000121
W 15920,a5	P002554
W 15920,a6	P002555
W 15920,a7	P002556
W 15920,a8	P002557
W 15920,a9	P002558
W 15920,b2	P002559
W 15920,b3	P002560
W 15920,b4	P002561
W 15920,b5	P002562
W 15920,b6	P000122
W 15936	P002563
W 15957,?	P002566
W 15957,a	P000123
W 15957,b	P002564
W 15957,c	P000124
W 15957,e	P000125
W 15957,f	P000126
W 15958,a	P002567
W 15958,b	P000127
W 15958,c	P000128
W 15958,d + W 15958,e	P000129
W 15966,d	P002568
W 15968	P002569
W 16012,a + W 16012,b + W 16012,d + W 16012,e	P002571
W 16012,c	P002573
W 16016	P002579
W 16025,b	P002576
W 16050	P002577
W 16114	P002578
W 16139,a	P002580
W 16139,b	P002581
W 16139,c	P002582
W 16139,d	P002583
W 16139,e	P002584
W 16139,f	P002585
W 16184	P002586
W 16187	P002587
W 16398	P002590
W 16465	P002591
W 16476	P002592
W 16477	P002593
W 16603,b15	P002594
W 16607	P002595
W 16621,a	P000131
W 16621,b + W 16632,c	P002596
W 16628	P002597
W 16632,a	P002598
W 16632,b	P002599
W 16632,d	P002601
W 16632,e	P002602
W 16632,f	P002603
W 16632,g	P002604
W 16632,h	P002605
W 16719	P002606
W 16728,1	P000132
W 16728,10	P000141
W 16728,14	P002610
W 16728,2	P000133
W 16728,3	P000134
W 16728,4	P000135
W 16728,5	P000136
W 16728,6	P000137
W 16728,7	P000138
W 16728,8	P000139
W 16728,9	P000140
W 16731	P002611
W 16747	P002612
W 16750	P002613
W 16751	P002614
W 16844	P002615
W 16878	P002616
W 16918,a	P000142
W 16918,b	P000143
W 16918,c	P000144
W 16918,d	P000145
W 16918,e	P000146
W 16918,f	P000147
W 16918,g	P000148
W 16918,h	P000149
W 16918,i	P000150
W 16918,k	P000151
W 16918,l	P000152
W 16979	P002617
W 17049	P002618
W 17398	P002619
W 17402	P002620
W 17440	P002621
W 17445	P002622
W 17480,a	P002623
W 17480,b	P002624
W 17586	P002625
W 17645	P002626
W 17729,a + W 17729,l	P002627
W 17729,af	P002658
W 17729,ah	P002660
W 17729,ak	P002663
W 17729,al	P002664
W 17729,am	P002665
W 17729,ao	P002667
W 17729,ap + W 17729,cz	P002668
W 17729,aq	P002669
W 17729,ar + W 17729,bm + W 17729,ch + W 17729,dy	P002670
W 17729,as	P002671
W 17729,at	P002672
W 17729,au	P002673
W 17729,av	P002674
W 17729,ay	P002677
W 17729,az	P002678
W 17729,b	P002628
W 17729,ba	P002679
W 17729,bb	P002680
W 17729,bc	P002681
W 17729,bd	P002682
W 17729,be	P002683
W 17729,bf	P002684
W 17729,bg	P002685
W 17729,bh	P002686
W 17729,bi	P002687
W 17729,bk	P002689
W 17729,bl	P002690
W 17729,bo	P002693
W 17729,bp + W 17729,bx	P002694
W 17729,bq	P002695
W 17729,bs	P002697
W 17729,bt	P002698
W 17729,bu	P002699
W 17729,bv	P002700
W 17729,bw	P002701
W 17729,by	P002703
W 17729,bz	P002704
W 17729,ca	P002705
W 17729,cb	P002706
W 17729,cd	P002708
W 17729,ce	P002709
W 17729,cf	P002710
W 17729,ci	P002713
W 17729,ck + W 17729,gf ?	P002715
W 17729,cl	P002716
W 17729,cm	P002717
W 17729,cn + W 17729,eq	P002718
W 17729,co	P002719
W 17729,cr	P002722
W 17729,cs	P002723
W 17729,cu	P002725
W 17729,cw	P002727
W 17729,cx	P002728
W 17729,cy	P002729
W 17729,da	P002731
W 17729,db	P002732
W 17729,dc	P002733
W 17729,dd	P002734
W 17729,de	P002735
W 17729,df	P002736
W 17729,dg	P002737
W 17729,dh + ?	P002738
W 17729,di	P002739
W 17729,dk	P002741
W 17729,dl	P002742
W 17729,dm	P002743
W 17729,dn	P002744
W 17729,do	P002745
W 17729,dp	P002746
W 17729,dq	P002747
W 17729,ds	P002749
W 17729,dt	P002750
W 17729,du	P002751
W 17729,dv	P002752
W 17729,dw	P002753
W 17729,dz	P002756
W 17729,e	P002631
W 17729,ea	P002757
W 17729,eb	P002758
W 17729,ec	P002759
W 17729,ed	P002760
W 17729,ee	P002761
W 17729,ef	P002762
W 17729,eg	P002763
W 17729,eh	P002764
W 17729,ei + W 17729,fb	P002765
W 17729,ek	P002767
W 17729,el	P002768
W 17729,em	P002769
W 17729,en	P002770
W 17729,eo	P002771
W 17729,ep	P002772
W 17729,er	P002774
W 17729,es	P002775
W 17729,et	P002776
W 17729,eu	P002777
W 17729,ew	P002779
W 17729,ex	P002780
W 17729,ey	P002781
W 17729,ez	P002782
W 17729,fa	P002783
W 17729,fc	P002785
W 17729,fd	P002786
W 17729,fe	P002787
W 17729,ff	P002788
W 17729,fg	P002789
W 17729,fh	P002790
W 17729,fi	P002791
W 17729,fk	P002793
W 17729,fl	P002794
W 17729,fm	P002795
W 17729,fn	P002796
W 17729,fo	P002797
W 17729,fp	P002798
W 17729,fq	P002799
W 17729,fr	P002800
W 17729,fs	P002801
W 17729,ft	P002802
W 17729,fu	P002803
W 17729,fv	P002804
W 17729,fw	P002805
W 17729,fx	P002806
W 17729,fy	P002807
W 17729,fz	P002808
W 17729,g	P002633
W 17729,ga	P002809
W 17729,gb	P002810
W 17729,gc	P002811
W 17729,gd	P002812
W 17729,ge	P002813
W 17729,gg	P002815
W 17729,gh	P002816
W 17729,gi	P002817
W 17729,gk	P002819
W 17729,gl	P002820
W 17729,gm	P002821
W 17729,ha	P002823
W 17729,hc	P002824
W 17729,hd	P002825
W 17729,i	P002635
W 17729,k	P002637
W 17729,n	P002640
W 17729,o	P002641
W 17729,q	P002643
W 17729,r	P002644
W 17729,s	P002645
W 17729,t	P002646
W 17729,u	P002647
W 17729,x	P002650
W 17729,y	P002651
W 17729,z	P002652
W 17859,a	P000153
W 17872,a	P002826
W 17872,c	P002828
W 17879,aa	P002858
W 17879,ac	P002860
W 17879,ad	P002861
W 17879,ae	P002862
W 17879,af	P002863
W 17879,ag	P002864
W 17879,b	P002833
W 17879,d	P002835
W 17879,e	P002836
W 17879,f	P002837
W 17879,i	P002840
W 17879,k	P002842
W 17879,l	P002843
W 17879,m	P002844
W 17879,n	P002845
W 17879,o	P002846
W 17879,p	P002847
W 17879,q	P002848
W 17879,t	P002851
W 17879,u	P002852
W 17879,v	P002853
W 17879,w	P002854
W 17879,x	P002855
W 17879,y	P002856
W 17879,z	P002857
W 17890,b	P002866
W 17902,a	P000154
W 17902,b	P000155
W 17902,c	P002868
W 17902,d	P000156
W 17902,f	P000157
W 17902,h	P000158
W 17902,i	P000159
W 17902,k	P002869
W 17902,m	P000160
W 17904,?	P002874
W 17925,b	P002875
W 17926	P002876
W 17938	P002877
W 17942	P000161
W 17950,b	P002879
W 17950,c	P002880
W 17950,d	P002881
W 17950,e	P002882
W 17950,f	P000162
W 17950,g	P000163
W 17950,h	P002883
W 17950,i	P002884
W 17950,m	P002887
W 17950,n?	P002888
W 17955,a	P002890
W 17973,a	P002891
W 17973,b	P002892
W 17973,c	P002893
W 17973,f	P002895
W 17973,g	P002896
W 17981,a	P002898
W 17981,b	P002899
W 17981,c	P002900
W 18247,1a	P002901
W 18247,1b	P002902
W 18247,1c	P002903
W 18247,1d	P002904
W 18247,3	P002906
W 18247,4	P002907
W 18247,4a	P002908
W 18247,4b	P002909
W 18247,5	P002910
W 18247,7	P002912
W 18330,b	P002913
W 18995	P002914
W 19163	P002915
W 19295	P002919
W 19296	P000164
W 19337,e	P002920
W 19361,01	P002922
W 19361,02	P002923
W 19361,03	P002924
W 19361,04	P002925
W 19361,05	P002926
W 19361,06	P002927
W 19361,07	P002928
W 19361,08	P002929
W 19361,09	P002930
W 19361,10	P002931
W 19361,11	P002932
W 19361,12	P002933
W 19361,13	P002934
W 19361,14	P002935
W 19361,15	P002936
W 19361,16	P002937
W 19361,17	P002938
W 19361,18	P002939
W 19361,20	P002941
W 19361,21	P002942
W 19361,22	P002943
W 19361,23	P002944
W 19361,24	P002945
W 19361,25	P002946
W 19361,26	P002947
W 19361,27 + W 19361,45	P002948
W 19361,28	P002949
W 19361,29	P002950
W 19361,30	P002951
W 19361,31	P002952
W 19361,32	P002953
W 19361,33	P002954
W 19361,34	P002955
W 19361,35	P002956
W 19361,36a	P002957
W 19361,36b	P002958
W 19361,36c	P002959
W 19361,36d	P002960
W 19361,36e	P002961
W 19361,36f	P002962
W 19361,36g	P002963
W 19361,36h	P002964
W 19361,36i	P002965
W 19361,37	P002966
W 19361,38a	P002967
W 19361,38b	P002968
W 19361,38c	P002969
W 19361,39a	P002970
W 19361,39b	P002971
W 19361,39c	P002972
W 19361,39d	P002973
W 19361,39e	P002974
W 19361,39f	P002975
W 19361,39g	P002976
W 19361,39h	P002977
W 19361,39i	P002978
W 19361,40a + W 19361,40e	P002979
W 19361,40b	P002980
W 19361,40c	P002981
W 19361,40d	P002982
W 19361,40f	P002984
W 19361,41	P002985
W 19361,42	P002986
W 19361,43	P002987
W 19361,44	P002988
W 19361,45a	P002989
W 19361,45b	P002990
W 19361,45c	P002991
W 19361,45d	P002992
W 19361,45e	P002993
W 19361,45f	P002994
W 19361,45g	P002995
W 19361,45h	P002996
W 19361,45i	P002997
W 19361,45j	P002998
W 19361,46	P003000
W 19361,47a	P003001
W 19361,47aa	P003027
W 19361,47ab	P003028
W 19361,47ac	P003029
W 19361,47b	P003002
W 19361,47c	P003003
W 19361,47d	P003004
W 19361,47e	P003005
W 19361,47f	P003006
W 19361,47g	P003007
W 19361,47h	P003008
W 19361,47i	P003009
W 19361,47j	P003010
W 19361,47k	P003011
W 19361,47l	P003012
W 19361,47m	P003013
W 19361,47n	P003014
W 19361,47o	P003015
W 19361,47p	P003016
W 19361,47q	P003017
W 19361,47r	P003018
W 19361,47s	P003019
W 19361,47t	P003020
W 19361,47u	P003021
W 19361,47v	P003022
W 19361,47w	P003023
W 19361,47x	P003024
W 19361,47y	P003025
W 19361,47z	P003026
W 19362,a	P000165
W 19362,e	P003033
W 19363	P003034
W 19372	P003035
W 19408,01	P003036
W 19408,02	P003037
W 19408,03	P003038
W 19408,04	P003039
W 19408,05	P003040
W 19408,06	P003041
W 19408,07	P003042
W 19408,08	P003043
W 19408,09	P003044
W 19408,10	P003045
W 19408,11	P003046
W 19408,12	P003047
W 19408,13	P003048
W 19408,14	P003049
W 19408,15	P003050
W 19408,16	P003051
W 19408,17	P003052
W 19408,18	P003053
W 19408,19	P003054
W 19408,20	P003055
W 19408,21	P003056
W 19408,22	P003057
W 19408,23	P003058
W 19408,24	P003059
W 19408,25	P003060
W 19408,26	P003061
W 19408,27	P003062
W 19408,28	P003063
W 19408,29	P003064
W 19408,30	P003065
W 19408,31	P003066
W 19408,32	P003067
W 19408,33	P003068
W 19408,34	P003069
W 19408,35	P003070
W 19408,36	P003071
W 19408,37	P003072
W 19408,38	P003073
W 19408,39	P003074
W 19408,40	P003075
W 19408,41	P003076
W 19408,42	P003077
W 19408,43	P003078
W 19408,44	P003079
W 19408,45	P003080
W 19408,46	P003081
W 19408,47	P003082
W 19408,48	P003083
W 19408,49	P003084
W 19408,50a	P003085
W 19408,50b	P003086
W 19408,51	P003087
W 19408,52	P003088
W 19408,53	P003089
W 19408,54	P003090
W 19408,55	P003091
W 19408,56	P003092
W 19408,57	P003093
W 19408,58	P003094
W 19408,59	P003095
W 19408,60	P003096
