excavationNumbers	tablets
W 05233,a	P000734
W 05233,b	P000735
W 05233,c	P000736
W 05233,e	P000737
W 05233,f	P000738
W 05233,g	P000739
W 05353	P000740
W 05372	P000741
W 06066,a	P000742
W 06066,b	P000743
W 06108	P000744
W 06110	P000745
W 06111,a	P000746
W 06115	P000747
W 06150	P000748
W 06216,a	P000749
W 06216,b	P000750
W 06245,a	P000751
W 06245,b	P000752
W 06245,e	P000756
W 06252	P000757
W 06284	P000758
W 06288	P000759
W 06372	P000760
W 06375,a	P000761
W 06375,b	P000762
W 06375,c	P000763
W 06375,d	P000764
W 06375,e	P000765
W 06375,f + W 06572,a	P000766
W 06375,g	P000767
W 06426,a	P000768
W 06426,b	P000769
W 06435,a	P000001
W 06435,b	P000002
W 06502,a	P000770
W 06502,b	P000771
W 06502,c	P000772
W 06502,d	P000773
W 06502,f	P000775
W 06502,g	P000776
W 06572,b	P000778
W 06572,c	P000779
W 06572,d	P000780
W 06572,e	P000781
W 06572,f	P000782
W 06573,a	P000783
W 06573,b	P000784
W 06573,c	P000785
W 06584	P000786
W 06601	P000787
W 06604	P000788
W 06611	P000789
W 06612,a	P000790
W 06612,b	P000791
W 06612,c	P000792
W 06616	P000802
W 06705,a	P000804
W 06705,b	P000805
W 06705,c	P000806
W 06705,d	P000807
W 06705,e	P000808
W 06705,f	P000809
W 06705,g	P000810
W 06705,h	P000811
W 06708	P000812
W 06710,a	P000813
W 06710,b	P000814
W 06710,c	P000815
W 06710,d	P000816
W 06710,e	P000817
W 06711	P000818
W 06737	P000819
W 06738,a	P000820
W 06738,b	P000821
W 06738,c	P000822
W 06738,d	P000823
W 06738,e	P000824
W 06738,f	P000825
W 06738,g	P000826
W 06738,h	P000827
W 06741	P000828
W 06746	P000829
W 06748,a	P000830
W 06748,b	P000831
W 06756,c	P000834
W 06759	P000835
W 06760,a	P000836
W 06760,b	P000837
W 06760,c	P000838
W 06760,d	P000839
W 06760,e	P000840
W 06760,f	P000841
W 06786,d	P000844
W 06820	P000846
W 06855	P000849
W 06860	P000850
W 06881,c + W 06881,f	P000853
W 06881,d	P000854
W 06881,e	P000855
W 06881,g	P000857
W 06881,h1	P000858
W 06881,h2	P000859
W 06881,i	P000860
W 06881,j	P000861
W 06881,k	P000862
W 06881,l	P000863
W 06881,m	P000864
W 06881,n	P000865
W 06881,o1	P000866
W 06881,o2 + W 06881,ab	P000867
W 06882,a	P000881
W 06882,b1	P000882
W 06882,b2	P000883
W 06882,c	P000884
W 06882,d	P000885
W 06882,e + W 06882,k	P000886
W 06882,f	P000887
W 06882,g	P000888
W 06882,i	P000890
W 06882,l	P000892
W 06882,x1	P000893
W 06882,x2	P000894
W 06882,x3	P000895
W 06882,x4	P000896
W 06882,x5	P000897
W 06882,x6	P000898
W 06883,aa	P000916
W 06883,ab	P000917
W 06883,b	P000900
W 06883,h	P000903
W 06883,n	P000907
W 06883,o1	P000908
W 06883,o2	P000909
W 06883,r	P000910
W 06883,s	P000911
W 06883,t1	P000912
W 06883,v	P000914
W 06883,y	P000915
W 06884	P000919
W 06940,a	P000920
W 06940,b	P000921
W 06940,c	P000922
W 06966,b	P000924
W 06984,a	P000925
W 06984,b	P000926
W 07000	P000927
W 07024	P000928
W 07067,b	P000931
W 07067,d	P000933
W 07067,e	P000934
W 07067,h	P000936
W 07067,i	P000937
W 07068,a	P000938
W 07068,b	P000939
W 07092,e	P000943
W 07092,g	P000945
W 07092,i	P000947
W 07092,l2	P000950
W 07092,p	P000953
W 07204,b	P000955
W 07227,a	P000958
W 07227,b	P000959
W 07227,c	P000960
W 07227,d	P000961
W 07227,e	P000962
W 07227,f	P000963
W 07227,g	P000964
W 07227,h	P000965
W 07227,i	P000966
W 07227,k	P000967
W 07227,l	P000968
W 07227,m	P000969
W 07272,h	P000977
W 07272,i	P000978
W 07298	P000981
W 07329,a	P000982
W 07329,b + W 07329,c	P000983
W 07343,1	P000985
W 07343,2	P000986
W 07406	P000988
W 07717	P000989
W 07880	P000990
W 07881	P000991
W 07883	P000993
W 08063	P000995
W 08273	P000996
W 08274	P000997
W 08405	P000998
W 08406	P000999
W 08618	P001000
W 08751	P001001
W 09070	P001002
W 09071,a	P001003
W 09071,b	P001004
W 09071,c	P001005
W 09071,d1	P001006
W 09071,d2	P001007
W 09071,e	P001008
W 09071,f	P001009
W 09071,g	P001010
W 09071,h	P001011
W 09071,p	P001018
W 09071,q	P001019
W 09071,r	P001020
W 09123,?	P001055
W 09123,a1	P001021
W 09123,a2	P001022
W 09123,ac	P001050
W 09123,ad	P001051
W 09123,ae	P001052
W 09123,af	P001053
W 09123,ag	P001054
W 09123,b	P001023
W 09123,c	P001024
W 09123,d	P000003
W 09123,e	P001025
W 09123,f + W 09312,p	P001026
W 09123,h	P001028
W 09123,i	P001029
W 09123,k	P001030
W 09123,l	P001031
W 09123,m	P001032
W 09123,n + W 09312,v	P001033
W 09123,o1	P001034
W 09123,o2	P001035
W 09123,p	P001036
W 09123,q	P001037
W 09123,t	P001040
W 09123,u1	P001041
W 09123,u2	P001042
W 09123,v	P001043
W 09123,w	P001044
W 09123,x	P001045
W 09123,y	P001046
W 09123,z	P001047
W 09168,a	P001056
W 09168,b	P001057
W 09168,c	P001058
W 09168,d	P001059
W 09168,e	P001060
W 09168,f	P001061
W 09168,g	P001062
W 09168,h + W 09168,n + ?	P001063
W 09168,i	P001064
W 09168,j	P001065
W 09168,k	P001066
W 09168,l	P001067
W 09168,p	P001071
W 09168,q	P001072
W 09168,r	P001073
W 09168,t	P001075
W 09168,u	P001076
W 09168,v	P001077
W 09169,?1	P001130
W 09169,?2	P001131
W 09169,?3	P001132
W 09169,a	P001078
W 09169,aa	P001102
W 09169,ab	P001103
W 09169,ac1	P001104
W 09169,ac2	P001105
W 09169,ad	P001106
W 09169,ae	P001107
W 09169,ag	P001109
W 09169,ah	P001110
W 09169,ai	P001111
W 09169,ak	P001112
W 09169,al	P001113
W 09169,am	P001114
W 09169,ao	P001116
W 09169,ap	P001117
W 09169,as	P001120
W 09169,at	P001121
W 09169,au	P001122
W 09169,av	P001123
W 09169,ax	P001125
W 09169,ay	P001126
W 09169,az	P001127
W 09169,b	P001079
W 09169,c	P001080
W 09169,cf?	P001128
W 09169,d	P000004
W 09169,e	P001081
W 09169,f	P001082
W 09169,g	P001083
W 09169,h	P001084
W 09169,ha?	P001129
W 09169,i	P001085
W 09169,l	P001087
W 09169,m + W 09335,k	P001088
W 09169,n	P001089
W 09169,o	P001090
W 09169,p + W 09169,s	P001091
W 09169,q	P001092
W 09169,r	P001093
W 09169,t	P001095
W 09169,u	P001096
W 09169,v	P001097
W 09169,w	P001098
W 09169,y	P001100
W 09206,?1	P001152
W 09206,?2	P001153
W 09206,a1	P001133
W 09206,a2	P001134
W 09206,b	P001135
W 09206,c	P001136
W 09206,d	P001137
W 09206,e	P001138
W 09206,f	P001139
W 09206,g	P001140
W 09206,h	P001141
W 09206,k	P000005
W 09206,l	P001143
W 09206,m	P001144
W 09206,p	P001147
W 09206,q	P001148
W 09206,r	P001149
W 09206,s	P001150
W 09206,t	P001151
W 09212	P001154
W 09271	P001155
W 09311,a	P001156
W 09311,b	P001157
W 09311,c	P001158
W 09311,d	P001159
W 09311,e	P001160
W 09311,f +	P001161
W 09311,h	P001162
W 09311,i	P001163
W 09311,k	P001164
W 09311,l	P001165
W 09311,m	P001166
W 09311,n	P001167
W 09311,o	P001168
W 09311,p	P001169
W 09311,q	P001170
W 09311,r	P001171
W 09311,t	P001172
W 09311,u	P001173
W 09311,w	P001174
W 09311,x	P001175
W 09312,a	P001176
W 09312,aa	P001202
W 09312,b	P001177
W 09312,c	P001178
W 09312,d	P001179
W 09312,e	P001180
W 09312,f	P001181
W 09312,g	P001182
W 09312,h	P001183
W 09312,i	P001184
W 09312,k	P001185
W 09312,l	P001186
W 09312,m	P001187
W 09312,n1	P001188
W 09312,n2 + W 09312,r	P001189
W 09312,o	P001190
W 09312,s	P001194
W 09312,t	P001195
W 09312,x	P001199
W 09312,y	P001200
W 09312,z	P001201
W 09335,a	P001203
W 09335,b	P001204
W 09335,c	P001205
W 09335,d	P001206
W 09335,e	P001207
W 09335,f	P001208
W 09335,g	P001209
W 09335,h1	P001210
W 09335,h2	P001211
W 09335,i	P001212
W 09335,l	P001214
W 09335,m	P001215
W 09335,o	P001217
W 09335,p	P001218
W 09335,q	P001219
W 09335,r	P001220
W 09335,s	P001221
W 09335,t	P001222
W 09335,u	P001223
W 09335,v	P001224
W 09393,a	P001226
W 09393,b	P001227
W 09393,c	P001228
W 09393,d	P001229
W 09393,e	P001230
W 09393,f	P001231
W 09492	P001232
W 09578,a	P001233
W 09578,b	P001234
W 09578,c	P001235
W 09578,d	P001236
W 09578,e	P001237
W 09578,f	P001238
W 09578,g	P001239
W 09578,h	P001240
W 09578,i	P001241
W 09578,k	P001242
W 09578,l	P001243
W 09578,m	P001244
W 09578,n	P001245
W 09578,o	P001246
W 09578,p	P001247
W 09578,q	P001248
W 09579,a	P001249
W 09579,aa	P001274
W 09579,ab	P001275
W 09579,ac	P001276
W 09579,ad	P001277
W 09579,ae	P001278
W 09579,af	P001279
W 09579,ag	P001280
W 09579,ah	P001281
W 09579,ai	P001282
W 09579,ak	P001283
W 09579,al	P001284
W 09579,am	P001285
W 09579,an	P001286
W 09579,ao	P001287
W 09579,ap	P001288
W 09579,aq	P001289
W 09579,ar	P001290
W 09579,as	P001291
W 09579,at	P001292
W 09579,au	P001293
W 09579,av	P001294
W 09579,aw	P001295
W 09579,ax	P001296
W 09579,ay	P001297
W 09579,az	P001298
W 09579,b	P001250
W 09579,ba	P001299
W 09579,bb	P001300
W 09579,bc	P001301
W 09579,bd	P001302
W 09579,be	P001303
W 09579,bf	P001304
W 09579,bg	P001305
W 09579,bh	P001306
W 09579,bi	P001307
W 09579,bk	P001308
W 09579,bl	P001309
W 09579,bm	P001310
W 09579,bq	P001313
W 09579,br	P001314
W 09579,bs	P001315
W 09579,bt	P001316
W 09579,bu	P001317
W 09579,bv	P001318
W 09579,bw	P001319
W 09579,bx	P001320
W 09579,by1	P001321
W 09579,by2	P001322
W 09579,bz	P001323
W 09579,c	P001251
W 09579,ca	P001324
W 09579,cb	P001325
W 09579,cc	P001326
W 09579,cd	P001327
W 09579,ce	P001328
