P325232	reverse	2	2.a. 1(N49) 2(N14) 5(N01) , SZE~a UNUG~a TAR~a
P325232	reverse	2	2.b2. 9(N36) 3(N19) 5(N04) ,
P325232	reverse	2	2.b3. 1(N46) , [|LAGAB~b.TE|] 
P325232	reverse	3	1.a. 1(N48) 4(N49) 7(N14) 4(N01) , SZE~a GIBIL U4 NAR NAGA~a
P325232	reverse	3	1.b2. 3(N49) 9(N36) 1(N46) 6(N19) 2(N04) 
P325232	reverse	3	1.b3. 1(N46) 8(N19) , |LAGAB~b.TE|
P325233	obverse	2	5.b. 4(N04)
P325233	obverse	2	6.b. 2(N04)
P325238	obverse	1	3.a. [...] N , SZE~a SZE3 PAP~a 1(N19) 
P325238	obverse	1	3.b. 3(N19) 
P325238	obverse	1	5.c. 3(N19) , DI? GAL~a 
P325238	reverse	1	2. 6(N19) , 
P328737	obverse	2	1.b. [...] 2(N04) 
P328737	reverse	2	2. [...] 1(N04)# , [...]
P326287	obverse	2	6.b. 6(N19) ,
P326287	reverse	1	1. 2(N34)# 1(N36) 2(N45) 6(N14) , SZE~a# [...] GUG2
P326287	reverse	2	2. 6(N19) 
P326287	reverse	2	3. 1(N46) , |LAGAB~b.TE|
P325076	obverse	1	1. [...] 1(N04)# 1(N42~a) , X
P325076	obverse	2	1. 2(N19) 1(N04) , SZU AB~b E2~a 
P325076	obverse	2	2. 3(N04) , NIN BA
P325226	reverse	1	1. [...] 7(N19) , UB ZI~a 
P325226	reverse	2	2. 1(N19) 4(N04) , BA KI 
P006377	obverse	1	1.a. 1(N46) 5(N19)# 3(N04)# 1(N41) , UR5~a 
P006377	obverse	1	1.b. 1(N19)# 3(N04)# 1(N41) 1(N24) , TAR~a 
P006377	obverse	1	2. 3(N04) , SAL TUR3~a 
P006377	obverse	1	3. 1(N19) , SAL ZATU788 AN NUNUZ~a1
P006377	obverse	1	4. 3(N19) , |U4x(1(N14).1(N01))|#? KASZ~b AB~a
P006377	obverse	1	5. 1(N04) , |1(N57).SZUBUR|# TUR3~a ME~a 
P006377	obverse	1	6. 2(N04) , SANGA~a# SANGA~a# ZATU788 AN NUNUZ~a1
P006377	obverse	1	7. 3(N04) , SAL ZATU788 AN NUNUZ~a1 
P006377	obverse	1	8. 3(N19) , HI ASAR UNUG~a 
P006377	obverse	1	9. 2(N19) |1(N57).SZUBUR| TUR3~a ME~a 
P006377	obverse	2	1. 1(N19)# , ZATU788# AN# NUNUZ~a1
P006377	obverse	2	2. 1(N04) , SAL ZATU676~b 
P006377	obverse	2	3. 1(N19) , SANGA~a TUR3~a 
P006377	obverse	2	4. 2(N19) 2(N41) , EN~a GA2~a1 DU SZU 
P006377	obverse	2	5. 1(N19) 4(N04) 3(N41) 1(N24~b) , SZIM~a SZU I BU~a 
P006377	obverse	2	6. 1(N04) , USZ~a 3(N57) 
P006377	obverse	2	9. 1(N19)# 3(N01) , AN TE GA2~b 
P006377	obverse	2	10. 1(N04) , TA~c SAL HI UNUG~a 
P006377	obverse	3	1. 4(N19)# , SANGA~a SANGA~a GAL~a 
P006377	obverse	3	2. 2(N04) , ME~a UR~a KU3~a# KI# 
P006377	obverse	3	3. 1(N19) 1(N57) , NIN ZATU788 AN NUNUZ~a1
P006377	obverse	3	4. 4(N04) , NIN ZATU788 AN NUNUZ~a1 
P006377	obverse	3	5. 1(N04) , BA NI~a 
P006377	obverse	3	6. 2(N04)# , ZI~a SZU 
P006377	obverse	3	7. 2(N19) , ZATU788 AN NUNUZ~a1 
P006377	obverse	3	10. 1(N19) , TUR3~a# ME~a 
P006377	reverse	1	1. 1(N36) 1(N46) 8(N19) 5(N04) 3(N41) , GU7 
P325749	obverse	1	1.a. [2(N41) 1(N28~b)] , [...]
P325749	obverse	1	2.a. 4(N41) 1(N24~b) , [...]
P325749	obverse	1	3.a. [1(N41)] , [...] 
P325749	reverse	1	1. 1(N04) 4(N41) 1(N29~b) 1(N30~c) , GU7 
P325758	obverse	1	2.b. 5(N19) 
P325758	obverse	1	4.b. 2(N04) 2(N41) 
P325758	obverse	2	1. [...] 3(N19) , PAP~a# UNUG~a 
P325758	obverse	2	2. 1(N04) 1(N41) , UKKIN~a NA~a KU6~a 
P325758	obverse	2	3. 2(N41) , TA~c SAL HI 
P325758	obverse	2	4.a. 2(N19) 4(N04) 2(N41) , UR5~a
P325758	obverse	2	4.b. 2(N04) 2(N41)
P326897	obverse	1	1. [...] 6(N19) , EN~a [...]
P326897	obverse	1	2. 1(N04)# , [...]
P326897	obverse	1	3. 1(N46)# 5(N04) , PAP~a PIRIG~b1
P326897	obverse	2	1. [...] 1(N19)# , DU X
P326897	obverse	2	2. 4(N19) 5(N14) , SZE~a EN~a DU PAP~a
P326897	obverse	2	4. 1(N04) , NAGA~a# GA~a
P326897	obverse	3	1. 1(N46) , [...] SZU
P326897	reverse	3	1. 5(N19)# , SZE~a# EN~a E2~a
P326897	reverse	3	3. 1(N19)# , [...]
P328729	obverse	2	1. [...] 1(N46)# 1(N14) 1(N57) , E2~a BA
P328729	obverse	2	2. 5(N19) 2(N57) , E2~a 
P328729	reverse	2	2. 1(N46) 6(N19) , BA E2~a
P325354	obverse	1	1.a. [1(N19)] 2(N04) , TUR3~a UR5~a SANGA~a GI4~a
P325354	obverse	1	2. 1(N19) , URU~a1 NIN
P325354	obverse	1	3.a. 1(N19) , KASZ~c 
P325354	reverse	1	1. 2(N14) 4(N01) 3(N19) 1(N04) , SZE~a GU7 
P325485	obverse	1	2. [...] 1(N04) 1(N41)
P325070	obverse	2	4. 1(N04) , GISZ3~b PA~a KU3~a
P325070	obverse	2	5. 1(N19) 
P325070	reverse	1	3. 1(N19)# 1(N04)# , [...]
P325070	reverse	2	1. 1(N19) 1(N04) 1(N14)# 3(N01)# 3(N39~a) 1(N24) , SZE~a# GU7
P330072	obverse	1	2.b. [...] 5(N19)
P330072	obverse	1	3.b. 2(N19) [...]
P330072	obverse	1	4.b. [...] 2(N19) 
P325066	obverse	1	2. 7(N19) 4(N04)
P006376	obverse	1	3. 1(N01) , X 1(N04) NUMUN? 
P006376	obverse	1	4. 1(N01) , SIG2~a 1(N19)? SZE~a 
P283917	obverse	2	2. , GIBIL 1(N04) SAG# 
P257532	obverse	1	2.c. 5(N19)# 
P257532	obverse	1	4.b. 7(N19)# 
P257532	reverse	1	1. 4(N34) 1(N36) 2(N45) 3(N14) , SZE~a BA# SZAM2 KU6 KISAL~b1
P257532	reverse	2	2. 1(N36) 9(N19)
P257532	reverse	2	3. 3(N19)# 3(N04) , |LAGAB~b.TE|
P325247	obverse	1	3. 1(N04) 1(N02) 
P411601	obverse	2	1. 1(N46) 4(N04) [...] 
P411604	obverse	2	5. 2(N04) 1(N41) , U4 
P411604	obverse	2	6. 1(N19) , NAM~a NA2~a 
P411604	obverse	3	2. 1(N19) , AB~a 
P411604	obverse	3	3.a. 1(N19) 1(N04) , AN NUNUZ~a1# ZATU788 X 
P411604	obverse	3	3.b. 3(N41) 1(N24")# , [TAR~a] 
P411609	obverse	0	1.b1. 9(N19) 
P411609	obverse	0	1.b2. 7(N19) , |LAGAB~b.TE| 
P411609	reverse	0	1.a. [...] 1(N36)# 2(N34) [...] , SZE~a GIBIL U4 |LAGAB~b.TE|# 
P411609	reverse	0	1.b2. 1(N46) [...] 
P411616	obverse	0	2.a. 3(N04) , 
P411616	reverse	0	1. 2(N01) 3(N04) |NINDA2xZATU710| GAR U4# 3(N57) , SZITA~a3 HAL PAP~a EZEN~c 
P411612	obverse	1	3.b. 4(N41) 
P411612	obverse	1	4.b. 2(N41) 
P411612	obverse	1	5.b. 4(N41) 
P411612	obverse	1	6.b. 3(N41) 
P411621	obverse	3	1.a. [...] 2(N19) 2(N04) 4(N41) , SZU# 
P411621	obverse	3	2. [...] 1(N19) [...] EN~a#? 
P411621	obverse	3	3. , 1(N04) GU7 
P328875	obverse	0	2'. [...] 1(N28) , UNUG~a 1(N04) HI~a@g U4 
P328872	obverse	1	2. 5(N19) , SZA3~a2# GI6 BU~a 
P328872	obverse	3	3.a. 2(N19) , 
P328872	obverse	3	4.a. 1(N19) , 
P411540	obverse	1	2. [1(N36)?] 4(N19)# , X IM~b 
P411540	obverse	1	3. [...] 1(N19)# [...] 
P411540	obverse	2	2. 2(N19)# [...] X 
P328886	obverse	1	1.b. 4(N04) 
P411599	obverse	1	2. 2(N41) 
P387521	obverse	0	1. 1(N01) , 1(N04) LAGAB~b BAR 
P006359	obverse	1	1. 1(N14) 1(N19) , SZE~b KI NIN GU7 1(N02) 
P006375	obverse	1	1. 1(N36)# 8(N19)# 2(N04)# 1(N39~a) 1(N24) , [...] BA# KI 
P006382	obverse	1	1. 1(N46) , BARA3 
P006382	obverse	2	3. 2(N46) 5(N19)# , [...] ZATU628~a 
P006382	reverse	2	2. 1(N46)# [...] 
P006382	reverse	2	3. 2(N46)#? 5(N19)# [...] 
P006391	obverse	3	1.a. 4(N01)# 1(N04)? , 
P006396	obverse	3	8. 4(N41) 2(N29~a)? , |U4x(1(N01).1(N24))| |U4x4(N01)| BAR EZEN~b 
P006396	obverse	3	9. 3(N04) 1(N41) 1(N24~b) , GU7#? 
P006396	obverse	4	1. 2(N04) , SZUBUR 
P006396	obverse	4	2. 3(N04) , URU~a1 UH3~b#? 
P006396	obverse	4	3. 3(N04)? , AB~a [...] 
P006396	obverse	4	4. 3(N04) , [...] 
P006396	obverse	4	5. 2(N41) , DA~a# PA~a#? 
P006396	obverse	4	6. 3(N19) 3(N04) , [...] NUMUN 
P006396	obverse	4	7. 1(N19) , EZEN~b URU~a1#? |U4+1(N24)| BAR 
P006396	obverse	4	8. 1(N19) 2(N04)# 2(N41)# , [...] 
P006396	obverse	4	9. 1(N04) [...] , [...] 
