tablet	shinP	shinPP	shinS
P005203	0	0	1
P005204	0	0	2
P005205	0	0	1
P005207	0	0	6
P005208	1	0	3
P005210	0	0	2
P005212	1	0	15
P005213	0	0	6
P005214	2	0	0
P005217	0	0	2
P005219	0	0	9
P005220	1	0	0
P005223	0	1	0
P005225	0	0	4
P005227	1	0	5
P005257	0	2	1
P005267	0	0	2
P005270	0	0	1
P005276	0	1	0
P005279	0	1	0
P005283	2	0	2
P005291	1	0	0
P005312	2	30	0
P005313	11	0	29
P005314	0	0	13
P005315	4	0	0
P005319	8	0	0
P005320	3	0	0
P005321	4	0	3
P005322	15	0	15
P005323	18	0	0
P005324	2	0	0
P005325	18	0	0
P005326	7	0	0
P005327	4	0	0
P005328	5	0	0
P005329	18	0	0
P005331	10	0	0
P005332	17	0	0
P005333	8	0	0
P005334	7	0	0
P005335	7	0	0
P005336	1	0	0
P005337	2	0	5
P005339	3	0	0
P005341	0	0	1
P005343	0	3	0
P005344	3	0	0
P005345	5	0	0
P005346	1	0	0
P005348	0	1	0
P005351	1	0	0
P005352	2	5	0
P005353	2	6	0
P005355	0	2	0
P005356	4	0	0
P005357	1	0	0
P005359	2	0	0
P005360	2	0	0
P005362	9	0	7
P005363	5	0	6
P005365	2	2	0
P005366	6	0	3
P005368	2	0	2
P005369	1	1	0
P005371	7	0	0
P005372	5	0	0
P005373	4	0	0
P005374	2	0	0
P005375	2	0	0
P005376	1	0	0
P005377	4	0	0
P005378	4	29	0
P005379	1	3	0
P005381	0	5	0
P005384	0	14	0
P005385	2	1	0
P005386	0	36	0
P005389	2	0	0
P005390	3	5	0
P005394	1	0	0
P005395	1	4	0
P005397	1	3	0
P005402	0	3	0
P005403	5	2	0
P005404	5	1	0
P005405	3	0	0
P005407	0	4	0
P005410	0	1	0
P005415	1	0	0
P005421	0	0	1
P005428	0	0	1
P005441	2	0	4
P005445	9	17	0
P005446	5	8	0
P005447	3	10	0
P005448	1	5	0
P005449	3	0	0
P005450	3	10	0
P005451	0	0	3
P005452	2	0	0
P005453	1	3	0
P005454	0	3	0
P005456	3	2	0
P005458	0	0	9
P005459	1	0	0
P005461	1	0	12
P005464	3	6	0
P005465	1	0	0
P005466	0	1	0
P005467	0	16	0
P005468	4	0	32
P005469	0	1	0
P006005	0	1	0
P006022	5	2	0
P006027	0	1	0
P006035	4	10	5
P006048	0	1	0
P006057	0	2	0
P006064	1	4	0
P006075	1	0	0
P006080	0	1	0
P006084	0	0	12
P006088	1	0	0
P006094	1	0	0
P006111	0	1	0
P006140	1	0	0
P006156	1	0	0
P006163	0	1	0
P006173	2	0	0
P006238	0	1	0
P006250	3	0	0
P006256	1	0	0
P006257	1	1	0
P006258	2	0	0
P006261	1	0	0
P006273	0	3	0
P006289	3	0	8
P006292	4	0	2
P006294	2	0	19
P006298	0	3	18
P006299	2	0	0
P006303	5	0	2
P006309	1	0	0
P006310	0	2	0
P006319	2	10	0
P006320	0	5	0
P006324	0	0	2
P006327	6	0	0
P006328	0	5	16
P006330	1	3	32
P006332	1	0	0
P006334	2	0	0
P006350	1	0	0
P006359	0	1	0
P006362	1	0	6
P006366	18	0	3
P006374	1	0	5
P006375	1	3	0
P006376	0	2	0
P006377	2	39	0
P006378	1	0	16
P006381	14	0	9
P006382	2	6	0
P006384	0	0	11
P006391	3	1	11
P006396	15	25	3
P006406	4	0	0
P006409	0	3	0
P006410	0	0	1
P006414	2	0	7
P006418	5	0	3
P006420	1	3	0
P006421	0	1	0
P006433	1	0	1
P006437	0	5	0
P200002	3	0	0
P200003	3	4	2
P212396	6	8	3
P231787	4	1	0
P231788	6	13	0
P235782	0	4	0
P250423	4	2	0
P252182	0	1	0
P257531	4	0	18
P257532	5	7	0
P270809	2	3	0
P274471	1	0	2
P274472	0	1	0
P274476	3	0	0
P283915	2	0	0
P283916	0	1	5
P283917	4	1	1
P283918	3	0	1
P283919	3	0	8
P283921	0	0	3
P325061	0	6	1
P325062	1	9	0
P325063	2	0	9
P325064	5	0	0
P325065	0	0	1
P325066	0	2	0
P325067	1	0	0
P325068	2	0	0
P325069	0	0	5
P325070	3	6	2
P325073	0	1	0
P325074	4	0	0
P325076	1	4	1
P325156	2	0	8
P325162	0	0	1
P325193	3	0	1
P325194	18	0	0
P325218	0	1	0
P325222	1	0	0
P325223	0	3	0
P325224	2	0	11
P325225	2	2	0
P325226	0	3	0
P325227	1	0	26
P325229	8	0	2
P325232	4	25	0
P325233	2	2	0
P325234	2	0	7
P325235	8	0	5
P325237	2	0	0
P325238	2	4	0
P325239	1	0	0
P325240	0	0	9
P325241	4	0	3
P325243	1	0	0
P325247	0	1	0
P325346	1	0	0
P325348	0	0	1
P325354	1	6	0
P325359	0	0	10
P325360	0	0	25
P325362	11	0	2
P325449	14	0	1
P325451	1	0	0
P325454	11	0	2
P325455	1	0	4
P325485	4	2	1
P325494	0	0	4
P325737	3	7	0
P325738	4	8	0
P325740	3	7	0
P325742	0	0	6
P325744	0	2	0
P325747	0	0	7
P325749	3	5	1
P325750	0	3	0
P325754	1	0	0
P325757	0	3	0
P325758	0	12	0
P325760	0	0	2
P325761	3	0	0
P326286	2	0	0
P326287	4	4	0
P326289	1	0	0
P326800	1	0	1
P326897	0	10	0
P328729	0	4	0
P328732	2	0	0
P328735	2	0	0
P328737	0	2	0
P328872	0	3	0
P328875	1	1	4
P328886	0	1	0
P328889	0	0	10
P330045	3	0	1
P330047	0	3	0
P330049	16	0	4
P330058	1	0	0
P330062	0	0	1
P330069	0	1	0
P330072	0	3	0
P382659	0	7	0
P382673	4	0	0
P387521	0	1	0
P387572	1	0	0
P387734	2	4	0
P387740	2	0	17
P387744	2	0	0
P387746	0	0	2
P391520	0	1	0
P411529	0	0	1
P411533	1	0	0
P411538	1	0	2
P411539	1	0	0
P411540	0	4	0
P411543	1	0	0
P411599	0	1	0
P411601	1	2	0
P411603	1	0	0
P411604	2	7	0
P411609	4	4	0
P411610	26	0	26
P411612	2	4	3
P411616	0	2	0
P411617	1	0	0
P411619	2	0	0
P411620	0	0	2
P411621	2	5	2
P411622	7	0	0
P411623	0	0	2
P411627	1	0	0
P411628	1	0	0
P411874	1	0	0
P411875	0	1	0
P411880	0	0	1
P416126	1	0	0
P429582	1	5	0
P429583	2	2	0
P429584	1	0	0
P433195	2	0	0
P433199	1	0	0
P448700	3	0	0
P448701	0	3	0
P449897	2	0	0
P449898	1	0	0
P449948	0	2	0
P449961	0	4	0
P449962	0	1	0
P464140	9	5	0
P464146	1	0	0
P464157	0	0	1
P464167	0	2	0
P464168	1	1	0
P464169	0	7	0
P464170	0	9	0
P464172	1	2	0
P464173	0	3	0
P464174	1	4	0
P464175	1	6	0
P464176	1	1	0
P464177	2	12	0
P464178	2	0	0
P464180	1	7	2
P464181	0	6	0
P464182	4	16	0
P464183	4	9	0
P464184	1	5	0
P464189	0	9	0
P464190	1	0	0
P464191	1	0	0
P464193	1	0	0
P464200	1	0	0
P464273	4	11	0
P482083	0	0	2
